Benchmark Method,Amount of Nodes,Size per Node,Amount of CClients,Ops/sec,Hits/sec,Misses/sec,Avg. Latency,p50 Latency,p99 Latency,p99.9 Latency,KB/sec
memcached,1,30,5,5876.86,0,0,0.07756,0.079,0.135,0.207,401.1
memcached,5,6,10,30030.680000000004,0,0,0.61682,0.531,2.395,8.075,2049.56
redis,5,6,1,5085.1,0,0,0.0,0.0,0.09054,0.095,0.135
redisAggregated,1,30,1000,8999.04,0,0,10.36571,8.959,62.207,73.727,693.25
redisAggregated,5,6,100,26770.8,0,0,7.91841,6.811,23.931,29.787,2062.3599999999997
redisAggregated,1,30,100,11503.19,0,0,0.79008,0.735,1.207,3.471,886.19
redis,5,6,100,28862.27,0,0,0.0,0.0,1.55711,0.903,12.351
memcached,5,6,1000,31963.730000000003,0,0,58.75874,42.651,347.64300000000003,1011.7069999999999,2179.88
redisAggregated,1,30,1,1635.82,0,0,0.05567,0.055,0.095,0.159,126.02
redis,5,6,10,7381.84,0,0,0.0,0.0,0.616,0.599,0.999
memcached,3,10,5,29915.78,0,0,0.184,0.157,0.7330000000000001,2.5010000000000003,2041.75
redisAggregated,5,6,1000,25820.77,0,0,90.49673000000001,75.963,430.075,731.1310000000001,1989.06
redis,1,30,100,9149.63,0,0,0.99517,0.983,1.735,2.111,704.87
redisAggregated,5,6,10,24457.489999999998,0,0,0.9769299999999999,0.891,2.3230000000000004,2.867,1884.1999999999998
redisAggregated,1,30,5,10562.74,0,0,0.04299,0.047,0.111,0.183,813.75
memcached,1,30,1000,0.0,0,0,15.72974,14.079,88.575,118.271,0.0
redisAggregated,1,30,10,11032.27,0,0,0.08252,0.087,0.175,0.255,849.92
redis,5,6,5,6987.02,0,0,0.0,0.0,0.32546,0.311,0.535
redisAggregated,3,10,100,26575.450000000004,0,0,3.0568299999999997,2.8609999999999998,4.805,6.5729999999999995,2047.33
redis,3,10,100,27712.95,0,0,0.0,0.0,0.90372,0.735,1.591
redis,1,30,5,12007.56,0,0,0.03812,0.039,0.071,0.151,925.06
redis,3,10,1,4873.39,0,0,0.0,0.0,0.05419,0.055,0.087
memcached,3,10,10,31156.13,0,0,0.35005,0.237,1.469,10.765,2126.37
redisAggregated,5,6,5,23400.38,0,0,0.49725,0.46699999999999997,1.251,1.595,1802.75
memcached,5,6,100,33651.03999999999,0,0,5.42893,3.9869999999999997,21.435,215.803,2296.57
redis,3,10,1000,29694.76,0,0,0.0,0.0,9.19332,8.959,20.991
redis,5,6,1000,30310.16,0,0,0.0,0.0,14.99744,9.983,79.871
redisAggregated,5,6,1,6015.15,0,0,0.37466,0.355,0.675,0.9710000000000001,463.4
memcached,1,30,10,6765.97,0,0,0.13494,0.127,0.223,0.295,461.78
redis,1,30,10,12440.48,0,0,0.07315,0.079,0.119,0.207,958.41
redisAggregated,3,10,5,23874.04,0,0,0.17151,0.165,0.357,0.501,1839.25
redisAggregated,3,10,1,4163.36,0,0,0.19591,0.205,0.309,0.501,320.74
redis,1,30,1000,14349.07,0,0,6.34332,6.239,12.031,14.591,1105.44
redisAggregated,3,10,10,24274.2,0,0,0.33585,0.333,0.733,0.8370000000000001,1870.0699999999997
memcached,1,30,100,9243.03,0,0,0.98439,0.935,1.511,4.511,630.83
memcached,5,6,1,6006.23,0,0,0.06077,0.063,0.087,0.167,409.92
redis,1,30,1,1766.19,0,0,0.05192,0.055,0.079,0.159,136.07
redisAggregated,3,10,1000,19687.51,0,0,42.641980000000004,33.981,199.933,411.645,1516.69
memcached,3,10,1,5986.64,0,0,0.06107,0.063,0.087,0.167,408.59
memcached,1,30,1,1774.34,0,0,0.05243,0.055,0.095,0.175,121.1
memcached,5,6,5,27850.54,0,0,0.33129000000000003,0.331,0.723,1.139,1900.7800000000002
redis,3,10,10,8130.98,0,0,0.0,0.0,0.33491,0.319,0.543
redis,3,10,5,7094.74,0,0,0.0,0.0,0.19222,0.183,0.319
memcached,3,10,100,34675.520000000004,0,0,3.18888,1.6689999999999998,13.565000000000001,233.46900000000002,2366.4900000000002
memcached,3,10,1000,25330.6,0,0,10.79281,9.485,18.781,97.149,1728.77
