Results for Memcached on port 11211:
1         Threads
100       Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         9243.03          ---          ---         0.98439         0.93500         1.51100         4.51100       630.83 
Gets        92429.44      9214.30     83215.14         0.98282         0.93500         1.49500         4.54300      2893.66 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     101672.47      9214.30     83215.14         0.98296         0.93500         1.49500         4.54300      3524.49 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.391        0.000
SET       0.815        5.000
SET       0.831       10.000
SET       0.847       15.000
SET       0.855       20.000
SET       0.871       25.000
SET       0.879       30.000
SET       0.895       35.000
SET       0.903       40.000
SET       0.919       45.000
SET       0.935       50.000
SET       0.951       52.500
SET       0.959       55.000
SET       0.975       57.500
SET       0.983       60.000
SET       0.999       62.500
SET       1.007       65.000
SET       1.015       67.500
SET       1.031       70.000
SET       1.039       72.500
SET       1.055       75.000
SET       1.055       76.250
SET       1.063       77.500
SET       1.071       78.750
SET       1.079       80.000
SET       1.087       81.250
SET       1.095       82.500
SET       1.103       83.750
SET       1.111       85.000
SET       1.119       86.250
SET       1.127       87.500
SET       1.135       88.125
SET       1.143       88.750
SET       1.151       89.375
SET       1.159       90.000
SET       1.167       90.625
SET       1.183       91.250
SET       1.199       91.875
SET       1.231       92.500
SET       1.255       93.125
SET       1.279       93.750
SET       1.295       94.062
SET       1.303       94.375
SET       1.311       94.688
SET       1.327       95.000
SET       1.335       95.312
SET       1.343       95.625
SET       1.351       95.938
SET       1.359       96.250
SET       1.367       96.562
SET       1.375       96.875
SET       1.375       97.031
SET       1.383       97.188
SET       1.383       97.344
SET       1.391       97.500
SET       1.399       97.656
SET       1.399       97.812
SET       1.407       97.969
SET       1.415       98.125
SET       1.423       98.281
SET       1.439       98.438
SET       1.447       98.516
SET       1.455       98.594
SET       1.463       98.672
SET       1.471       98.750
SET       1.479       98.828
SET       1.495       98.906
SET       1.503       98.984
SET       1.519       99.062
SET       1.535       99.141
SET       1.559       99.219
SET       1.567       99.258
SET       1.583       99.297
SET       1.591       99.336
SET       1.607       99.375
SET       1.623       99.414
SET       1.639       99.453
SET       1.655       99.492
SET       1.671       99.531
SET       1.703       99.570
SET       1.735       99.609
SET       1.751       99.629
SET       1.775       99.648
SET       1.807       99.668
SET       1.839       99.688
SET       1.879       99.707
SET       1.927       99.727
SET       1.967       99.746
SET       2.015       99.766
SET       2.079       99.785
SET       2.159       99.805
SET       2.207       99.814
SET       2.287       99.824
SET       2.447       99.834
SET       2.655       99.844
SET       2.927       99.854
SET       3.231       99.863
SET       3.551       99.873
SET       3.887       99.883
SET       4.255       99.893
SET       4.607       99.902
SET       4.799       99.907
SET       4.959       99.912
SET       5.151       99.917
SET       5.343       99.922
SET       5.503       99.927
SET       5.727       99.932
SET       5.887       99.937
SET       6.047       99.941
SET       6.207       99.946
SET       6.367       99.951
SET       6.463       99.954
SET       6.559       99.956
SET       6.623       99.958
SET       6.719       99.961
SET       6.783       99.963
SET       6.847       99.966
SET       6.911       99.968
SET       6.975       99.971
SET       7.039       99.973
SET       7.103       99.976
SET       7.135       99.977
SET       7.167       99.978
SET       7.199       99.979
SET       7.231       99.980
SET       7.295       99.982
SET       7.327       99.983
SET       7.359       99.984
SET       7.391       99.985
SET       7.423       99.987
SET       7.487       99.988
SET       7.519       99.988
SET       7.519       99.989
SET       7.551       99.990
SET       7.583       99.990
SET       7.615       99.991
SET       7.647       99.991
SET       7.679       99.992
SET       7.711       99.993
SET       7.743       99.993
SET       7.775       99.994
SET       7.807       99.994
SET       7.807       99.995
SET       7.839       99.995
SET       7.871       99.995
SET       7.871       99.995
SET       7.903       99.996
SET       7.967       99.996
SET       7.999       99.996
SET       8.063       99.997
SET       8.127       99.997
SET       8.159       99.997
SET       8.191       99.997
SET       8.255       99.997
SET       8.255       99.998
SET       8.319       99.998
SET       8.383       99.998
SET       8.447       99.998
SET       8.511       99.998
SET       8.575       99.998
SET       8.767       99.998
SET       8.767       99.999
SET       8.831       99.999
SET       9.023       99.999
SET       9.087       99.999
SET       9.407       99.999
SET      89.087       99.999
SET      89.087       99.999
SET      89.599       99.999
SET      89.599      100.000
---
GET       0.367        0.000
GET       0.815        5.000
GET       0.831       10.000
GET       0.847       15.000
GET       0.855       20.000
GET       0.871       25.000
GET       0.879       30.000
GET       0.895       35.000
GET       0.903       40.000
GET       0.919       45.000
GET       0.935       50.000
GET       0.951       52.500
GET       0.959       55.000
