Results for Memcached on port 11211:
1         Threads
10        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         6765.97          ---          ---         0.13494         0.12700         0.22300         0.29500       461.78 
Gets        67659.65      4958.63     62701.02         0.13391         0.12700         0.22300         0.29500      2010.26 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      74425.63      4958.63     62701.02         0.13400         0.12700         0.22300         0.29500      2472.04 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.103        5.000
SET       0.103       10.000
SET       0.111       15.000
SET       0.111       20.000
SET       0.111       25.000
SET       0.119       30.000
SET       0.119       35.000
SET       0.119       40.000
SET       0.127       45.000
SET       0.127       50.000
SET       0.127       52.500
SET       0.127       55.000
SET       0.135       57.500
SET       0.135       60.000
SET       0.143       62.500
SET       0.143       65.000
SET       0.151       67.500
SET       0.159       70.000
SET       0.159       72.500
SET       0.159       75.000
SET       0.167       76.250
SET       0.167       77.500
SET       0.167       78.750
SET       0.167       80.000
SET       0.175       81.250
SET       0.175       82.500
SET       0.175       83.750
SET       0.175       85.000
SET       0.175       86.250
SET       0.183       87.500
SET       0.183       88.125
SET       0.183       88.750
SET       0.183       89.375
SET       0.183       90.000
SET       0.183       90.625
SET       0.183       91.250
SET       0.191       91.875
SET       0.191       92.500
SET       0.191       93.125
SET       0.191       93.750
SET       0.191       94.062
SET       0.191       94.375
SET       0.191       94.688
SET       0.191       95.000
SET       0.199       95.312
SET       0.199       95.625
SET       0.199       95.938
SET       0.199       96.250
SET       0.199       96.562
SET       0.199       96.875
SET       0.199       97.031
SET       0.207       97.188
SET       0.207       97.344
SET       0.207       97.500
SET       0.207       97.656
SET       0.207       97.812
SET       0.207       97.969
SET       0.207       98.125
SET       0.207       98.281
SET       0.215       98.438
SET       0.215       98.516
SET       0.215       98.594
SET       0.215       98.672
SET       0.215       98.750
SET       0.215       98.828
SET       0.215       98.906
SET       0.223       98.984
SET       0.223       99.062
SET       0.223       99.141
SET       0.223       99.219
SET       0.223       99.258
SET       0.231       99.297
SET       0.231       99.336
SET       0.231       99.375
SET       0.231       99.414
SET       0.231       99.453
SET       0.239       99.492
SET       0.239       99.531
SET       0.239       99.570
SET       0.247       99.609
SET       0.247       99.629
SET       0.247       99.648
SET       0.247       99.668
SET       0.255       99.688
SET       0.255       99.707
SET       0.255       99.727
SET       0.255       99.746
SET       0.263       99.766
SET       0.263       99.785
SET       0.271       99.805
SET       0.271       99.814
SET       0.271       99.824
SET       0.271       99.834
SET       0.279       99.844
SET       0.279       99.854
SET       0.279       99.863
SET       0.287       99.873
SET       0.287       99.883
SET       0.295       99.893
SET       0.295       99.902
SET       0.295       99.907
SET       0.303       99.912
SET       0.303       99.917
SET       0.303       99.922
SET       0.311       99.927
SET       0.311       99.932
SET       0.319       99.937
SET       0.319       99.941
SET       0.327       99.946
SET       0.327       99.951
SET       0.335       99.954
SET       0.335       99.956
SET       0.343       99.958
SET       0.343       99.961
SET       0.351       99.963
SET       0.351       99.966
SET       0.359       99.968
SET       0.367       99.971
SET       0.375       99.973
SET       0.383       99.976
SET       0.383       99.977
SET       0.391       99.978
SET       0.399       99.979
SET       0.407       99.980
SET       0.415       99.982
SET       0.431       99.983
SET       0.447       99.984
SET       0.463       99.985
SET       0.487       99.987
SET       0.503       99.988
SET       0.511       99.988
SET       0.519       99.989
SET       0.527       99.990
SET       0.535       99.990
SET       0.551       99.991
SET       0.559       99.991
SET       0.567       99.992
SET       0.575       99.993
SET       0.591       99.993
SET       0.599       99.994
SET       0.607       99.994
SET       0.615       99.995
SET       0.615       99.995
SET       0.623       99.995
SET       0.623       99.995
SET       0.631       99.996
SET       0.639       99.996
SET       0.639       99.996
SET       0.647       99.997
SET       0.663       99.997
SET       0.671       99.997
SET       0.671       99.997
SET       0.671       99.997
SET       0.679       99.998
SET       0.679       99.998
SET       0.679       99.998
SET       0.687       99.998
SET       0.687       99.998
SET       0.695       99.998
SET       0.695       99.998
SET       0.703       99.999
SET       0.703       99.999
SET       0.703       99.999
SET       0.703       99.999
SET       0.703       99.999
SET       0.711       99.999
SET       0.711       99.999
SET       0.711       99.999
SET       0.719       99.999
SET       0.727       99.999
SET       0.735       99.999
SET       0.735       99.999
SET       0.735       99.999
SET       0.743       99.999
SET       0.751       99.999
SET       0.751       99.999
SET       0.759      100.000
SET       0.767      100.000
