Results for Memcached on port 11211:
1         Threads
5         Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         5876.86          ---          ---         0.07756         0.07900         0.13500         0.20700       401.10 
Gets        58768.54      3318.43     55450.11         0.07680         0.07900         0.13500         0.20700      1686.36 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      64645.40      3318.43     55450.11         0.07687         0.07900         0.13500         0.20700      2087.46 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.055        5.000
SET       0.055       10.000
SET       0.055       15.000
SET       0.063       20.000
SET       0.071       25.000
SET       0.071       30.000
SET       0.079       35.000
SET       0.079       40.000
SET       0.079       45.000
SET       0.079       50.000
SET       0.079       52.500
SET       0.079       55.000
SET       0.087       57.500
SET       0.087       60.000
SET       0.087       62.500
SET       0.087       65.000
SET       0.087       67.500
SET       0.087       70.000
SET       0.087       72.500
SET       0.087       75.000
SET       0.087       76.250
SET       0.087       77.500
SET       0.087       78.750
SET       0.095       80.000
SET       0.095       81.250
SET       0.095       82.500
SET       0.095       83.750
SET       0.103       85.000
SET       0.103       86.250
SET       0.103       87.500
SET       0.103       88.125
SET       0.103       88.750
SET       0.103       89.375
SET       0.103       90.000
SET       0.103       90.625
SET       0.103       91.250
SET       0.103       91.875
SET       0.103       92.500
SET       0.103       93.125
SET       0.103       93.750
SET       0.103       94.062
SET       0.103       94.375
SET       0.103       94.688
SET       0.103       95.000
SET       0.103       95.312
SET       0.103       95.625
SET       0.103       95.938
SET       0.111       96.250
SET       0.111       96.562
SET       0.111       96.875
SET       0.111       97.031
SET       0.111       97.188
SET       0.111       97.344
SET       0.111       97.500
SET       0.111       97.656
SET       0.119       97.812
SET       0.119       97.969
SET       0.119       98.125
SET       0.119       98.281
SET       0.119       98.438
SET       0.127       98.516
SET       0.127       98.594
SET       0.127       98.672
SET       0.127       98.750
SET       0.127       98.828
SET       0.135       98.906
SET       0.135       98.984
SET       0.135       99.062
SET       0.135       99.141
SET       0.143       99.219
SET       0.143       99.258
SET       0.143       99.297
SET       0.143       99.336
SET       0.151       99.375
SET       0.151       99.414
SET       0.151       99.453
SET       0.151       99.492
SET       0.159       99.531
SET       0.159       99.570
SET       0.167       99.609
SET       0.167       99.629
SET       0.167       99.648
SET       0.167       99.668
SET       0.175       99.688
SET       0.175       99.707
SET       0.175       99.727
SET       0.175       99.746
SET       0.183       99.766
SET       0.183       99.785
SET       0.191       99.805
SET       0.191       99.814
SET       0.191       99.824
SET       0.191       99.834
SET       0.199       99.844
SET       0.199       99.854
SET       0.199       99.863
SET       0.199       99.873
SET       0.207       99.883
SET       0.207       99.893
SET       0.207       99.902
SET       0.215       99.907
SET       0.215       99.912
SET       0.215       99.917
SET       0.215       99.922
SET       0.215       99.927
SET       0.223       99.932
SET       0.223       99.937
SET       0.223       99.941
SET       0.231       99.946
SET       0.231       99.951
SET       0.231       99.954
SET       0.231       99.956
SET       0.239       99.958
SET       0.239       99.961
SET       0.239       99.963
SET       0.239       99.966
SET       0.247       99.968
SET       0.247       99.971
SET       0.247       99.973
SET       0.255       99.976
SET       0.255       99.977
SET       0.255       99.978
SET       0.255       99.979
SET       0.263       99.980
SET       0.263       99.982
SET       0.263       99.983
SET       0.271       99.984
SET       0.271       99.985
SET       0.271       99.987
SET       0.279       99.988
SET       0.279       99.988
SET       0.279       99.989
SET       0.287       99.990
SET       0.287       99.990
SET       0.295       99.991
SET       0.295       99.991
SET       0.295       99.992
SET       0.303       99.993
SET       0.303       99.993
SET       0.311       99.994
SET       0.311       99.994
SET       0.311       99.995
SET       0.319       99.995
SET       0.319       99.995
SET       0.319       99.995
SET       0.327       99.996
SET       0.327       99.996
SET       0.327       99.996
SET       0.335       99.997
SET       0.335       99.997
SET       0.343       99.997
SET       0.343       99.997
SET       0.343       99.997
SET       0.351       99.998
SET       0.359       99.998
SET       0.359       99.998
SET       0.359       99.998
SET       0.375       99.998
SET       0.383       99.998
SET       0.399       99.998
SET       0.415       99.999
SET       0.415       99.999
SET       0.423       99.999
SET       0.439       99.999
SET       0.447       99.999
SET       0.455       99.999
SET       0.463       99.999
SET       0.479       99.999
SET       0.495       99.999
SET       0.543       99.999
SET       0.567       99.999
SET       0.583       99.999
SET       0.599       99.999
SET       0.607       99.999
SET       0.623       99.999
SET       0.679       99.999
SET       0.719      100.000
SET       0.719      100.000
