Results for Memcached on port 11211:
1         Threads
334       Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         8529.76          ---          ---         3.57026         3.13500         6.04700        32.38300       582.14 
Gets        85294.85        62.57     85232.28         3.55755         3.13500         6.01500        31.99900      2160.17 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      93824.60        62.57     85232.28         3.55871         3.13500         6.01500        32.12700      2742.31 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.303        0.000
SET       2.959        5.000
SET       2.991       10.000
SET       3.023       15.000
SET       3.039       20.000
SET       3.055       25.000
SET       3.071       30.000
SET       3.087       35.000
SET       3.103       40.000
SET       3.119       45.000
SET       3.135       50.000
SET       3.135       52.500
SET       3.151       55.000
SET       3.167       57.500
SET       3.167       60.000
SET       3.183       62.500
SET       3.199       65.000
SET       3.215       67.500
SET       3.231       70.000
SET       3.263       72.500
SET       3.295       75.000
SET       3.311       76.250
SET       3.327       77.500
SET       3.375       78.750
SET       3.407       80.000
SET       3.471       81.250
SET       3.567       82.500
SET       3.695       83.750
SET       3.935       85.000
SET       4.415       86.250
SET       5.023       87.500
SET       5.087       88.125
SET       5.151       88.750
SET       5.183       89.375
SET       5.215       90.000
SET       5.247       90.625
SET       5.247       91.250
SET       5.279       91.875
SET       5.311       92.500
SET       5.343       93.125
SET       5.375       93.750
SET       5.375       94.062
SET       5.407       94.375
SET       5.407       94.688
SET       5.439       95.000
SET       5.439       95.312
SET       5.471       95.625
SET       5.503       95.938
SET       5.503       96.250
SET       5.535       96.562
SET       5.567       96.875
SET       5.599       97.031
SET       5.599       97.188
SET       5.631       97.344
SET       5.631       97.500
SET       5.663       97.656
SET       5.663       97.812
SET       5.695       97.969
SET       5.727       98.125
SET       5.759       98.281
SET       5.791       98.438
SET       5.791       98.516
SET       5.823       98.594
SET       5.855       98.672
SET       5.887       98.750
SET       5.919       98.828
SET       5.951       98.906
SET       6.015       98.984
SET       6.079       99.062
SET       6.207       99.141
SET       6.335       99.219
SET       6.463       99.258
SET       6.687       99.297
SET       7.135       99.336
SET       8.255       99.375
SET       9.983       99.414
SET      11.839       99.453
SET      13.695       99.492
SET      15.615       99.531
SET      17.407       99.570
SET      19.199       99.609
SET      20.095       99.629
SET      20.991       99.648
SET      21.887       99.668
SET      22.911       99.688
SET      23.807       99.707
SET      24.703       99.727
SET      25.599       99.746
SET      26.623       99.766
SET      27.519       99.785
SET      28.415       99.805
SET      28.799       99.814
SET      29.311       99.824
SET      29.695       99.834
SET      30.207       99.844
SET      30.591       99.854
SET      30.975       99.863
SET      31.359       99.873
SET      31.743       99.883
SET      32.127       99.893
SET      32.511       99.902
SET      32.767       99.907
SET      33.023       99.912
SET      33.791       99.917
SET      34.815       99.922
SET      36.351       99.927
SET      37.887       99.932
SET      39.679       99.937
SET      41.215       99.941
SET      43.007       99.946
SET      44.799       99.951
SET      45.567       99.954
SET      46.591       99.956
SET      47.615       99.958
SET      48.639       99.961
SET      49.663       99.963
SET      50.431       99.966
SET      51.711       99.968
SET      52.735       99.971
SET      53.759       99.973
SET      54.783       99.976
SET      55.295       99.977
SET      55.807       99.978
SET      56.063       99.979
SET      56.575       99.980
SET      57.087       99.982
SET      57.343       99.983
SET      57.855       99.984
SET      58.367       99.985
SET      58.879       99.987
SET      59.391       99.988
SET      59.647       99.988
SET      59.647       99.989
SET      60.159       99.990
SET      60.415       99.990
SET      60.671       99.991
SET      60.927       99.991
SET      61.183       99.992
SET      61.439       99.993
SET      62.207       99.993
SET      63.487       99.994
SET      65.535       99.994
SET      66.559       99.995
SET      66.559       99.995
SET      66.559       99.995
SET      67.071       99.995
SET     146.431       99.996
SET     146.431       99.996
SET     146.431       99.996
SET     146.431       99.997
SET     146.431       99.997
SET     147.455       99.997
SET     147.455       99.997
SET     147.455       99.997
SET     147.455       99.998
SET     147.455       99.998
SET     148.479       99.998
SET     307.199       99.998
SET     307.199       99.998
SET     307.199       99.998
SET     307.199       99.998
SET     307.199       99.999
SET     307.199       99.999
SET     307.199       99.999
SET     307.199       99.999
SET     307.199       99.999
SET     307.199       99.999
SET     307.199       99.999
SET     307.199       99.999
SET     307.199       99.999
SET     307.199       99.999
SET     307.199       99.999
SET     307.199       99.999
SET     307.199       99.999
SET     307.199       99.999
SET     307.199       99.999
SET     307.199       99.999
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     307.199      100.000
SET     309.247      100.000
SET     309.247      100.000
---
GET       0.247        0.000
GET       2.959        5.000
GET       2.991       10.000
GET       3.023       15.000
GET       3.039       20.000
GET       3.055       25.000
GET       3.071       30.000
GET       3.087       35.000
GET       3.103       40.000
GET       3.119       45.000
GET       3.135       50.000
GET       3.135       52.500
GET       3.151       55.000
GET       3.167       57.500
