Results for Memcached on port 11212:
4         Threads
33        Connections per thread
60        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        12056.80          ---          ---         1.01229         0.52700         4.28700        75.26300       822.84 
Gets       120555.75      1060.73    119495.03         0.97831         0.52700         4.12700        69.63100      3111.90 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     132612.55      1060.73    119495.03         0.98140         0.52700         4.12700        70.65500      3934.74 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.167        5.000
SET       0.223       10.000
SET       0.263       15.000
SET       0.303       20.000
SET       0.335       25.000
SET       0.375       30.000
SET       0.415       35.000
SET       0.447       40.000
SET       0.487       45.000
SET       0.527       50.000
SET       0.559       52.500
SET       0.591       55.000
SET       0.631       57.500
SET       0.663       60.000
SET       0.695       62.500
SET       0.735       65.000
SET       0.767       67.500
SET       0.807       70.000
SET       0.855       72.500
SET       0.903       75.000
SET       0.935       76.250
SET       0.959       77.500
SET       0.991       78.750
SET       1.031       80.000
SET       1.071       81.250
SET       1.119       82.500
SET       1.167       83.750
SET       1.215       85.000
SET       1.263       86.250
SET       1.311       87.500
SET       1.335       88.125
SET       1.367       88.750
SET       1.391       89.375
SET       1.423       90.000
SET       1.447       90.625
SET       1.479       91.250
SET       1.519       91.875
SET       1.551       92.500
SET       1.591       93.125
SET       1.631       93.750
SET       1.655       94.062
SET       1.687       94.375
SET       1.711       94.688
SET       1.743       95.000
SET       1.783       95.312
SET       1.823       95.625
SET       1.863       95.938
SET       1.919       96.250
SET       1.983       96.562
SET       2.063       96.875
SET       2.095       97.031
SET       2.143       97.188
SET       2.191       97.344
SET       2.255       97.500
SET       2.319       97.656
SET       2.399       97.812
SET       2.479       97.969
SET       2.591       98.125
SET       2.703       98.281
SET       2.863       98.438
SET       2.959       98.516
SET       3.071       98.594
SET       3.199       98.672
SET       3.343       98.750
SET       3.535       98.828
SET       3.807       98.906
SET       4.191       98.984
SET       4.671       99.062
SET       5.311       99.141
SET       6.335       99.219
SET       6.975       99.258
SET       7.711       99.297
SET       8.447       99.336
SET       9.471       99.375
SET      10.687       99.414
SET      12.159       99.453
SET      13.695       99.492
SET      15.295       99.531
SET      17.279       99.570
SET      19.583       99.609
SET      21.119       99.629
SET      22.399       99.648
SET      24.319       99.668
SET      26.495       99.688
SET      28.031       99.707
SET      30.591       99.727
SET      33.535       99.746
SET      36.351       99.766
SET      39.423       99.785
SET      42.239       99.805
SET      44.543       99.814
SET      46.591       99.824
SET      49.151       99.834
SET      51.199       99.844
SET      54.783       99.854
SET      57.599       99.863
SET      61.183       99.873
SET      65.023       99.883
SET      71.679       99.893
SET      75.775       99.902
SET      78.847       99.907
SET      82.431       99.912
SET      85.503       99.917
SET      89.087       99.922
SET      91.647       99.927
SET      97.279       99.932
SET     102.399       99.937
SET     110.591       99.941
SET     115.199       99.946
SET     123.391       99.951
SET     133.119       99.954
SET     136.191       99.956
SET     142.335       99.958
SET     146.431       99.961
SET     151.551       99.963
SET     155.647       99.966
SET     162.815       99.968
SET     171.007       99.971
SET     177.151       99.973
SET     185.343       99.976
SET     191.487       99.977
SET     201.727       99.978
SET     211.967       99.979
SET     220.159       99.980
SET     234.495       99.982
SET     255.999       99.983
SET     266.239       99.984
SET     268.287       99.985
SET     268.287       99.987
SET     272.383       99.988
SET     296.959       99.988
SET     299.007       99.989
SET     299.007       99.990
SET     303.103       99.990
SET     307.199       99.991
SET     309.247       99.991
SET     327.679       99.992
SET     350.207       99.993
SET     356.351       99.993
SET     364.543       99.994
SET     366.591       99.994
SET     389.119       99.995
SET     399.359       99.995
SET     425.983       99.995
SET     425.983       99.995
SET     436.223       99.996
SET     489.471       99.996
SET     501.759       99.996
SET     501.759       99.997
SET     544.767       99.997
SET     544.767       99.997
SET     557.055       99.997
SET     704.511       99.997
SET     708.607       99.998
SET     712.703       99.998
SET     712.703       99.998
SET     712.703       99.998
SET     712.703       99.998
SET     712.703       99.998
SET     716.799       99.998
SET     749.567       99.999
SET     753.663       99.999
SET     753.663       99.999
SET     753.663       99.999
SET     753.663       99.999
SET     761.855       99.999
SET     761.855       99.999
SET     765.951       99.999
SET     765.951       99.999
SET     778.239       99.999
SET     778.239       99.999
SET     868.351       99.999
SET     868.351       99.999
SET     868.351       99.999
SET     868.351       99.999
SET     872.447       99.999
SET     872.447      100.000
---
