Results for Memcached on port 11211:
4         Threads
4         Connections per thread
60        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        10959.69          ---          ---         0.13201         0.08700         0.59100         4.25500       747.98 
Gets       109595.54       989.99    108605.55         0.13057         0.08700         0.58300         4.35100      2830.58 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     120555.23       989.99    108605.55         0.13070         0.08700         0.58300         4.31900      3578.56 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.031        5.000
SET       0.039       10.000
SET       0.047       15.000
SET       0.047       20.000
SET       0.055       25.000
SET       0.063       30.000
SET       0.071       35.000
SET       0.071       40.000
SET       0.079       45.000
SET       0.087       50.000
SET       0.095       52.500
SET       0.103       55.000
SET       0.103       57.500
SET       0.111       60.000
SET       0.119       62.500
SET       0.119       65.000
SET       0.127       67.500
SET       0.135       70.000
SET       0.143       72.500
SET       0.151       75.000
SET       0.159       76.250
SET       0.159       77.500
SET       0.167       78.750
SET       0.167       80.000
SET       0.175       81.250
SET       0.183       82.500
SET       0.191       83.750
SET       0.191       85.000
SET       0.199       86.250
SET       0.207       87.500
SET       0.215       88.125
SET       0.215       88.750
SET       0.223       89.375
SET       0.231       90.000
SET       0.231       90.625
SET       0.239       91.250
SET       0.247       91.875
SET       0.255       92.500
SET       0.263       93.125
SET       0.271       93.750
SET       0.279       94.062
SET       0.279       94.375
SET       0.287       94.688
SET       0.295       95.000
SET       0.303       95.312
SET       0.311       95.625
SET       0.319       95.938
SET       0.327       96.250
SET       0.335       96.562
SET       0.343       96.875
SET       0.351       97.031
SET       0.359       97.188
SET       0.367       97.344
SET       0.375       97.500
SET       0.383       97.656
SET       0.399       97.812
SET       0.407       97.969
SET       0.423       98.125
SET       0.439       98.281
SET       0.463       98.438
SET       0.471       98.516
SET       0.487       98.594
SET       0.503       98.672
SET       0.519       98.750
SET       0.535       98.828
SET       0.559       98.906
SET       0.583       98.984
SET       0.623       99.062
SET       0.655       99.141
SET       0.703       99.219
SET       0.735       99.258
SET       0.767       99.297
SET       0.799       99.336
SET       0.839       99.375
SET       0.887       99.414
SET       0.943       99.453
SET       1.015       99.492
SET       1.087       99.531
SET       1.175       99.570
SET       1.287       99.609
SET       1.359       99.629
SET       1.431       99.648
SET       1.511       99.668
SET       1.591       99.688
SET       1.711       99.707
SET       1.807       99.727
SET       1.943       99.746
SET       2.079       99.766
SET       2.255       99.785
SET       2.431       99.805
SET       2.543       99.814
SET       2.671       99.824
SET       2.799       99.834
SET       2.991       99.844
SET       3.151       99.854
SET       3.327       99.863
SET       3.551       99.873
SET       3.807       99.883
SET       4.031       99.893
SET       4.351       99.902
SET       4.511       99.907
SET       4.703       99.912
SET       4.863       99.917
SET       5.151       99.922
SET       5.343       99.927
SET       5.535       99.932
SET       5.823       99.937
SET       6.111       99.941
SET       6.463       99.946
SET       6.783       99.951
SET       7.039       99.954
SET       7.359       99.956
SET       7.679       99.958
SET       8.095       99.961
SET       8.383       99.963
SET       9.151       99.966
SET       9.343       99.968
SET       9.599       99.971
SET      10.047       99.973
SET      10.943       99.976
SET      11.263       99.977
SET      11.775       99.978
SET      11.967       99.979
SET      12.223       99.980
SET      12.735       99.982
SET      13.823       99.983
SET      14.527       99.984
SET      15.039       99.985
SET      15.807       99.987
SET      16.319       99.988
SET      16.639       99.988
SET      16.767       99.989
SET      17.151       99.990
SET      17.279       99.990
SET      17.535       99.991
SET      18.559       99.991
SET      19.455       99.992
SET      21.119       99.993
SET      22.143       99.993
SET      22.783       99.994
SET      23.295       99.994
SET      24.191       99.995
SET      26.751       99.995
SET      27.519       99.995
SET      27.903       99.995
SET      31.359       99.996
SET      33.279       99.996
SET      34.047       99.996
SET      34.815       99.997
SET      37.375       99.997
SET      38.655       99.997
SET      39.423       99.997
SET      39.679       99.997
SET      43.263       99.998
SET      43.263       99.998
SET      47.871       99.998
SET      47.871       99.998
SET      49.407       99.998
SET      49.407       99.998
SET      50.431       99.998
SET      51.711       99.999
SET      51.711       99.999
SET      55.295       99.999
SET      55.295       99.999
SET      55.295       99.999
SET      55.295       99.999
SET      61.439       99.999
SET      61.439       99.999
SET      64.511       99.999
SET      64.511       99.999
SET      67.071       99.999
SET      67.071       99.999
SET      67.071       99.999
SET      67.071       99.999
SET      84.991       99.999
SET      84.991       99.999
SET      84.991      100.000
SET      84.991      100.000
