Results for Memcached on port 11211:
4         Threads
200       Connections per thread
60        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         6532.29          ---          ---        11.51536         8.03100        66.55900       166.91100       445.49 
Gets        65254.81       493.96     64760.86        11.10193         7.99900        60.92700       125.95100      1679.91 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      71787.10       493.96     64760.86        11.13955         7.99900        61.43900       128.51100      2125.40 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.071        0.000
SET       1.511        5.000
SET       1.727       10.000
SET       2.159       15.000
SET       2.607       20.000
SET       2.879       25.000
SET       3.263       30.000
SET       4.543       35.000
SET       5.887       40.000
SET       7.007       45.000
SET       8.031       50.000
SET       8.639       52.500
SET       9.151       55.000
SET       9.727       57.500
SET      10.303       60.000
SET      10.943       62.500
SET      11.583       65.000
SET      12.287       67.500
SET      12.991       70.000
SET      13.759       72.500
SET      14.719       75.000
SET      15.231       76.250
SET      15.743       77.500
SET      16.319       78.750
SET      16.895       80.000
SET      17.535       81.250
SET      18.303       82.500
SET      19.071       83.750
SET      19.839       85.000
SET      20.863       86.250
SET      21.887       87.500
SET      22.399       88.125
SET      22.911       88.750
SET      23.167       89.375
SET      23.679       90.000
SET      24.063       90.625
SET      24.703       91.250
SET      25.343       91.875
SET      26.111       92.500
SET      27.007       93.125
SET      28.159       93.750
SET      28.927       94.062
SET      29.567       94.375
SET      30.207       94.688
SET      31.103       95.000
SET      31.871       95.312
SET      32.767       95.625
SET      33.535       95.938
SET      34.559       96.250
SET      35.839       96.562
SET      37.631       96.875
SET      38.655       97.031
SET      39.935       97.188
SET      40.959       97.344
SET      42.239       97.500
SET      43.263       97.656
SET      44.287       97.812
SET      45.567       97.969
SET      47.103       98.125
SET      49.407       98.281
SET      51.967       98.438
SET      53.247       98.516
SET      54.783       98.594
SET      56.575       98.672
SET      58.367       98.750
SET      60.671       98.828
SET      63.231       98.906
SET      66.047       98.984
SET      69.119       99.062
SET      71.679       99.141
SET      75.775       99.219
SET      77.823       99.258
SET      79.871       99.297
SET      82.943       99.336
SET      85.503       99.375
SET      88.063       99.414
SET      90.623       99.453
SET      93.183       99.492
SET      95.743       99.531
SET      99.327       99.570
SET     104.447       99.609
SET     106.495       99.629
SET     109.055       99.648
SET     111.615       99.668
SET     115.199       99.688
SET     117.759       99.707
SET     119.807       99.727
SET     122.879       99.746
SET     125.951       99.766
SET     130.559       99.785
SET     140.287       99.805
SET     143.359       99.814
SET     148.479       99.824
SET     148.479       99.834
SET     148.479       99.844
SET     149.503       99.854
SET     149.503       99.863
SET     149.503       99.873
SET     160.767       99.883
SET     165.887       99.893
SET     167.935       99.902
SET     175.103       99.907
SET     180.223       99.912
SET     196.607       99.917
SET     356.351       99.922
SET     356.351       99.927
SET     356.351       99.932
SET     356.351       99.937
SET     356.351       99.941
SET     360.447       99.946
SET     360.447       99.951
SET     360.447       99.954
SET     360.447       99.956
SET     360.447       99.958
SET     360.447       99.961
SET     360.447       99.963
SET     360.447       99.966
SET     368.639       99.968
SET     370.687       99.971
SET     419.839       99.973
SET     419.839      100.000
---
GET       0.047        0.000
GET       1.511        5.000
GET       1.727       10.000
GET       2.143       15.000
GET       2.591       20.000
GET       2.879       25.000
GET       3.231       30.000
GET       4.479       35.000
GET       5.823       40.000
GET       6.975       45.000
GET       7.999       50.000
GET       8.575       52.500
GET       9.151       55.000
GET       9.727       57.500
GET      10.303       60.000
GET      10.879       62.500
GET      11.583       65.000
GET      12.223       67.500
GET      12.991       70.000
GET      13.759       72.500
GET      14.591       75.000
GET      15.103       76.250
GET      15.679       77.500
GET      16.191       78.750
GET      16.895       80.000
GET      17.535       81.250
GET      18.175       82.500
GET      18.943       83.750
GET      19.711       85.000
GET      20.735       86.250
GET      21.631       87.500
GET      22.143       88.125
GET      22.655       88.750
GET      23.167       89.375
GET      23.423       90.000
GET      23.935       90.625
GET      24.447       91.250
GET      25.087       91.875
GET      25.855       92.500
GET      26.751       93.125
GET      27.775       93.750
GET      28.415       94.062
GET      29.055       94.375
GET      29.823       94.688
GET      30.463       95.000
GET      31.231       95.312
GET      32.127       95.625
GET      33.023       95.938
GET      34.047       96.250
GET      35.327       96.562
GET      36.607       96.875
GET      37.631       97.031
GET      38.399       97.188
GET      39.679       97.344
GET      40.703       97.500
GET      41.983       97.656
GET      43.007       97.812
GET      44.287       97.969
GET      45.311       98.125
GET      46.847       98.281
GET      48.895       98.438
GET      50.431       98.516
GET      51.711       98.594
GET      53.247       98.672
GET      54.527       98.750
GET      56.575       98.828
GET      58.367       98.906
GET      60.671       98.984
GET      63.231       99.062
GET      66.047       99.141
GET      69.119       99.219
GET      70.655       99.258
GET      72.703       99.297
GET      74.751       99.336
GET      76.799       99.375
GET      78.847       99.414
GET      81.407       99.453
GET      84.479       99.492
GET      87.039       99.531
GET      89.599       99.570
GET      92.159       99.609
GET      93.695       99.629
GET      95.231       99.648
GET      96.767       99.668
GET      98.303       99.688
GET     100.863       99.707
GET     103.423       99.727
GET     104.959       99.746
GET     107.007       99.766
GET     110.079       99.785
GET     112.127       99.805
GET     113.663       99.814
GET     115.199       99.824
GET     116.735       99.834
GET     117.759       99.844
GET     118.783       99.854
GET     119.807       99.863
GET     121.855       99.873
GET     122.879       99.883
GET     124.415       99.893
GET     126.463       99.902
GET     127.487       99.907
GET     128.511       99.912
GET     129.535       99.917
GET     131.071       99.922
GET     133.119       99.927
GET     136.191       99.932
GET     138.239       99.937
GET     139.263       99.941
GET     142.335       99.946
GET     143.359       99.951
GET     145.407       99.954
GET     146.431       99.956
GET     147.455       99.958
GET     148.479       99.961
GET     150.527       99.963
GET     152.575       99.966
GET     154.623       99.968
GET     155.647       99.971
GET     156.671       99.973
GET     158.719       99.976
GET     160.767       99.977
GET     162.815       99.978
GET     164.863       99.979
GET     167.935       99.980
GET     168.959       99.982
GET     171.007       99.983
GET     173.055       99.984
GET     175.103       99.985
GET     178.175       99.987
GET     180.223       99.988
GET     180.223       99.988
GET     181.247       99.989
GET     182.271       99.990
GET     183.295       99.990
GET     184.319       99.991
GET     185.343       99.991
GET     187.391       99.992
