Results for Memcached on port 11214:
4         Threads
20        Connections per thread
60        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         6934.69          ---          ---         1.06015         0.71900         4.99100        48.12700       473.27 
Gets        69340.18       576.89     68763.29         1.04408         0.71900         4.83100        44.54300      1787.86 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      76274.88       576.89     68763.29         1.04554         0.71900         4.83100        44.79900      2261.14 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.135        5.000
SET       0.167       10.000
SET       0.207       15.000
SET       0.255       20.000
SET       0.295       25.000
SET       0.375       30.000
SET       0.463       35.000
SET       0.551       40.000
SET       0.639       45.000
SET       0.719       50.000
SET       0.759       52.500
SET       0.799       55.000
SET       0.839       57.500
SET       0.879       60.000
SET       0.927       62.500
SET       0.967       65.000
SET       1.015       67.500
SET       1.063       70.000
SET       1.111       72.500
SET       1.167       75.000
SET       1.199       76.250
SET       1.231       77.500
SET       1.263       78.750
SET       1.295       80.000
SET       1.327       81.250
SET       1.367       82.500
SET       1.415       83.750
SET       1.455       85.000
SET       1.511       86.250
SET       1.567       87.500
SET       1.591       88.125
SET       1.623       88.750
SET       1.663       89.375
SET       1.695       90.000
SET       1.743       90.625
SET       1.783       91.250
SET       1.831       91.875
SET       1.879       92.500
SET       1.943       93.125
SET       2.007       93.750
SET       2.047       94.062
SET       2.095       94.375
SET       2.127       94.688
SET       2.175       95.000
SET       2.239       95.312
SET       2.303       95.625
SET       2.367       95.938
SET       2.447       96.250
SET       2.527       96.562
SET       2.639       96.875
SET       2.703       97.031
SET       2.767       97.188
SET       2.831       97.344
SET       2.911       97.500
SET       3.007       97.656
SET       3.087       97.812
SET       3.215       97.969
SET       3.343       98.125
SET       3.503       98.281
SET       3.711       98.438
SET       3.823       98.516
SET       3.967       98.594
SET       4.127       98.672
SET       4.287       98.750
SET       4.479       98.828
SET       4.671       98.906
SET       4.927       98.984
SET       5.279       99.062
SET       5.663       99.141
SET       6.079       99.219
SET       6.271       99.258
SET       6.527       99.297
SET       6.847       99.336
SET       7.231       99.375
SET       7.615       99.414
SET       8.159       99.453
SET       8.703       99.492
SET       9.471       99.531
SET      10.367       99.570
SET      11.583       99.609
SET      12.415       99.629
SET      13.247       99.648
SET      14.207       99.668
SET      15.423       99.688
SET      16.511       99.707
SET      18.047       99.727
SET      19.327       99.746
SET      21.503       99.766
SET      23.807       99.785
SET      26.367       99.805
SET      27.775       99.814
SET      29.695       99.824
SET      31.743       99.834
SET      33.279       99.844
SET      35.071       99.854
SET      36.095       99.863
SET      38.143       99.873
SET      41.215       99.883
SET      44.543       99.893
SET      48.639       99.902
SET      50.687       99.907
SET      55.039       99.912
SET      57.599       99.917
SET      61.183       99.922
SET      63.743       99.927
SET      66.559       99.932
SET      70.143       99.937
SET      76.287       99.941
SET      82.943       99.946
SET      86.527       99.951
SET      90.111       99.954
SET      95.231       99.956
SET      98.303       99.958
SET     100.351       99.961
SET     100.351       99.963
SET     105.983       99.966
SET     108.031       99.968
SET     127.999       99.971
SET     137.215       99.973
SET     143.359       99.976
SET     151.551       99.977
SET     153.599       99.978
SET     158.719       99.979
SET     160.767       99.980
SET     172.031       99.982
SET     175.103       99.983
SET     178.175       99.984
SET     188.415       99.985
SET     203.775       99.987
SET     207.871       99.988
SET     208.895       99.988
SET     220.159       99.989
SET     220.159       99.990
SET     230.399       99.990
SET     230.399       99.991
SET     262.143       99.991
SET     264.191       99.992
SET     272.383       99.993
SET     331.775       99.993
SET     376.831       99.994
SET     407.551       99.994
SET     407.551       99.995
SET     411.647       99.995
SET     411.647       99.995
SET     411.647       99.995
SET     411.647       99.996
SET     419.839       99.996
SET     425.983       99.996
SET     425.983       99.997
SET     438.271       99.997
SET     438.271       99.997
SET     438.271       99.997
SET     438.271       99.997
SET     438.271       99.998
SET     440.319       99.998
SET     475.135       99.998
SET     475.135       99.998
SET     589.823       99.998
SET     593.919       99.998
SET     593.919       99.998
SET     593.919       99.999
SET     593.919       99.999
SET     593.919       99.999
SET     593.919       99.999
SET     778.239       99.999
SET     778.239       99.999
SET     778.239       99.999
SET     778.239       99.999
SET     778.239       99.999
SET     778.239       99.999
SET     778.239       99.999
SET     802.815       99.999
SET     802.815       99.999
SET     802.815       99.999
SET     802.815       99.999
SET     802.815       99.999
SET     802.815      100.000
SET     806.911      100.000
