Results for Redis on port 6379:
1         Threads
1024      Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         8999.04          ---          ---        10.36571         8.95900        62.20700        73.72700       693.25 
Gets        89981.71      8219.89     81761.82        10.34125         8.95900        61.95100        73.21500      3777.97 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      98980.75      8219.89     81761.82        10.34347         8.95900        61.95100        73.21500      4471.22 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.087        0.000
SET       8.383        5.000
SET       8.511       10.000
SET       8.639       15.000
SET       8.639       20.000
SET       8.703       25.000
SET       8.767       30.000
SET       8.831       35.000
SET       8.831       40.000
SET       8.895       45.000
SET       8.959       50.000
SET       8.959       52.500
SET       9.023       55.000
SET       9.023       57.500
SET       9.087       60.000
SET       9.087       62.500
SET       9.151       65.000
SET       9.215       67.500
SET       9.279       70.000
SET       9.343       72.500
SET       9.407       75.000
SET       9.471       76.250
SET       9.535       77.500
SET       9.535       78.750
SET       9.599       80.000
SET       9.727       81.250
SET       9.791       82.500
SET       9.855       83.750
SET       9.983       85.000
SET      10.111       86.250
SET      10.239       87.500
SET      10.367       88.125
SET      10.431       88.750
SET      10.559       89.375
SET      10.687       90.000
SET      10.815       90.625
SET      10.943       91.250
SET      11.135       91.875
SET      11.327       92.500
SET      11.583       93.125
SET      11.967       93.750
SET      12.223       94.062
SET      12.479       94.375
SET      12.671       94.688
SET      12.863       95.000
SET      13.055       95.312
SET      13.247       95.625
SET      13.439       95.938
SET      13.823       96.250
SET      14.399       96.562
SET      15.551       96.875
SET      16.767       97.031
SET      18.431       97.188
SET      21.503       97.344
SET      25.471       97.500
SET      29.567       97.656
SET      33.791       97.812
SET      37.631       97.969
SET      41.727       98.125
SET      45.567       98.281
SET      49.663       98.438
SET      51.455       98.516
SET      53.503       98.594
SET      55.551       98.672
SET      57.599       98.750
SET      59.391       98.828
SET      60.927       98.906
SET      61.951       98.984
SET      62.975       99.062
SET      63.743       99.141
SET      64.511       99.219
SET      65.023       99.258
SET      65.535       99.297
SET      66.047       99.336
SET      66.559       99.375
SET      66.559       99.414
SET      67.071       99.453
SET      67.583       99.492
SET      68.095       99.531
SET      68.095       99.570
SET      68.607       99.609
SET      69.119       99.629
SET      69.119       99.648
SET      69.119       99.668
SET      69.631       99.688
SET      69.631       99.707
SET      70.143       99.727
SET      70.143       99.746
SET      70.655       99.766
SET      70.655       99.785
SET      71.167       99.805
SET      71.167       99.814
SET      71.679       99.824
SET      71.679       99.834
SET      72.191       99.844
SET      72.191       99.854
SET      72.191       99.863
SET      72.703       99.873
SET      72.703       99.883
SET      73.215       99.893
SET      73.727       99.902
SET      73.727       99.907
SET      74.239       99.912
SET      74.239       99.917
SET      74.751       99.922
SET      74.751       99.927
SET      75.263       99.932
SET      75.775       99.937
SET      76.287       99.941
SET      76.799       99.946
SET      77.311       99.951
SET      77.823       99.954
SET      78.335       99.956
SET      78.847       99.958
SET      79.359       99.961
SET      79.871       99.963
SET      80.895       99.966
SET      81.919       99.968
SET      83.455       99.971
SET      86.015       99.973
SET      88.575       99.976
SET      89.599       99.977
SET      91.135       99.978
SET      92.671       99.979
SET      94.719       99.980
SET      96.767       99.982
SET      97.791       99.983
SET     100.351       99.984
SET     102.911       99.985
SET     106.495       99.987
SET     111.615       99.988
SET     113.663       99.988
SET     115.711       99.989
SET     183.295       99.990
SET     183.295       99.990
SET     184.319       99.991
SET     184.319       99.991
SET     185.343       99.992
SET     185.343       99.993
SET     186.367       99.993
SET     186.367       99.994
SET     187.391       99.994
SET     187.391       99.995
SET     187.391       99.995
SET     187.391       99.995
SET     187.391       99.995
SET     188.415       99.996
SET     189.439       99.996
SET     189.439       99.996
SET     189.439       99.997
SET     189.439       99.997
SET     189.439       99.997
SET     190.463       99.997
SET     190.463       99.997
SET     190.463       99.998
SET     190.463       99.998
SET     190.463       99.998
SET     190.463       99.998
SET     190.463       99.998
SET     190.463       99.998
SET     191.487       99.998
SET     191.487       99.999
SET     191.487       99.999
SET     191.487       99.999
SET     191.487       99.999
SET     191.487       99.999
SET     191.487       99.999
SET     191.487       99.999
SET     191.487       99.999
SET     191.487       99.999
SET     191.487       99.999
SET     191.487       99.999
SET     191.487       99.999
SET     191.487       99.999
SET     191.487       99.999
SET     191.487       99.999
SET     191.487       99.999
SET     191.487      100.000
SET     191.487      100.000
SET     191.487      100.000
SET     191.487      100.000
SET     191.487      100.000
SET     192.511      100.000
SET     192.511      100.000
---
GET       3.023        0.000
GET       8.383        5.000
GET       8.511       10.000
GET       8.639       15.000
GET       8.639       20.000
GET       8.703       25.000
GET       8.767       30.000
GET       8.831       35.000
GET       8.831       40.000
GET       8.895       45.000
GET       8.959       50.000
GET       8.959       52.500
GET       9.023       55.000
GET       9.023       57.500
GET       9.087       60.000
GET       9.087       62.500
GET       9.151       65.000
GET       9.215       67.500
GET       9.279       70.000
GET       9.343       72.500
GET       9.407       75.000
GET       9.471       76.250
GET       9.535       77.500
GET       9.535       78.750
GET       9.599       80.000
GET       9.727       81.250
GET       9.791       82.500
GET       9.855       83.750
GET       9.983       85.000
GET      10.111       86.250
GET      10.239       87.500
GET      10.367       88.125
GET      10.431       88.750
GET      10.559       89.375
GET      10.687       90.000
GET      10.815       90.625
GET      10.943       91.250
GET      11.135       91.875
GET      11.327       92.500
GET      11.583       93.125
GET      11.967       93.750
GET      12.223       94.062
GET      12.479       94.375
GET      12.671       94.688
GET      12.863       95.000
GET      13.055       95.312
GET      13.247       95.625
GET      13.439       95.938
GET      13.759       96.250
GET      14.335       96.562
GET      15.423       96.875
GET      16.639       97.031
GET      18.303       97.188
GET      20.991       97.344
GET      24.959       97.500
GET      28.927       97.656
GET      33.023       97.812
GET      37.119       97.969
GET      41.215       98.125
GET      45.055       98.281
GET      49.151       98.438
GET      51.199       98.516
GET      53.247       98.594
GET      55.295       98.672
GET      57.343       98.750
GET      59.135       98.828
GET      60.671       98.906
GET      61.951       98.984
GET      62.719       99.062
GET      63.743       99.141
GET      64.511       99.219
GET      64.767       99.258
GET      65.279       99.297
GET      66.047       99.336
GET      66.047       99.375
GET      66.559       99.414
GET      67.071       99.453
GET      67.583       99.492
GET      67.583       99.531
GET      68.095       99.570
GET      68.607       99.609
GET      68.607       99.629
GET      69.119       99.648
GET      69.119       99.668
GET      69.631       99.688
GET      69.631       99.707
GET      70.143       99.727
GET      70.143       99.746
GET      70.655       99.766
GET      70.655       99.785
GET      71.167       99.805
GET      71.167       99.814
GET      71.167       99.824
GET      71.679       99.834
GET      71.679       99.844
GET      72.191       99.854
GET      72.191       99.863
GET      72.191       99.873
GET      72.703       99.883
GET      72.703       99.893
GET      73.215       99.902
GET      73.215       99.907
GET      73.727       99.912
GET      73.727       99.917
GET      74.239       99.922
GET      74.239       99.927
GET      74.751       99.932
GET      74.751       99.937
GET      75.263       99.941
GET      75.775       99.946
GET      75.775       99.951
GET      76.287       99.954
GET      76.287       99.956
GET      76.799       99.958
GET      77.311       99.961
GET      77.311       99.963
GET      77.823       99.966
GET      78.335       99.968
GET      78.847       99.971
GET      79.359       99.973
GET      80.383       99.976
GET      80.895       99.977
GET      81.407       99.978
GET      81.919       99.979
GET      82.431       99.980
GET      82.943       99.982
GET      83.967       99.983
GET      85.503       99.984
GET      87.039       99.985
GET      88.063       99.987
GET      89.599       99.988
GET      90.111       99.988
GET      90.623       99.989
GET      91.135       99.990
GET      92.159       99.990
GET      93.183       99.991
GET      94.719       99.991
GET      95.743       99.992
GET      96.767       99.993
GET      97.279       99.993
GET      98.303       99.994
GET      98.815       99.994
GET      99.327       99.995
GET      99.839       99.995
GET     100.351       99.995
