Results for Redis on port 6379:
1         Threads
100       Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        11503.19          ---          ---         0.79008         0.73500         1.20700         3.47100       886.19 
Gets       115031.11     13761.61    101269.50         0.78973         0.73500         1.20700         3.51900      4937.84 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     126534.29     13761.61    101269.50         0.78976         0.73500         1.20700         3.51900      5824.02 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.199        0.000
SET       0.591        5.000
SET       0.647       10.000
SET       0.679       15.000
SET       0.695       20.000
SET       0.703       25.000
SET       0.711       30.000
SET       0.719       35.000
SET       0.727       40.000
SET       0.727       45.000
SET       0.735       50.000
SET       0.743       52.500
SET       0.743       55.000
SET       0.751       57.500
SET       0.751       60.000
SET       0.759       62.500
SET       0.767       65.000
SET       0.775       67.500
SET       0.791       70.000
SET       0.815       72.500
SET       0.847       75.000
SET       0.863       76.250
SET       0.879       77.500
SET       0.895       78.750
SET       0.919       80.000
SET       0.943       81.250
SET       0.959       82.500
SET       0.983       83.750
SET       0.999       85.000
SET       1.015       86.250
SET       1.031       87.500
SET       1.039       88.125
SET       1.047       88.750
SET       1.055       89.375
SET       1.055       90.000
SET       1.063       90.625
SET       1.071       91.250
SET       1.079       91.875
SET       1.079       92.500
SET       1.087       93.125
SET       1.095       93.750
SET       1.095       94.062
SET       1.103       94.375
SET       1.103       94.688
SET       1.103       95.000
SET       1.111       95.312
SET       1.111       95.625
SET       1.119       95.938
SET       1.119       96.250
SET       1.127       96.562
SET       1.135       96.875
SET       1.135       97.031
SET       1.135       97.188
SET       1.143       97.344
SET       1.143       97.500
SET       1.151       97.656
SET       1.151       97.812
SET       1.159       97.969
SET       1.159       98.125
SET       1.167       98.281
SET       1.175       98.438
SET       1.175       98.516
SET       1.183       98.594
SET       1.183       98.672
SET       1.191       98.750
SET       1.199       98.828
SET       1.199       98.906
SET       1.207       98.984
SET       1.215       99.062
SET       1.223       99.141
SET       1.239       99.219
SET       1.247       99.258
SET       1.247       99.297
SET       1.255       99.336
SET       1.263       99.375
SET       1.279       99.414
SET       1.287       99.453
SET       1.303       99.492
SET       1.319       99.531
SET       1.335       99.570
SET       1.359       99.609
SET       1.367       99.629
SET       1.383       99.648
SET       1.399       99.668
SET       1.415       99.688
SET       1.439       99.707
SET       1.463       99.727
SET       1.487       99.746
SET       1.519       99.766
SET       1.559       99.785
SET       1.623       99.805
SET       1.663       99.814
SET       1.703       99.824
SET       1.767       99.834
SET       1.863       99.844
SET       1.975       99.854
SET       2.175       99.863
SET       2.447       99.873
SET       2.783       99.883
SET       3.151       99.893
SET       3.567       99.902
SET       3.775       99.907
SET       3.983       99.912
SET       4.223       99.917
SET       4.447       99.922
SET       4.671       99.927
SET       4.927       99.932
SET       5.119       99.937
SET       5.343       99.941
SET       5.567       99.946
SET       5.759       99.951
SET       5.887       99.954
SET       6.015       99.956
SET       6.111       99.958
SET       6.239       99.961
SET       6.367       99.963
SET       6.463       99.966
SET       6.559       99.968
SET       6.687       99.971
SET       6.815       99.973
SET       6.911       99.976
SET       6.943       99.977
SET       7.007       99.978
SET       7.071       99.979
SET       7.135       99.980
SET       7.167       99.982
SET       7.199       99.983
SET       7.263       99.984
SET       7.295       99.985
SET       7.359       99.987
SET       7.391       99.988
SET       7.423       99.988
SET       7.423       99.989
SET       7.455       99.990
SET       7.455       99.990
SET       7.487       99.991
SET       7.519       99.991
SET       7.551       99.992
SET       7.583       99.993
SET       7.583       99.993
SET       7.615       99.994
SET       7.615       99.994
SET       7.647       99.995
SET       7.647       99.995
SET       7.679       99.995
SET       7.679       99.995
SET       7.711       99.996
SET       7.711       99.996
SET       7.743       99.996
SET       7.743       99.997
SET       7.775       99.997
SET       7.775       99.997
SET       7.807       99.997
SET       7.807       99.997
SET       7.807       99.998
SET       7.839       99.998
SET       7.871       99.998
SET       7.871       99.998
SET       7.903       99.998
SET       7.935       99.998
SET       7.967       99.998
SET       7.967       99.999
SET       7.999       99.999
SET       8.031       99.999
SET       8.031       99.999
SET       8.063       99.999
SET       8.095       99.999
SET       8.127       99.999
SET       8.159       99.999
SET       8.191       99.999
SET       8.255       99.999
SET       8.255       99.999
SET       8.255       99.999
SET       8.319       99.999
SET       8.319       99.999
SET       8.383       99.999
SET       8.767       99.999
SET       8.959      100.000
SET       9.087      100.000
SET       9.407      100.000
SET       9.727      100.000
SET       9.727      100.000
SET       9.855      100.000
SET      10.303      100.000
SET      10.303      100.000
SET      10.559      100.000
SET      10.623      100.000
SET      10.687      100.000
SET      10.815      100.000
SET      10.879      100.000
SET      10.943      100.000
SET      11.071      100.000
SET      11.071      100.000
SET      11.071      100.000
SET      11.263      100.000
SET      11.327      100.000
SET      11.327      100.000
SET      11.391      100.000
SET      11.519      100.000
SET      11.519      100.000
SET      12.031      100.000
SET      12.031      100.000
SET      12.159      100.000
SET      12.159      100.000
SET      12.159      100.000
SET      12.159      100.000
SET      12.159      100.000
SET      12.159      100.000
SET      12.415      100.000
SET      12.415      100.000
