Results for Redis on port 6379:
1         Threads
10        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        11032.27          ---          ---         0.08252         0.08700         0.17500         0.25500       849.92 
Gets       110322.63     13139.55     97183.08         0.08197         0.07900         0.17500         0.25500      4733.78 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     121354.90     13139.55     97183.08         0.08202         0.07900         0.17500         0.25500      5583.71 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.023        0.000
SET       0.055        5.000
SET       0.063       10.000
SET       0.063       15.000
SET       0.071       20.000
SET       0.071       25.000
SET       0.071       30.000
SET       0.079       35.000
SET       0.079       40.000
SET       0.079       45.000
SET       0.087       50.000
SET       0.087       52.500
SET       0.087       55.000
SET       0.087       57.500
SET       0.087       60.000
SET       0.087       62.500
SET       0.087       65.000
SET       0.087       67.500
SET       0.087       70.000
SET       0.095       72.500
SET       0.095       75.000
SET       0.095       76.250
SET       0.095       77.500
SET       0.095       78.750
SET       0.095       80.000
SET       0.095       81.250
SET       0.103       82.500
SET       0.103       83.750
SET       0.103       85.000
SET       0.103       86.250
SET       0.103       87.500
SET       0.103       88.125
SET       0.111       88.750
SET       0.111       89.375
SET       0.111       90.000
SET       0.111       90.625
SET       0.111       91.250
SET       0.119       91.875
SET       0.119       92.500
SET       0.119       93.125
SET       0.119       93.750
SET       0.127       94.062
SET       0.127       94.375
SET       0.127       94.688
SET       0.127       95.000
SET       0.127       95.312
SET       0.127       95.625
SET       0.135       95.938
SET       0.135       96.250
SET       0.135       96.562
SET       0.135       96.875
SET       0.143       97.031
SET       0.143       97.188
SET       0.143       97.344
SET       0.143       97.500
SET       0.143       97.656
SET       0.151       97.812
SET       0.151       97.969
SET       0.151       98.125
SET       0.159       98.281
SET       0.159       98.438
SET       0.159       98.516
SET       0.167       98.594
SET       0.167       98.672
SET       0.167       98.750
SET       0.175       98.828
SET       0.175       98.906
SET       0.175       98.984
SET       0.183       99.062
SET       0.183       99.141
SET       0.183       99.219
SET       0.191       99.258
SET       0.191       99.297
SET       0.191       99.336
SET       0.191       99.375
SET       0.199       99.414
SET       0.199       99.453
SET       0.199       99.492
SET       0.207       99.531
SET       0.207       99.570
SET       0.207       99.609
SET       0.207       99.629
SET       0.215       99.648
SET       0.215       99.668
SET       0.215       99.688
SET       0.215       99.707
SET       0.223       99.727
SET       0.223       99.746
SET       0.223       99.766
SET       0.231       99.785
SET       0.231       99.805
SET       0.231       99.814
SET       0.231       99.824
SET       0.239       99.834
SET       0.239       99.844
SET       0.239       99.854
SET       0.239       99.863
SET       0.247       99.873
SET       0.247       99.883
SET       0.247       99.893
SET       0.255       99.902
SET       0.255       99.907
SET       0.255       99.912
SET       0.263       99.917
SET       0.263       99.922
SET       0.263       99.927
SET       0.263       99.932
SET       0.271       99.937
SET       0.271       99.941
SET       0.279       99.946
SET       0.279       99.951
SET       0.287       99.954
SET       0.287       99.956
SET       0.287       99.958
SET       0.287       99.961
SET       0.295       99.963
SET       0.295       99.966
SET       0.303       99.968
SET       0.303       99.971
SET       0.311       99.973
SET       0.319       99.976
SET       0.319       99.977
SET       0.319       99.978
SET       0.327       99.979
SET       0.335       99.980
SET       0.335       99.982
SET       0.343       99.983
SET       0.351       99.984
SET       0.359       99.985
SET       0.375       99.987
SET       0.383       99.988
SET       0.391       99.988
SET       0.399       99.989
SET       0.407       99.990
SET       0.423       99.990
SET       0.431       99.991
SET       0.447       99.991
SET       0.463       99.992
SET       0.471       99.993
SET       0.495       99.993
SET       0.511       99.994
SET       0.519       99.994
SET       0.527       99.995
SET       0.527       99.995
SET       0.535       99.995
SET       0.543       99.995
SET       0.559       99.996
SET       0.567       99.996
SET       0.575       99.996
SET       0.583       99.997
SET       0.591       99.997
SET       0.591       99.997
SET       0.599       99.997
SET       0.615       99.997
SET       0.623       99.998
SET       0.631       99.998
SET       0.639       99.998
SET       0.647       99.998
SET       0.647       99.998
SET       0.655       99.998
SET       0.663       99.998
SET       0.671       99.999
SET       0.679       99.999
SET       0.695       99.999
SET       0.703       99.999
SET       0.727       99.999
SET       0.735       99.999
SET       0.759       99.999
SET       0.783       99.999
SET       0.799       99.999
SET       0.839       99.999
SET       0.871       99.999
SET       0.911       99.999
SET       0.919       99.999
SET       0.935       99.999
SET       0.983       99.999
SET       0.991       99.999
SET       1.007      100.000
SET       1.055      100.000
SET       1.087      100.000
SET       1.095      100.000
SET       1.119      100.000
SET       1.143      100.000
SET       1.143      100.000
SET       1.183      100.000
SET       1.239      100.000
SET       1.247      100.000
SET       1.247      100.000
SET       1.247      100.000
SET       1.351      100.000
SET       1.359      100.000
SET       1.359      100.000
SET       1.407      100.000
SET       1.431      100.000
SET       1.431      100.000
SET       1.607      100.000
SET       1.727      100.000
SET       1.727      100.000
SET       1.807      100.000
SET       1.839      100.000
SET       1.839      100.000
SET       1.839      100.000
SET       2.079      100.000
SET       2.079      100.000
