Results for Redis on port 6379:
1         Threads
5         Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        10562.74          ---          ---         0.04299         0.04700         0.11100         0.18300       813.75 
Gets       105627.36     10181.61     95445.75         0.04225         0.04700         0.11100         0.18300      4452.67 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     116190.10     10181.61     95445.75         0.04232         0.04700         0.11100         0.18300      5266.42 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.031        5.000
SET       0.031       10.000
SET       0.031       15.000
SET       0.031       20.000
SET       0.031       25.000
SET       0.039       30.000
SET       0.039       35.000
SET       0.039       40.000
SET       0.047       45.000
SET       0.047       50.000
SET       0.047       52.500
SET       0.047       55.000
SET       0.047       57.500
SET       0.047       60.000
SET       0.047       62.500
SET       0.047       65.000
SET       0.047       67.500
SET       0.047       70.000
SET       0.047       72.500
SET       0.055       75.000
SET       0.055       76.250
SET       0.055       77.500
SET       0.055       78.750
SET       0.055       80.000
SET       0.055       81.250
SET       0.055       82.500
SET       0.055       83.750
SET       0.055       85.000
SET       0.055       86.250
SET       0.063       87.500
SET       0.063       88.125
SET       0.063       88.750
SET       0.063       89.375
SET       0.063       90.000
SET       0.063       90.625
SET       0.063       91.250
SET       0.063       91.875
SET       0.063       92.500
SET       0.063       93.125
SET       0.071       93.750
SET       0.071       94.062
SET       0.071       94.375
SET       0.071       94.688
SET       0.071       95.000
SET       0.071       95.312
SET       0.071       95.625
SET       0.079       95.938
SET       0.079       96.250
SET       0.079       96.562
SET       0.079       96.875
SET       0.079       97.031
SET       0.079       97.188
SET       0.087       97.344
SET       0.087       97.500
SET       0.087       97.656
SET       0.087       97.812
SET       0.087       97.969
SET       0.095       98.125
SET       0.095       98.281
SET       0.095       98.438
SET       0.095       98.516
SET       0.103       98.594
SET       0.103       98.672
SET       0.103       98.750
SET       0.103       98.828
SET       0.103       98.906
SET       0.111       98.984
SET       0.111       99.062
SET       0.111       99.141
SET       0.119       99.219
SET       0.119       99.258
SET       0.119       99.297
SET       0.119       99.336
SET       0.119       99.375
SET       0.127       99.414
SET       0.127       99.453
SET       0.127       99.492
SET       0.135       99.531
SET       0.135       99.570
SET       0.135       99.609
SET       0.143       99.629
SET       0.143       99.648
SET       0.143       99.668
SET       0.143       99.688
SET       0.151       99.707
SET       0.151       99.727
SET       0.151       99.746
SET       0.159       99.766
SET       0.159       99.785
SET       0.167       99.805
SET       0.167       99.814
SET       0.167       99.824
SET       0.167       99.834
SET       0.167       99.844
SET       0.175       99.854
SET       0.175       99.863
SET       0.175       99.873
SET       0.183       99.883
SET       0.183       99.893
SET       0.183       99.902
SET       0.183       99.907
SET       0.191       99.912
SET       0.191       99.917
SET       0.191       99.922
SET       0.191       99.927
SET       0.191       99.932
SET       0.199       99.937
SET       0.199       99.941
SET       0.199       99.946
SET       0.207       99.951
SET       0.207       99.954
SET       0.207       99.956
SET       0.207       99.958
SET       0.207       99.961
SET       0.215       99.963
SET       0.215       99.966
SET       0.215       99.968
SET       0.215       99.971
SET       0.223       99.973
SET       0.223       99.976
SET       0.223       99.977
SET       0.223       99.978
SET       0.231       99.979
SET       0.231       99.980
SET       0.231       99.982
SET       0.231       99.983
SET       0.239       99.984
SET       0.239       99.985
SET       0.239       99.987
SET       0.247       99.988
SET       0.247       99.988
SET       0.247       99.989
SET       0.247       99.990
SET       0.255       99.990
SET       0.255       99.991
SET       0.255       99.991
SET       0.263       99.992
SET       0.263       99.993
SET       0.271       99.993
SET       0.279       99.994
SET       0.279       99.994
SET       0.279       99.995
SET       0.287       99.995
SET       0.287       99.995
SET       0.295       99.995
SET       0.295       99.996
SET       0.303       99.996
SET       0.303       99.996
SET       0.311       99.997
SET       0.311       99.997
SET       0.319       99.997
SET       0.319       99.997
SET       0.327       99.997
SET       0.327       99.998
SET       0.335       99.998
SET       0.335       99.998
SET       0.351       99.998
SET       0.351       99.998
SET       0.367       99.998
SET       0.383       99.998
SET       0.391       99.999
SET       0.399       99.999
SET       0.399       99.999
SET       0.407       99.999
SET       0.423       99.999
SET       0.439       99.999
SET       0.447       99.999
SET       0.447       99.999
SET       0.479       99.999
SET       0.495       99.999
SET       0.527       99.999
SET       0.559       99.999
SET       0.583       99.999
SET       0.599       99.999
SET       0.615       99.999
SET       0.647       99.999
SET       0.671      100.000
SET       0.687      100.000
