Results for Redis on port 6379:
1         Threads
100       Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         9037.33          ---          ---         1.00543         0.95100         1.59900         2.19100       696.22 
Gets        90372.43     10782.10     79590.33         1.00507         0.95100         1.59900         2.19100      3878.34 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      99409.76     10782.10     79590.33         1.00510         0.95100         1.59900         2.19100      4574.56 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.111        0.000
SET       0.647        5.000
SET       0.711       10.000
SET       0.735       15.000
SET       0.759       20.000
SET       0.791       25.000
SET       0.839       30.000
SET       0.887       35.000
SET       0.919       40.000
SET       0.935       45.000
SET       0.951       50.000
SET       0.967       52.500
SET       0.975       55.000
SET       0.991       57.500
SET       1.007       60.000
SET       1.031       62.500
SET       1.063       65.000
SET       1.103       67.500
SET       1.151       70.000
SET       1.199       72.500
SET       1.247       75.000
SET       1.271       76.250
SET       1.287       77.500
SET       1.303       78.750
SET       1.319       80.000
SET       1.327       81.250
SET       1.343       82.500
SET       1.359       83.750
SET       1.367       85.000
SET       1.383       86.250
SET       1.391       87.500
SET       1.399       88.125
SET       1.407       88.750
SET       1.415       89.375
SET       1.415       90.000
SET       1.423       90.625
SET       1.431       91.250
SET       1.439       91.875
SET       1.447       92.500
SET       1.455       93.125
SET       1.463       93.750
SET       1.463       94.062
SET       1.471       94.375
SET       1.471       94.688
SET       1.479       95.000
SET       1.479       95.312
SET       1.487       95.625
SET       1.495       95.938
SET       1.495       96.250
SET       1.503       96.562
SET       1.511       96.875
SET       1.511       97.031
SET       1.519       97.188
SET       1.519       97.344
SET       1.527       97.500
SET       1.527       97.656
SET       1.535       97.812
SET       1.535       97.969
SET       1.543       98.125
SET       1.551       98.281
SET       1.559       98.438
SET       1.559       98.516
SET       1.567       98.594
SET       1.575       98.672
SET       1.575       98.750
SET       1.583       98.828
SET       1.591       98.906
SET       1.599       98.984
SET       1.607       99.062
SET       1.623       99.141
SET       1.639       99.219
SET       1.647       99.258
SET       1.655       99.297
SET       1.671       99.336
SET       1.687       99.375
SET       1.703       99.414
SET       1.719       99.453
SET       1.743       99.492
SET       1.775       99.531
SET       1.815       99.570
SET       1.863       99.609
SET       1.887       99.629
SET       1.911       99.648
SET       1.927       99.668
SET       1.951       99.688
SET       1.967       99.707
SET       1.991       99.727
SET       2.007       99.746
SET       2.031       99.766
SET       2.047       99.785
SET       2.079       99.805
SET       2.079       99.814
SET       2.095       99.824
SET       2.111       99.834
SET       2.111       99.844
SET       2.127       99.854
SET       2.143       99.863
SET       2.143       99.873
SET       2.159       99.883
SET       2.175       99.893
SET       2.191       99.902
SET       2.191       99.907
SET       2.207       99.912
SET       2.223       99.917
SET       2.223       99.922
SET       2.239       99.927
SET       2.255       99.932
SET       2.255       99.937
SET       2.271       99.941
SET       2.303       99.946
SET       2.335       99.951
SET       2.351       99.954
SET       2.383       99.956
SET       2.447       99.958
SET       2.591       99.961
SET       2.815       99.963
SET       2.991       99.966
SET       3.199       99.968
SET       3.423       99.971
SET       3.631       99.973
SET       3.807       99.976
SET       3.903       99.977
SET       3.999       99.978
SET       4.127       99.979
SET       4.351       99.980
SET       4.607       99.982
SET       4.895       99.983
SET       5.215       99.984
SET       5.503       99.985
SET       5.727       99.987
SET       5.951       99.988
SET       6.047       99.988
SET       6.207       99.989
SET       6.431       99.990
SET       6.623       99.990
SET       6.879       99.991
SET       7.039       99.991
SET       7.295       99.992
SET       7.487       99.993
SET       7.679       99.993
SET       7.871       99.994
SET       8.063       99.994
SET       8.255       99.995
SET       8.447       99.995
SET       8.639       99.995
SET       8.767       99.995
SET       8.959       99.996
SET       9.343       99.996
SET       9.727       99.996
SET       9.983       99.997
SET      10.431       99.997
SET      10.623       99.997
SET      10.687       99.997
SET      10.943       99.997
SET      11.199       99.998
SET      11.327       99.998
SET      11.583       99.998
SET      11.839       99.998
SET      11.967       99.998
SET      12.159       99.998
SET      12.415       99.998
SET      12.415       99.999
SET      12.479       99.999
SET      12.735       99.999
SET      12.735       99.999
SET      12.863       99.999
SET      13.119       99.999
SET      13.247       99.999
SET      13.375       99.999
SET      13.439       99.999
SET      13.631       99.999
SET      13.695       99.999
SET      13.759       99.999
SET      13.759       99.999
SET      13.759       99.999
SET      13.887       99.999
SET      14.015       99.999
SET      14.143      100.000
SET      14.143      100.000
SET      14.335      100.000
SET      14.463      100.000
SET      14.463      100.000
SET      14.527      100.000
SET      14.591      100.000
SET      14.591      100.000
SET      14.591      100.000
SET      14.655      100.000
SET      14.655      100.000
SET      14.719      100.000
SET      14.719      100.000
SET      14.783      100.000
SET      14.847      100.000
SET      14.847      100.000
SET      14.847      100.000
SET      14.847      100.000
SET      14.911      100.000
SET      14.911      100.000
SET      14.975      100.000
SET      14.975      100.000
SET      15.039      100.000
SET      15.039      100.000
SET      15.103      100.000
SET      15.103      100.000
SET      15.103      100.000
SET      15.103      100.000
SET      15.103      100.000
SET      15.103      100.000
SET      15.103      100.000
SET      15.103      100.000
SET      15.103      100.000
SET      15.103      100.000
SET      15.103      100.000
SET      15.103      100.000
SET      15.103      100.000
SET      15.103      100.000
SET      15.551      100.000
SET      15.551      100.000
SET      15.551      100.000
SET      15.551      100.000
SET      15.551      100.000
SET      15.551      100.000
SET      15.551      100.000
SET      15.551      100.000
SET      15.551      100.000
SET      15.551      100.000
SET      15.999      100.000
SET      15.999      100.000
---
GET       0.111        0.000
GET       0.647        5.000
GET       0.711       10.000
GET       0.735       15.000
GET       0.759       20.000
GET       0.783       25.000
GET       0.839       30.000
GET       0.887       35.000
GET       0.919       40.000
GET       0.935       45.000
GET       0.951       50.000
GET       0.967       52.500
GET       0.975       55.000
GET       0.991       57.500
GET       1.007       60.000
