Results for Redis on port 6381:
1         Threads
5         Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         7928.36          ---          ---         0.05728         0.05500         0.11900         0.16700       610.80 
Gets        79283.56      3660.41     75623.15         0.05668         0.05500         0.11900         0.16700      3209.95 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      87211.92      3660.41     75623.15         0.05673         0.05500         0.11900         0.16700      3820.75 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.039        5.000
SET       0.039       10.000
SET       0.047       15.000
SET       0.047       20.000
SET       0.047       25.000
SET       0.047       30.000
SET       0.047       35.000
SET       0.055       40.000
SET       0.055       45.000
SET       0.055       50.000
SET       0.063       52.500
SET       0.063       55.000
SET       0.063       57.500
SET       0.063       60.000
SET       0.063       62.500
SET       0.063       65.000
SET       0.063       67.500
SET       0.071       70.000
SET       0.071       72.500
SET       0.071       75.000
SET       0.071       76.250
SET       0.071       77.500
SET       0.071       78.750
SET       0.071       80.000
SET       0.071       81.250
SET       0.071       82.500
SET       0.071       83.750
SET       0.079       85.000
SET       0.079       86.250
SET       0.079       87.500
SET       0.079       88.125
SET       0.079       88.750
SET       0.079       89.375
SET       0.079       90.000
SET       0.079       90.625
SET       0.087       91.250
SET       0.087       91.875
SET       0.087       92.500
SET       0.087       93.125
SET       0.087       93.750
SET       0.087       94.062
SET       0.095       94.375
SET       0.095       94.688
SET       0.095       95.000
SET       0.095       95.312
SET       0.095       95.625
SET       0.095       95.938
SET       0.103       96.250
SET       0.103       96.562
SET       0.103       96.875
SET       0.103       97.031
SET       0.103       97.188
SET       0.103       97.344
SET       0.103       97.500
SET       0.103       97.656
SET       0.111       97.812
SET       0.111       97.969
SET       0.111       98.125
SET       0.111       98.281
SET       0.111       98.438
SET       0.111       98.516
SET       0.111       98.594
SET       0.111       98.672
SET       0.111       98.750
SET       0.119       98.828
SET       0.119       98.906
SET       0.119       98.984
SET       0.119       99.062
SET       0.119       99.141
SET       0.119       99.219
SET       0.119       99.258
SET       0.119       99.297
SET       0.119       99.336
SET       0.127       99.375
SET       0.127       99.414
SET       0.127       99.453
SET       0.127       99.492
SET       0.127       99.531
SET       0.127       99.570
SET       0.135       99.609
SET       0.135       99.629
SET       0.135       99.648
SET       0.135       99.668
SET       0.135       99.688
SET       0.135       99.707
SET       0.135       99.727
SET       0.143       99.746
SET       0.143       99.766
SET       0.143       99.785
SET       0.151       99.805
SET       0.151       99.814
SET       0.151       99.824
SET       0.151       99.834
SET       0.151       99.844
SET       0.159       99.854
SET       0.159       99.863
SET       0.159       99.873
SET       0.159       99.883
SET       0.167       99.893
SET       0.167       99.902
SET       0.167       99.907
SET       0.167       99.912
SET       0.175       99.917
SET       0.175       99.922
SET       0.175       99.927
SET       0.175       99.932
SET       0.175       99.937
SET       0.183       99.941
SET       0.183       99.946
SET       0.183       99.951
SET       0.183       99.954
SET       0.191       99.956
SET       0.191       99.958
SET       0.191       99.961
SET       0.191       99.963
SET       0.191       99.966
SET       0.199       99.968
SET       0.199       99.971
SET       0.199       99.973
SET       0.199       99.976
SET       0.199       99.977
SET       0.207       99.978
SET       0.207       99.979
SET       0.207       99.980
SET       0.207       99.982
SET       0.207       99.983
SET       0.207       99.984
SET       0.215       99.985
SET       0.215       99.987
SET       0.215       99.988
SET       0.215       99.988
SET       0.223       99.989
SET       0.223       99.990
SET       0.223       99.990
SET       0.223       99.991
SET       0.223       99.991
SET       0.231       99.992
SET       0.231       99.993
SET       0.231       99.993
SET       0.231       99.994
SET       0.239       99.994
SET       0.239       99.995
SET       0.239       99.995
SET       0.247       99.995
SET       0.247       99.995
SET       0.247       99.996
SET       0.247       99.996
SET       0.255       99.996
SET       0.255       99.997
SET       0.255       99.997
SET       0.255       99.997
SET       0.263       99.997
SET       0.263       99.997
SET       0.263       99.998
SET       0.271       99.998
SET       0.279       99.998
SET       0.287       99.998
SET       0.287       99.998
SET       0.295       99.998
SET       0.303       99.998
SET       0.303       99.999
SET       0.303       99.999
SET       0.311       99.999
SET       0.319       99.999
SET       0.327       99.999
SET       0.335       99.999
SET       0.335       99.999
SET       0.351       99.999
SET       0.359       99.999
SET       0.367       99.999
SET       0.367       99.999
SET       0.383       99.999
SET       0.391       99.999
SET       0.399       99.999
SET       0.407       99.999
SET       0.423       99.999
SET       0.423      100.000
SET       0.463      100.000
