Results for Redis on port 6381:
1         Threads
1024      Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         5187.20          ---          ---        18.02972        15.16700        83.96700       143.35900       399.59 
Gets        51863.44      3601.87     48261.57        17.95313        15.16700        82.94300       140.28700      2139.83 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      57050.64      3601.87     48261.57        17.96009        15.16700        82.94300       140.28700      2539.42 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.879        0.000
SET       8.319        5.000
SET       9.663       10.000
SET      10.495       15.000
SET      11.199       20.000
SET      11.839       25.000
SET      12.543       30.000
SET      13.183       35.000
SET      13.823       40.000
SET      14.527       45.000
SET      15.167       50.000
SET      15.487       52.500
SET      15.807       55.000
SET      16.191       57.500
SET      16.511       60.000
SET      16.895       62.500
SET      17.279       65.000
SET      17.791       67.500
SET      18.175       70.000
SET      18.687       72.500
SET      19.327       75.000
SET      19.583       76.250
SET      19.967       77.500
SET      20.351       78.750
SET      20.863       80.000
SET      21.247       81.250
SET      21.759       82.500
SET      22.271       83.750
SET      22.783       85.000
SET      23.423       86.250
SET      24.191       87.500
SET      24.575       88.125
SET      24.959       88.750
SET      25.471       89.375
SET      25.983       90.000
SET      26.495       90.625
SET      27.135       91.250
SET      27.775       91.875
SET      28.671       92.500
SET      29.695       93.125
SET      30.975       93.750
SET      31.615       94.062
SET      32.511       94.375
SET      33.535       94.688
SET      34.559       95.000
SET      35.839       95.312
SET      37.375       95.625
SET      39.167       95.938
SET      41.471       96.250
SET      44.543       96.562
SET      48.639       96.875
SET      50.687       97.031
SET      52.991       97.188
SET      55.295       97.344
SET      57.855       97.500
SET      60.415       97.656
SET      62.719       97.812
SET      65.279       97.969
SET      68.095       98.125
SET      70.655       98.281
SET      73.215       98.438
SET      74.239       98.516
SET      75.775       98.594
SET      76.799       98.672
SET      78.335       98.750
SET      79.871       98.828
SET      81.407       98.906
SET      83.455       98.984
SET      85.503       99.062
SET      87.551       99.141
SET      89.599       99.219
SET      91.135       99.258
SET      92.671       99.297
SET      94.207       99.336
SET      95.743       99.375
SET      97.279       99.414
SET      98.815       99.453
SET     100.863       99.492
SET     102.911       99.531
SET     105.471       99.570
SET     108.031       99.609
SET     109.567       99.629
SET     111.103       99.648
SET     112.639       99.668
SET     114.687       99.688
SET     116.223       99.707
SET     118.271       99.727
SET     120.319       99.746
SET     122.367       99.766
SET     124.927       99.785
SET     127.487       99.805
SET     129.023       99.814
SET     130.047       99.824
SET     131.071       99.834
SET     133.119       99.844
SET     135.167       99.854
SET     136.191       99.863
SET     138.239       99.873
SET     140.287       99.883
SET     142.335       99.893
SET     144.383       99.902
SET     145.407       99.907
