Results for Redis on port 6382:
1         Threads
100       Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         4660.13          ---          ---         1.73896         1.49500         4.83100         5.98300       359.01 
Gets        46600.54      2246.45     44354.09         1.73955         1.49500         4.79900         5.98300      1889.85 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      51260.67      2246.45     44354.09         1.73950         1.49500         4.79900         5.98300      2248.85 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.167        0.000
SET       0.911        5.000
SET       0.991       10.000
SET       1.039       15.000
SET       1.079       20.000
SET       1.119       25.000
SET       1.167       30.000
SET       1.239       35.000
SET       1.319       40.000
SET       1.407       45.000
SET       1.495       50.000
SET       1.543       52.500
SET       1.583       55.000
SET       1.615       57.500
SET       1.655       60.000
SET       1.695       62.500
SET       1.735       65.000
SET       1.783       67.500
SET       1.831       70.000
SET       1.895       72.500
SET       1.959       75.000
SET       1.991       76.250
SET       2.039       77.500
SET       2.095       78.750
SET       2.175       80.000
SET       2.271       81.250
SET       2.367       82.500
SET       2.447       83.750
SET       2.543       85.000
SET       2.623       86.250
SET       2.703       87.500
SET       2.751       88.125
SET       2.799       88.750
SET       2.847       89.375
SET       2.895       90.000
SET       2.943       90.625
SET       3.007       91.250
SET       3.071       91.875
SET       3.135       92.500
SET       3.215       93.125
SET       3.311       93.750
SET       3.359       94.062
SET       3.423       94.375
SET       3.471       94.688
SET       3.535       95.000
SET       3.615       95.312
SET       3.695       95.625
SET       3.775       95.938
SET       3.855       96.250
SET       3.951       96.562
SET       4.047       96.875
SET       4.095       97.031
SET       4.159       97.188
SET       4.191       97.344
SET       4.255       97.500
SET       4.287       97.656
SET       4.351       97.812
SET       4.383       97.969
SET       4.447       98.125
SET       4.511       98.281
SET       4.575       98.438
SET       4.607       98.516
SET       4.639       98.594
SET       4.671       98.672
SET       4.703       98.750
SET       4.735       98.828
SET       4.767       98.906
SET       4.799       98.984
SET       4.863       99.062
SET       4.895       99.141
SET       4.927       99.219
SET       4.959       99.258
SET       4.991       99.297
SET       5.023       99.336
SET       5.055       99.375
SET       5.087       99.414
SET       5.119       99.453
SET       5.151       99.492
SET       5.183       99.531
SET       5.215       99.570
SET       5.247       99.609
SET       5.279       99.629
SET       5.311       99.648
SET       5.343       99.668
SET       5.343       99.688
SET       5.375       99.707
SET       5.407       99.727
SET       5.471       99.746
SET       5.503       99.766
SET       5.535       99.785
SET       5.567       99.805
SET       5.599       99.814
SET       5.631       99.824
SET       5.663       99.834
SET       5.695       99.844
SET       5.727       99.854
SET       5.759       99.863
SET       5.823       99.873
SET       5.855       99.883
SET       5.919       99.893
SET       6.015       99.902
SET       6.047       99.907
SET       6.079       99.912
SET       6.143       99.917
SET       6.175       99.922
SET       6.239       99.927
SET       6.367       99.932
SET       6.495       99.937
SET       6.655       99.941
SET       6.943       99.946
SET       7.231       99.951
SET       7.423       99.954
SET       7.647       99.956
SET       7.839       99.958
SET       8.127       99.961
SET       8.383       99.963
SET       8.703       99.966
SET       9.023       99.968
SET       9.343       99.971
SET       9.791       99.973
SET      10.047       99.976
SET      10.367       99.977
SET      10.687       99.978
SET      10.943       99.979
SET      11.391       99.980
SET      11.711       99.982
SET      12.159       99.983
SET      12.863       99.984
SET      13.631       99.985
SET      14.335       99.987
SET      15.423       99.988
SET      16.063       99.988
SET      16.767       99.989
SET      17.535       99.990
SET      18.815       99.990
SET      19.711       99.991
SET      23.295       99.991
SET      24.831       99.992
SET      25.599       99.993
SET      27.007       99.993
SET      29.567       99.994
SET      30.591       99.994
SET      33.535       99.995
SET      35.071       99.995
SET      40.191       99.995
SET      40.959       99.995
SET      52.991       99.996
SET      54.527       99.996
SET      65.535       99.996
SET      66.559       99.997
SET      74.751       99.997
SET      75.775       99.997
SET      78.847       99.997
SET      79.871       99.997
SET      80.895       99.998
SET      81.919       99.998
SET      86.015       99.998
SET      89.087       99.998
SET      90.111       99.998
SET      95.231       99.998
SET     242.687       99.998
SET     242.687       99.999
SET     242.687       99.999
SET     243.711       99.999
SET     243.711       99.999
SET     909.311       99.999
SET     909.311       99.999
SET     909.311       99.999
SET     925.695       99.999
SET     929.791       99.999
SET     929.791       99.999
SET     929.791       99.999
SET     954.367       99.999
SET     954.367       99.999
SET     954.367       99.999
SET     958.463       99.999
SET     958.463       99.999
SET     958.463      100.000
SET     958.463      100.000
SET     958.463      100.000
SET     958.463      100.000
SET     958.463      100.000
SET     958.463      100.000
SET     958.463      100.000
SET     962.559      100.000
SET     962.559      100.000
SET     962.559      100.000
SET     987.135      100.000
SET     987.135      100.000
---
GET       0.151        0.000
GET       0.911        5.000
GET       0.991       10.000
GET       1.039       15.000
GET       1.079       20.000
GET       1.119       25.000
GET       1.167       30.000
GET       1.239       35.000
GET       1.319       40.000
GET       1.407       45.000
GET       1.495       50.000
GET       1.543       52.500
GET       1.583       55.000
GET       1.615       57.500
GET       1.655       60.000
GET       1.695       62.500
GET       1.735       65.000
GET       1.783       67.500
GET       1.831       70.000
GET       1.895       72.500
GET       1.951       75.000
GET       1.991       76.250
GET       2.039       77.500
GET       2.095       78.750
GET       2.175       80.000
GET       2.271       81.250
GET       2.351       82.500
GET       2.447       83.750
GET       2.543       85.000
GET       2.623       86.250
GET       2.703       87.500
GET       2.751       88.125
GET       2.799       88.750
GET       2.847       89.375
GET       2.895       90.000
GET       2.943       90.625
GET       3.007       91.250
GET       3.071       91.875
GET       3.135       92.500
GET       3.215       93.125
GET       3.311       93.750
GET       3.359       94.062
GET       3.407       94.375
GET       3.471       94.688
GET       3.535       95.000
GET       3.615       95.312
GET       3.695       95.625
GET       3.775       95.938
GET       3.855       96.250
GET       3.951       96.562
GET       4.047       96.875
GET       4.095       97.031
GET       4.159       97.188
GET       4.191       97.344
GET       4.255       97.500
GET       4.287       97.656
GET       4.351       97.812
GET       4.383       97.969
GET       4.447       98.125
GET       4.511       98.281
GET       4.543       98.438
GET       4.575       98.516
GET       4.607       98.594
GET       4.639       98.672
GET       4.671       98.750
GET       4.735       98.828
GET       4.767       98.906
GET       4.799       98.984
GET       4.831       99.062
GET       4.895       99.141
GET       4.927       99.219
GET       4.959       99.258
GET       4.991       99.297
GET       5.023       99.336
GET       5.023       99.375
GET       5.055       99.414
GET       5.087       99.453
GET       5.119       99.492
GET       5.183       99.531
GET       5.215       99.570
GET       5.247       99.609
GET       5.279       99.629
GET       5.311       99.648
GET       5.311       99.668
