Results for Redis on port 6380:
1         Threads
10        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         6396.41          ---          ---         0.14155         0.13500         0.31900         0.39100       492.78 
Gets        63963.96      3091.85     60872.11         0.14087         0.13500         0.31100         0.39100      2594.31 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      70360.36      3091.85     60872.11         0.14093         0.13500         0.31900         0.39100      3087.08 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.023        0.000
SET       0.079        5.000
SET       0.087       10.000
SET       0.095       15.000
SET       0.103       20.000
SET       0.111       25.000
SET       0.111       30.000
SET       0.119       35.000
SET       0.127       40.000
SET       0.127       45.000
SET       0.135       50.000
SET       0.135       52.500
SET       0.143       55.000
SET       0.143       57.500
SET       0.143       60.000
SET       0.151       62.500
SET       0.151       65.000
SET       0.159       67.500
SET       0.167       70.000
SET       0.167       72.500
SET       0.175       75.000
SET       0.175       76.250
SET       0.175       77.500
SET       0.183       78.750
SET       0.183       80.000
SET       0.191       81.250
SET       0.191       82.500
SET       0.191       83.750
SET       0.199       85.000
SET       0.199       86.250
SET       0.207       87.500
SET       0.207       88.125
SET       0.207       88.750
SET       0.215       89.375
SET       0.215       90.000
SET       0.215       90.625
SET       0.223       91.250
SET       0.223       91.875
SET       0.223       92.500
SET       0.231       93.125
SET       0.231       93.750
SET       0.239       94.062
SET       0.239       94.375
SET       0.239       94.688
SET       0.247       95.000
SET       0.247       95.312
SET       0.247       95.625
SET       0.255       95.938
SET       0.255       96.250
SET       0.263       96.562
SET       0.263       96.875
SET       0.271       97.031
SET       0.271       97.188
SET       0.271       97.344
SET       0.279       97.500
SET       0.279       97.656
SET       0.279       97.812
SET       0.287       97.969
SET       0.287       98.125
SET       0.295       98.281
SET       0.295       98.438
SET       0.303       98.516
SET       0.303       98.594
SET       0.303       98.672
SET       0.311       98.750
SET       0.311       98.828
SET       0.311       98.906
SET       0.319       98.984
SET       0.319       99.062
SET       0.319       99.141
SET       0.327       99.219
SET       0.327       99.258
SET       0.327       99.297
SET       0.335       99.336
SET       0.335       99.375
SET       0.335       99.414
SET       0.335       99.453
SET       0.343       99.492
SET       0.343       99.531
SET       0.343       99.570
SET       0.351       99.609
SET       0.351       99.629
SET       0.351       99.648
SET       0.351       99.668
SET       0.359       99.688
SET       0.359       99.707
SET       0.359       99.727
SET       0.359       99.746
SET       0.367       99.766
SET       0.367       99.785
SET       0.367       99.805
SET       0.375       99.814
SET       0.375       99.824
SET       0.375       99.834
SET       0.375       99.844
SET       0.375       99.854
SET       0.383       99.863
SET       0.383       99.873
SET       0.383       99.883
SET       0.383       99.893
SET       0.391       99.902
SET       0.391       99.907
SET       0.391       99.912
SET       0.391       99.917
SET       0.391       99.922
SET       0.399       99.927
SET       0.399       99.932
SET       0.399       99.937
SET       0.399       99.941
SET       0.407       99.946
SET       0.407       99.951
SET       0.407       99.954
SET       0.407       99.956
SET       0.407       99.958
SET       0.415       99.961
SET       0.415       99.963
SET       0.415       99.966
SET       0.415       99.968
SET       0.423       99.971
SET       0.423       99.973
SET       0.423       99.976
SET       0.423       99.977
SET       0.431       99.978
SET       0.431       99.979
SET       0.431       99.980
SET       0.431       99.982
SET       0.439       99.983
SET       0.439       99.984
SET       0.439       99.985
SET       0.447       99.987
SET       0.447       99.988
SET       0.455       99.988
SET       0.455       99.989
SET       0.463       99.990
SET       0.463       99.990
SET       0.471       99.991
SET       0.471       99.991
SET       0.479       99.992
SET       0.479       99.993
SET       0.487       99.993
SET       0.495       99.994
SET       0.503       99.994
SET       0.503       99.995
SET       0.519       99.995
SET       0.527       99.995
SET       0.527       99.995
SET       0.543       99.996
SET       0.551       99.996
SET       0.559       99.996
SET       0.567       99.997
SET       0.583       99.997
SET       0.583       99.997
SET       0.599       99.997
SET       0.607       99.997
SET       0.623       99.998
SET       0.647       99.998
SET       0.655       99.998
SET       0.663       99.998
SET       0.679       99.998
SET       0.687       99.998
SET       0.695       99.998
SET       0.703       99.999
SET       0.703       99.999
SET       0.711       99.999
SET       0.719       99.999
SET       0.727       99.999
SET       0.727       99.999
SET       0.743       99.999
SET       0.743       99.999
SET       0.759       99.999
SET       0.775       99.999
SET       0.775       99.999
SET       0.791       99.999
SET       0.823       99.999
SET       0.823       99.999
SET       0.839       99.999
SET       0.839       99.999
SET       0.847      100.000
SET       0.863      100.000
SET       0.879      100.000
SET       0.887      100.000
SET       0.887      100.000
SET       0.887      100.000
SET       0.903      100.000
SET       0.903      100.000
SET       0.903      100.000
SET       0.903      100.000
SET       0.959      100.000
SET       0.959      100.000
SET       0.959      100.000
SET       1.047      100.000
SET       1.055      100.000
SET       1.055      100.000
SET       1.055      100.000
SET       1.079      100.000
SET       1.079      100.000
SET       1.079      100.000
SET       1.111      100.000
SET       1.111      100.000
SET       1.111      100.000
SET       1.383      100.000
SET       1.383      100.000
SET       1.383      100.000
SET       1.383      100.000
