Benchmark Method,Amount of Nodes,Size per Node,Data Size (Bytes),Ops/sec,Hits/sec,Misses/sec,Avg. Latency,p50 Latency,p99 Latency,p99.9 Latency,KB/sec
memcached,5,6,1048576,1434.28,5.32,1428.97,12.87666,4.723,91.003,1483.515,247.29000000000002
redisAggregated,5,6,102400,229408.93,469.08,228939.86,14.13759,11.515,48.955,120.44300000000001,25656.88
redis,5,6,1048576,32297.02,293.08,32003.94,0.0,0.0,6.33537,5.151,12.031
redis,3,10,1048576,40044.45,356.24,39688.21,0.0,0.0,3.42897,2.751,6.815
memcached,1,30,102400,147839.96,1363.79,146476.17,0.81157,0.735,1.631,10.495,39084.94
memcached,5,6,1024,344174.25,785.48,343388.77,12.824950000000001,7.4990000000000006,78.395,771.579,9127.93
redisAggregated,3,10,1,287378.58,625.6200000000001,286752.97000000003,5.69341,4.917,12.829,72.44500000000001,34284.020000000004
redisAggregated,3,10,1024,290221.49,931.62,289289.87,5.63472,4.901,11.565,74.493,11812.79
redis,3,10,102400,231394.01,2047.22,229346.79,0.0,0.0,1.85482,1.687,3.839
redis,1,30,1,124642.77,247.24,124395.53,1.45767,1.423,2.831,3.487,4855.74
memcached,3,10,1048576,2710.2,14.42,2695.7799999999997,8.78349,2.885,67.709,826.877,1196.15
redisAggregated,1,30,1048576,28682.69,99.33,28583.35,1.22419,1.079,2.079,2.719,19475.77
memcached,1,30,1048576,23081.7,206.42,22875.28,1.34391,1.071,4.047,20.095,17776.76
redis,5,6,1024,275641.56,1169.29,274472.26,0.0,0.0,3.25762,2.927,6.783
redisAggregated,5,6,1048576,31264.730000000003,64.67,31200.079999999998,26.01717,18.203,92.027,865.787,6884.299999999999
redis,5,6,102400,205387.3,1856.03,203531.28,0.0,0.0,3.31733,2.847,7.359
memcached,3,10,1024,350091.07,1397.4,348693.67,4.47275,2.173,27.773,349.18100000000004,9625.369999999999
memcached,1,30,1,301283.4,1385.58,299897.82,0.6024,0.543,1.023,1.495,7657.5
redisAggregated,3,10,102400,227104.46000000002,731.87,226372.59,5.23648,4.821,14.621,39.933,35567.490000000005
redis,1,30,1048576,30213.4,112.0,30101.4,1.16746,1.031,1.959,2.351,21748.39
memcached,1,30,1024,302413.61,2773.14,299640.47,0.60021,0.543,1.007,1.415,9120.21
redis,3,10,1024,293603.28,2586.39,291016.89,0.0,0.0,1.85662,1.799,3.647
memcached,5,6,1,342447.5,402.51000000000005,342044.97000000003,13.107159999999999,9.443,61.179,557.563,8669.29
redisAggregated,5,6,1,279669.97000000003,389.68,279280.3,16.340040000000002,14.635,41.723,167.16299999999998,20626.9
redisAggregated,5,6,1024,277485.05,551.4200000000001,276933.63,16.51282,14.779,41.275,134.011,13079.16
memcached,3,10,1,352757.14999999997,733.25,352023.89,4.59449,2.157,33.917,361.469,8939.68
redis,1,30,1024,124190.28,481.08,123709.21,1.46317,1.423,2.831,3.455,5084.87
memcached,3,10,102400,249811.67,1029.99,248781.69,5.32038,2.7489999999999997,52.541,162.04500000000002,45266.05
redis,5,6,1,274875.71,1167.95,273707.76,0.0,0.0,3.30547,3.039,6.943
redis,3,10,1,293475.25,1302.9,292172.35,0.0,0.0,1.85733,1.791,3.631
redisAggregated,1,30,1,115187.98,207.67,114980.31,1.57735,1.535,3.039,3.695,4487.37
redis,1,30,102400,105614.69,405.38,105209.31,1.14885,1.087,2.207,2.511,21948.31
redisAggregated,3,10,1048576,41134.7,121.16,41013.53999999999,9.47153,8.397,31.165,54.653000000000006,17304.16
memcached,5,6,102400,256475.88,584.15,255891.74999999997,13.87978,4.371,124.923,962.5549999999998,27363.88
redisAggregated,1,30,102400,93027.4,330.68,92696.73,1.30035,1.239,2.495,2.847,17388.58
redisAggregated,1,30,1024,114465.23,406.3,114058.93,1.58752,1.543,3.055,3.727,4665.15
