Benchmark Method,Amount of Nodes,Size per Node,Data Size (Bytes),Ops/sec,Hits/sec,Misses/sec,Avg. Latency,p50 Latency,p99 Latency,p99.9 Latency,KB/sec
memcached,5,6,1048576,1578.87,5.32,1428.97,32.13217,5.347,459.00300000000004,3067.899,148304.83000000002
redisAggregated,5,6,102400,252350.81,469.08,228939.86,19.868920000000003,12.331,137.979,245.49900000000002,2320985.0300000003
redis,5,6,1048576,35523.48,293.08,32003.94,0.0,0.0,22.2711,5.375,226.303
redis,3,10,1048576,44050.36,356.24,39688.21,0.0,0.0,11.90081,2.879,124.927
memcached,1,30,102400,162624.17,1363.79,146476.17,1.02698,0.767,4.255,10.431,1518110.31
memcached,5,6,1024,378592.50000000006,785.48,343388.77,12.828240000000001,7.4990000000000006,78.523,770.5550000000001,44886.770000000004
redisAggregated,3,10,1,316116.96,625.6200000000001,286752.97000000003,5.69384,4.917,12.829,72.82900000000001,35599.9
redisAggregated,3,10,1024,319244.13,931.62,289289.87,5.6349,4.901,11.565,74.365,42221.0
redis,3,10,102400,254537.55,2047.22,229346.79,0.0,0.0,2.35601,1.783,10.623
redis,1,30,1,137107.21,247.24,124395.53,1.45794,1.423,2.831,3.487,5426.44
memcached,3,10,1048576,2982.02,14.42,2695.7799999999997,21.10398,3.261,310.781,2015.2289999999998,279560.20999999996
redisAggregated,1,30,1048576,31551.26,99.33,28583.35,6.33677,1.175,59.903,66.559,2957038.1
memcached,1,30,1048576,25390.15,206.42,22875.28,4.70031,1.127,47.615,57.343,2381722.33
redis,5,6,1024,303195.59,1169.29,274472.26,0.0,0.0,3.25809,2.927,6.783
redisAggregated,5,6,1048576,34392.64,64.67,31200.079999999998,110.11991,19.595,1250.299,3346.4269999999997,3210028.9499999997
redis,5,6,102400,225916.8,1856.03,203531.28,0.0,0.0,4.09514,3.023,17.023
memcached,3,10,1024,385100.69,1397.4,348693.67,4.47411,2.173,27.773,349.18100000000004,45998.67
memcached,1,30,1,331411.91,1385.58,299897.82,0.60259,0.543,1.031,1.495,8772.25
redisAggregated,3,10,102400,249815.56,731.87,226372.59,7.200139999999999,5.045,40.445,59.388999999999996,2307806.53
redis,1,30,1048576,33235.04,112.0,30101.4,6.01573,1.135,56.063,60.671,3116063.54
memcached,1,30,1024,332655.14,2773.14,299640.47,0.60032,0.543,1.015,1.415,40539.73
redis,3,10,1024,322959.62,2586.39,291016.89,0.0,0.0,1.85671,1.799,3.647
memcached,5,6,1,376693.12000000005,402.51000000000005,342044.97000000003,13.11356,9.443,61.179,559.611,9936.3
redisAggregated,5,6,1,307637.78,389.68,279280.3,16.344320000000003,14.635,41.723,167.803,21907.48
redisAggregated,5,6,1024,305234.38,551.4200000000001,276933.63,16.51305,14.779,41.275,134.011,42153.24999999999
memcached,3,10,1,388033.38,733.25,352023.89,4.595409999999999,2.157,33.917,361.981,10244.82
redis,1,30,1024,136609.47,481.08,123709.21,1.46325,1.423,2.831,3.455,18096.94
memcached,3,10,102400,274793.44,1029.99,248781.69,6.50622,3.061,62.461,177.91699999999997,2544464.5300000003
redis,5,6,1,302389.59,1167.95,273707.76,0.0,0.0,3.30566,3.039,6.943
redis,3,10,1,322820.63,1302.9,292172.35,0.0,0.0,1.85751,1.791,3.631
redisAggregated,1,30,1,126706.95,207.67,114980.31,1.57763,1.535,3.039,3.695,5014.79
redis,1,30,102400,116176.37,405.38,105209.31,1.72069,1.103,8.031,8.831,1078641.02
redisAggregated,3,10,1048576,45249.05,121.16,41013.53999999999,39.347210000000004,8.797,388.09299999999996,471.037,4230599.26
memcached,5,6,102400,282124.54,584.15,255891.74999999997,17.0044,5.154999999999999,162.299,1084.411,2593278.44
redisAggregated,1,30,102400,102330.37,330.68,92696.73,1.95359,1.255,9.151,10.239,948147.67
redisAggregated,1,30,1024,125911.92,406.3,114058.93,1.5876,1.543,3.055,3.727,16658.31
