Results for Memcached on port 11211:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        14784.21          ---          ---         3.18181         2.97500         5.21500         9.79100   1479025.37 
Gets       147839.96      1363.79    146476.17         0.81157         0.73500         1.63100        10.49500     39084.94 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     162624.17      1363.79    146476.17         1.02698         0.76700         4.25500        10.43100   1518110.31 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.111        0.000
SET       2.207        5.000
SET       2.335       10.000
SET       2.431       15.000
SET       2.495       20.000
SET       2.575       25.000
SET       2.655       30.000
SET       2.719       35.000
SET       2.799       40.000
SET       2.895       45.000
SET       2.975       50.000
SET       3.039       52.500
SET       3.087       55.000
SET       3.135       57.500
SET       3.199       60.000
SET       3.263       62.500
SET       3.327       65.000
SET       3.391       67.500
SET       3.471       70.000
SET       3.551       72.500
SET       3.631       75.000
SET       3.679       76.250
SET       3.711       77.500
SET       3.759       78.750
SET       3.791       80.000
SET       3.839       81.250
SET       3.871       82.500
SET       3.919       83.750
SET       3.951       85.000
SET       3.999       86.250
SET       4.047       87.500
SET       4.079       88.125
SET       4.095       88.750
SET       4.127       89.375
SET       4.159       90.000
SET       4.191       90.625
SET       4.223       91.250
SET       4.255       91.875
SET       4.287       92.500
SET       4.319       93.125
SET       4.383       93.750
SET       4.383       94.062
SET       4.415       94.375
SET       4.447       94.688
SET       4.479       95.000
SET       4.511       95.312
SET       4.543       95.625
SET       4.575       95.938
SET       4.607       96.250
SET       4.639       96.562
SET       4.671       96.875
SET       4.703       97.031
SET       4.703       97.188
SET       4.735       97.344
SET       4.767       97.500
SET       4.799       97.656
SET       4.831       97.812
SET       4.863       97.969
SET       4.895       98.125
SET       4.927       98.281
SET       4.991       98.438
SET       4.991       98.516
SET       5.023       98.594
SET       5.055       98.672
SET       5.087       98.750
SET       5.119       98.828
SET       5.151       98.906
SET       5.183       98.984
SET       5.247       99.062
SET       5.279       99.141
SET       5.343       99.219
SET       5.375       99.258
SET       5.439       99.297
SET       5.471       99.336
SET       5.535       99.375
SET       5.599       99.414
SET       5.663       99.453
SET       5.759       99.492
SET       5.855       99.531
SET       5.983       99.570
SET       6.143       99.609
SET       6.239       99.629
SET       6.367       99.648
SET       6.463       99.668
SET       6.559       99.688
SET       6.687       99.707
SET       6.815       99.727
SET       6.975       99.746
SET       7.167       99.766
SET       7.391       99.785
SET       7.711       99.805
SET       7.871       99.814
SET       8.063       99.824
SET       8.255       99.834
SET       8.447       99.844
SET       8.639       99.854
SET       8.895       99.863
SET       9.151       99.873
SET       9.343       99.883
SET       9.599       99.893
SET       9.855       99.902
SET       9.983       99.907
SET      10.047       99.912
SET      10.175       99.917
SET      10.303       99.922
SET      10.431       99.927
SET      10.495       99.932
SET      10.623       99.937
SET      10.687       99.941
SET      10.815       99.946
SET      10.943       99.951
SET      11.007       99.954
SET      11.071       99.956
SET      11.135       99.958
SET      11.199       99.961
SET      11.263       99.963
SET      11.391       99.966
SET      11.519       99.968
SET      11.647       99.971
SET      11.839       99.973
SET      12.095       99.976
SET      12.223       99.977
SET      12.351       99.978
SET      12.607       99.979
SET      12.863       99.980
SET      13.119       99.982
SET      13.567       99.983
SET      13.951       99.984
SET      14.591       99.985
SET      15.935       99.987
SET      17.919       99.988
SET      20.351       99.988
SET      21.759       99.989
SET      24.191       99.990
SET      76.287       99.990
SET     197.631       99.991
SET     200.703       99.991
SET     222.207       99.992
SET     251.903       99.993
SET     254.975       99.993
SET     301.055       99.994
SET     419.839       99.994
SET     421.887       99.995
SET     423.935       99.995
SET     481.279       99.995
SET     505.855       99.995
SET     505.855       99.996
SET     507.903       99.996
SET     565.247       99.996
SET     569.343       99.997
SET     634.879       99.997
SET     634.879       99.997
SET     634.879       99.997
SET     634.879       99.997
SET     638.975       99.998
SET     643.071       99.998
SET     651.263       99.998
SET     651.263       99.998
SET     651.263       99.998
SET     651.263       99.998
SET     655.359       99.998
SET     655.359       99.999
SET     716.799       99.999
SET     720.895       99.999
SET     724.991       99.999
SET     724.991       99.999
SET     872.447       99.999
SET     946.175       99.999
SET     946.175       99.999
SET     946.175       99.999
SET     946.175       99.999
SET     946.175       99.999
SET     946.175       99.999
SET     946.175       99.999
SET     950.271       99.999
SET     950.271       99.999
SET     950.271       99.999
SET     950.271      100.000
SET     950.271      100.000
SET     950.271      100.000
SET     950.271      100.000
SET     950.271      100.000
SET    1003.519      100.000
SET    1007.615      100.000
SET    1007.615      100.000
SET    1019.903      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1044.479      100.000
SET    1044.479      100.000
---
GET       0.031        0.000
GET       0.511        5.000
GET       0.543       10.000
GET       0.567       15.000
GET       0.583       20.000
GET       0.607       25.000
GET       0.623       30.000
GET       0.647       35.000
GET       0.671       40.000
GET       0.703       45.000
GET       0.735       50.000
GET       0.751       52.500
GET       0.767       55.000
GET       0.791       57.500
