Results for Memcached on port 11211:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        30241.52          ---          ---         0.60151         0.54300         1.02300         1.42300     31419.52 
Gets       302413.61      2773.14    299640.47         0.60021         0.54300         1.00700         1.41500      9120.21 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     332655.14      2773.14    299640.47         0.60032         0.54300         1.01500         1.41500     40539.73 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.047        0.000
SET       0.447        5.000
SET       0.471       10.000
SET       0.479       15.000
SET       0.487       20.000
SET       0.503       25.000
SET       0.511       30.000
SET       0.519       35.000
SET       0.527       40.000
SET       0.535       45.000
SET       0.543       50.000
SET       0.551       52.500
SET       0.559       55.000
SET       0.567       57.500
SET       0.575       60.000
SET       0.583       62.500
SET       0.599       65.000
SET       0.623       67.500
SET       0.663       70.000
SET       0.695       72.500
SET       0.719       75.000
SET       0.727       76.250
SET       0.735       77.500
SET       0.743       78.750
SET       0.751       80.000
SET       0.759       81.250
SET       0.767       82.500
SET       0.775       83.750
SET       0.783       85.000
SET       0.791       86.250
SET       0.799       87.500
SET       0.807       88.125
SET       0.807       88.750
SET       0.815       89.375
SET       0.815       90.000
SET       0.823       90.625
SET       0.831       91.250
SET       0.831       91.875
SET       0.839       92.500
SET       0.839       93.125
SET       0.847       93.750
SET       0.847       94.062
SET       0.855       94.375
SET       0.855       94.688
SET       0.863       95.000
SET       0.863       95.312
SET       0.871       95.625
SET       0.871       95.938
SET       0.879       96.250
SET       0.879       96.562
SET       0.887       96.875
SET       0.887       97.031
SET       0.895       97.188
SET       0.895       97.344
SET       0.903       97.500
SET       0.903       97.656
SET       0.911       97.812
SET       0.911       97.969
SET       0.919       98.125
SET       0.927       98.281
SET       0.935       98.438
SET       0.943       98.516
SET       0.951       98.594
SET       0.959       98.672
SET       0.967       98.750
SET       0.975       98.828
SET       0.999       98.906
SET       1.023       98.984
SET       1.047       99.062
SET       1.071       99.141
SET       1.095       99.219
SET       1.111       99.258
SET       1.119       99.297
SET       1.135       99.336
SET       1.143       99.375
SET       1.159       99.414
SET       1.167       99.453
SET       1.183       99.492
SET       1.191       99.531
SET       1.207       99.570
SET       1.215       99.609
SET       1.223       99.629
SET       1.223       99.648
SET       1.231       99.668
SET       1.239       99.688
SET       1.247       99.707
SET       1.255       99.727
SET       1.263       99.746
SET       1.271       99.766
SET       1.279       99.785
SET       1.287       99.805
SET       1.295       99.814
SET       1.295       99.824
SET       1.303       99.834
SET       1.311       99.844
SET       1.319       99.854
SET       1.335       99.863
SET       1.343       99.873
SET       1.359       99.883
SET       1.391       99.893
SET       1.431       99.902
SET       1.479       99.907
SET       1.551       99.912
SET       1.631       99.917
SET       1.711       99.922
SET       1.799       99.927
SET       1.895       99.932
SET       2.007       99.937
SET       2.143       99.941
SET       2.303       99.946
SET       2.479       99.951
SET       2.591       99.954
SET       2.687       99.956
SET       2.799       99.958
SET       2.895       99.961
SET       3.023       99.963
SET       3.151       99.966
SET       3.279       99.968
SET       3.423       99.971
SET       3.583       99.973
SET       3.727       99.976
SET       3.791       99.977
SET       3.871       99.978
SET       3.951       99.979
SET       4.047       99.980
SET       4.159       99.982
SET       4.319       99.983
SET       4.543       99.984
SET       4.735       99.985
SET       4.959       99.987
SET       5.183       99.988
SET       5.311       99.988
SET       5.407       99.989
SET       5.503       99.990
SET       5.631       99.990
SET       5.727       99.991
SET       5.855       99.991
SET       5.983       99.992
SET       6.079       99.993
SET       6.207       99.993
SET       6.335       99.994
SET       6.431       99.994
SET       6.463       99.995
SET       6.527       99.995
SET       6.591       99.995
SET       6.687       99.995
SET       6.751       99.996
SET       6.815       99.996
SET       6.879       99.996
SET       6.943       99.997
SET       7.007       99.997
SET       7.071       99.997
SET       7.103       99.997
SET       7.135       99.997
SET       7.167       99.998
SET       7.199       99.998
SET       7.231       99.998
SET       7.263       99.998
SET       7.295       99.998
SET       7.327       99.998
SET       7.391       99.998
SET       7.455       99.999
SET       7.487       99.999
SET       7.551       99.999
SET       7.647       99.999
SET       7.807       99.999
SET       8.063       99.999
SET       8.575       99.999
SET       9.343       99.999
SET       9.599       99.999
SET      10.303       99.999
SET      10.431       99.999
SET      10.559       99.999
SET      10.687       99.999
SET      10.751       99.999
SET      11.071       99.999
SET      11.327       99.999
SET      11.519      100.000
SET      11.647      100.000
SET      11.711      100.000
SET      11.839      100.000
SET      11.967      100.000
SET      13.183      100.000
SET      13.439      100.000
SET      14.079      100.000
SET      14.335      100.000
SET      19.711      100.000
SET      19.967      100.000
SET      20.479      100.000
SET      20.479      100.000
SET      20.607      100.000
SET      20.607      100.000
SET      20.735      100.000
SET      20.735      100.000
SET      20.863      100.000
SET      20.991      100.000
SET      21.887      100.000
SET      21.887      100.000
SET      22.399      100.000
SET      22.399      100.000
SET      22.527      100.000
SET      22.527      100.000
SET      22.527      100.000
SET      22.655      100.000
SET      22.655      100.000
SET      22.655      100.000
SET      22.655      100.000
SET      22.655      100.000
SET      22.783      100.000
SET      22.911      100.000
SET      22.911      100.000
SET      22.911      100.000
SET      22.911      100.000
