Results for Memcached on port 11211:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         2308.45          ---          ---        38.40970        37.11900        55.55100       294.91100   2363945.57 
Gets        23081.70       206.42     22875.28         1.34391         1.07100         4.04700        20.09500     17776.76 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      25390.15       206.42     22875.28         4.70031         1.12700        47.61500        57.34300   2381722.33 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.479        0.000
SET      27.519        5.000
SET      29.695       10.000
SET      30.847       15.000
SET      31.871       20.000
SET      32.767       25.000
SET      33.535       30.000
SET      34.559       35.000
SET      35.327       40.000
SET      36.351       45.000
SET      37.119       50.000
SET      37.631       52.500
SET      38.143       55.000
SET      38.655       57.500
SET      39.167       60.000
SET      39.679       62.500
SET      40.191       65.000
SET      40.959       67.500
SET      41.471       70.000
SET      42.239       72.500
SET      42.751       75.000
SET      43.263       76.250
SET      43.519       77.500
SET      43.775       78.750
SET      44.287       80.000
SET      44.543       81.250
SET      45.055       82.500
SET      45.567       83.750
SET      45.823       85.000
SET      46.335       86.250
SET      46.847       87.500
SET      47.103       88.125
SET      47.359       88.750
SET      47.615       89.375
SET      47.871       90.000
SET      48.127       90.625
SET      48.383       91.250
SET      48.639       91.875
SET      48.895       92.500
SET      49.151       93.125
SET      49.663       93.750
SET      49.919       94.062
SET      49.919       94.375
SET      50.175       94.688
SET      50.431       95.000
SET      50.687       95.312
SET      50.943       95.625
SET      51.199       95.938
SET      51.455       96.250
SET      51.711       96.562
SET      51.967       96.875
SET      51.967       97.031
SET      52.223       97.188
SET      52.479       97.344
SET      52.479       97.500
SET      52.735       97.656
SET      52.991       97.812
SET      53.247       97.969
SET      53.503       98.125
SET      53.759       98.281
SET      54.015       98.438
SET      54.271       98.516
SET      54.527       98.594
SET      54.527       98.672
SET      54.783       98.750
SET      55.039       98.828
SET      55.295       98.906
SET      55.551       98.984
SET      55.807       99.062
SET      56.063       99.141
SET      56.575       99.219
SET      56.575       99.258
SET      56.831       99.297
SET      57.087       99.336
SET      57.343       99.375
SET      57.599       99.414
SET      57.855       99.453
SET      58.367       99.492
SET      58.623       99.531
SET      59.135       99.570
SET      59.647       99.609
SET      60.159       99.629
SET      60.671       99.648
SET      61.183       99.668
SET      61.951       99.688
SET      63.231       99.707
SET      66.559       99.727
SET      72.191       99.746
SET      79.359       99.766
SET      92.159       99.785
SET     117.759       99.805
SET     129.535       99.814
SET     137.215       99.824
SET     151.551       99.834
SET     160.767       99.844
SET     166.911       99.854
SET     184.319       99.863
SET     212.991       99.873
SET     222.207       99.883
SET     237.567       99.893
SET     311.295       99.902
SET     364.543       99.907
SET     385.023       99.912
SET     473.087       99.917
SET     503.807       99.922
SET     528.383       99.927
SET     544.767       99.932
SET     552.959       99.937
SET     561.151       99.941
SET     651.263       99.946
SET     679.935       99.951
SET     684.031       99.954
SET     692.223       99.956
SET     720.895       99.958
SET     741.375       99.961
SET     745.471       99.963
SET     749.567       99.966
SET     761.855       99.968
SET     811.007       99.971
SET     835.583       99.973
SET     892.927       99.976
SET     921.599       99.977
SET     925.695       99.978
SET     925.695       99.979
SET     929.791       99.980
SET     933.887       99.982
SET     933.887       99.983
SET     942.079       99.984
SET     942.079       99.985
SET     946.175       99.987
SET     950.271       99.988
SET     950.271       99.988
SET     950.271       99.989
SET     950.271       99.990
SET     950.271       99.990
SET     950.271       99.991
SET     954.367       99.991
SET     954.367       99.992
SET     958.463       99.993
SET     970.751       99.993
SET     970.751       99.994
SET    1028.095       99.994
SET    1032.191       99.995
SET    1036.287       99.995
SET    1036.287       99.995
SET    1040.383       99.995
SET    1040.383       99.996
SET    1040.383       99.996
SET    1040.383       99.996
SET    1040.383       99.997
SET    1044.479       99.997
SET    1044.479       99.997
SET    1044.479       99.997
SET    1044.479       99.997
SET    1044.479       99.998
SET    1048.575       99.998
SET    1048.575      100.000
---
GET       0.015        0.000
GET       0.615        5.000
GET       0.687       10.000
GET       0.743       15.000
GET       0.791       20.000
GET       0.831       25.000
GET       0.879       30.000
GET       0.927       35.000
GET       0.975       40.000
GET       1.023       45.000
GET       1.071       50.000
GET       1.103       52.500
GET       1.127       55.000
