Results for Memcached on port 11211:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        30128.50          ---          ---         0.60444         0.54300         1.03900         1.51100      1114.74 
Gets       301283.40      1385.58    299897.82         0.60240         0.54300         1.02300         1.49500      7657.50 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     331411.91      1385.58    299897.82         0.60259         0.54300         1.03100         1.49500      8772.25 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.447        5.000
SET       0.463       10.000
SET       0.479       15.000
SET       0.487       20.000
SET       0.503       25.000
SET       0.511       30.000
SET       0.519       35.000
SET       0.527       40.000
SET       0.535       45.000
SET       0.543       50.000
SET       0.551       52.500
SET       0.559       55.000
SET       0.567       57.500
SET       0.575       60.000
SET       0.591       62.500
SET       0.607       65.000
SET       0.639       67.500
SET       0.671       70.000
SET       0.695       72.500
SET       0.719       75.000
SET       0.727       76.250
SET       0.743       77.500
SET       0.751       78.750
SET       0.759       80.000
SET       0.767       81.250
SET       0.775       82.500
SET       0.783       83.750
SET       0.791       85.000
SET       0.791       86.250
SET       0.799       87.500
SET       0.807       88.125
SET       0.807       88.750
SET       0.815       89.375
SET       0.815       90.000
SET       0.823       90.625
SET       0.823       91.250
SET       0.831       91.875
SET       0.839       92.500
SET       0.839       93.125
SET       0.847       93.750
SET       0.847       94.062
SET       0.855       94.375
SET       0.855       94.688
SET       0.855       95.000
SET       0.863       95.312
SET       0.863       95.625
SET       0.871       95.938
SET       0.871       96.250
SET       0.879       96.562
SET       0.887       96.875
SET       0.887       97.031
SET       0.895       97.188
SET       0.895       97.344
SET       0.903       97.500
SET       0.903       97.656
SET       0.911       97.812
SET       0.911       97.969
SET       0.919       98.125
SET       0.927       98.281
SET       0.943       98.438
SET       0.951       98.516
SET       0.959       98.594
SET       0.967       98.672
SET       0.975       98.750
SET       0.991       98.828
SET       1.015       98.906
SET       1.039       98.984
SET       1.063       99.062
SET       1.087       99.141
SET       1.111       99.219
SET       1.119       99.258
SET       1.135       99.297
SET       1.143       99.336
SET       1.151       99.375
SET       1.167       99.414
SET       1.175       99.453
SET       1.183       99.492
SET       1.191       99.531
SET       1.207       99.570
SET       1.215       99.609
SET       1.223       99.629
SET       1.231       99.648
SET       1.231       99.668
SET       1.239       99.688
SET       1.247       99.707
SET       1.255       99.727
SET       1.263       99.746
SET       1.271       99.766
SET       1.279       99.785
SET       1.287       99.805
SET       1.295       99.814
SET       1.303       99.824
SET       1.311       99.834
SET       1.319       99.844
SET       1.327       99.854
SET       1.343       99.863
SET       1.359       99.873
SET       1.391       99.883
SET       1.439       99.893
SET       1.543       99.902
SET       1.607       99.907
SET       1.687       99.912
SET       1.759       99.917
SET       1.839       99.922
SET       1.919       99.927
SET       2.023       99.932
SET       2.159       99.937
SET       2.303       99.941
SET       2.479       99.946
SET       2.655       99.951
SET       2.767       99.954
SET       2.879       99.956
SET       2.975       99.958
SET       3.087       99.961
SET       3.199       99.963
SET       3.327       99.966
SET       3.455       99.968
SET       3.567       99.971
SET       3.695       99.973
SET       3.839       99.976
SET       3.919       99.977
SET       4.015       99.978
SET       4.127       99.979
SET       4.255       99.980
SET       4.415       99.982
SET       4.607       99.983
SET       4.799       99.984
SET       5.023       99.985
SET       5.247       99.987
SET       5.471       99.988
SET       5.567       99.988
SET       5.695       99.989
SET       5.823       99.990
SET       5.919       99.990
SET       6.047       99.991
SET       6.175       99.991
SET       6.271       99.992
SET       6.431       99.993
SET       6.559       99.993
SET       6.687       99.994
SET       6.751       99.994
SET       6.815       99.995
SET       6.879       99.995
SET       6.943       99.995
SET       7.007       99.995
SET       7.071       99.996
SET       7.135       99.996
SET       7.199       99.996
SET       7.263       99.997
SET       7.391       99.997
SET       7.455       99.997
SET       7.519       99.997
SET       7.743       99.997
SET       7.935       99.998
SET       8.703       99.998
SET       9.983       99.998
SET      10.431       99.998
SET      10.559       99.998
SET      10.751       99.998
SET      11.007       99.998
SET      11.391       99.999
SET      11.711       99.999
SET      11.903       99.999
SET      13.631       99.999
SET      20.479       99.999
SET      21.503       99.999
SET      22.143       99.999
SET      23.423       99.999
SET      56.575       99.999
SET      56.575       99.999
SET      56.575       99.999
SET      56.575       99.999
SET      56.831       99.999
SET      56.831       99.999
SET      56.831       99.999
SET      57.087       99.999
SET     166.911      100.000
SET     166.911      100.000
