Results for Memcached on port 11211:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         8187.59          ---          ---         6.17293         3.66300        32.38300       121.34300    819093.47 
Gets        81873.88       334.27     81539.62         1.80900         0.87900        19.07100        62.46300     13944.41 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      90061.47       334.27     81539.62         2.20573         0.97500        20.99100        69.11900    833037.89 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.071        0.000
SET       0.823        5.000
SET       1.335       10.000
SET       1.655       15.000
SET       1.863       20.000
SET       2.063       25.000
SET       2.287       30.000
SET       2.591       35.000
SET       2.943       40.000
SET       3.263       45.000
SET       3.663       50.000
SET       3.951       52.500
SET       4.319       55.000
SET       4.703       57.500
SET       5.087       60.000
SET       5.439       62.500
SET       5.791       65.000
SET       6.143       67.500
SET       6.527       70.000
SET       6.943       72.500
SET       7.423       75.000
SET       7.711       76.250
SET       7.999       77.500
SET       8.319       78.750
SET       8.703       80.000
SET       9.087       81.250
SET       9.471       82.500
SET       9.919       83.750
SET      10.367       85.000
SET      10.815       86.250
SET      11.327       87.500
SET      11.647       88.125
SET      11.967       88.750
SET      12.223       89.375
SET      12.543       90.000
SET      12.927       90.625
SET      13.311       91.250
SET      13.759       91.875
SET      14.207       92.500
SET      14.911       93.125
SET      15.679       93.750
SET      16.127       94.062
SET      16.639       94.375
SET      17.279       94.688
SET      17.919       95.000
SET      18.687       95.312
SET      19.455       95.625
SET      20.479       95.938
SET      21.503       96.250
SET      22.143       96.562
SET      22.655       96.875
SET      22.911       97.031
SET      23.167       97.188
SET      23.295       97.344
SET      23.551       97.500
SET      23.807       97.656
SET      23.935       97.812
SET      24.319       97.969
SET      24.959       98.125
SET      25.855       98.281
SET      26.879       98.438
SET      27.519       98.516
SET      28.159       98.594
SET      28.927       98.672
SET      29.823       98.750
SET      30.719       98.828
SET      31.487       98.906
SET      32.255       98.984
SET      32.767       99.062
SET      33.535       99.141
SET      34.047       99.219
SET      34.559       99.258
SET      35.327       99.297
SET      36.351       99.336
SET      37.375       99.375
SET      38.655       99.414
SET      40.191       99.453
SET      41.983       99.492
SET      43.263       99.531
SET      44.543       99.570
SET      47.103       99.609
SET      48.639       99.629
SET      50.175       99.648
SET      52.223       99.668
SET      54.271       99.688
SET      56.319       99.707
SET      59.135       99.727
SET      62.463       99.746
SET      66.559       99.766
SET      70.655       99.785
SET      76.287       99.805
SET      79.359       99.814
SET      82.431       99.824
SET      86.015       99.834
SET      89.087       99.844
SET      93.695       99.854
SET      98.303       99.863
SET     102.911       99.873
SET     108.543       99.883
SET     114.687       99.893
SET     122.879       99.902
SET     127.487       99.907
SET     134.143       99.912
SET     139.263       99.917
SET     143.359       99.922
SET     151.551       99.927
SET     160.767       99.932
SET     167.935       99.937
SET     176.127       99.941
SET     186.367       99.946
SET     200.703       99.951
SET     210.943       99.954
SET     218.111       99.956
SET     223.231       99.958
SET     232.447       99.961
SET     242.687       99.963
SET     253.951       99.966
SET     261.119       99.968
SET     272.383       99.971
SET     288.767       99.973
SET     307.199       99.976
SET     315.391       99.977
SET     321.535       99.978
SET     333.823       99.979
SET     342.015       99.980
SET     346.111       99.982
SET     352.255       99.983
SET     362.495       99.984
SET     378.879       99.985
SET     401.407       99.987
SET     421.887       99.988
SET     446.463       99.988
SET     458.751       99.989
SET     462.847       99.990
SET     471.039       99.990
SET     481.279       99.991
SET     487.423       99.991
SET     528.383       99.992
SET     544.767       99.993
SET     581.631       99.993
SET     651.263       99.994
SET     659.455       99.994
SET     688.127       99.995
SET     692.223       99.995
SET     700.415       99.995
SET     720.895       99.995
SET     733.183       99.996
SET     741.375       99.996
SET     757.759       99.996
SET     770.047       99.997
SET     819.199       99.997
SET     823.295       99.997
SET     864.255       99.997
SET     864.255       99.997
SET     864.255       99.998
SET     868.351       99.998
SET     876.543       99.998
SET     905.215       99.998
SET     909.311       99.998
SET     909.311       99.998
SET     954.367       99.998
SET     954.367       99.999
SET     954.367       99.999
SET     954.367       99.999
SET     954.367       99.999
SET     962.559       99.999
SET     962.559       99.999
SET     962.559       99.999
SET     966.655       99.999
SET     966.655       99.999
SET     966.655       99.999
SET     966.655       99.999
SET     966.655       99.999
SET     966.655       99.999
SET     966.655       99.999
SET     966.655       99.999
SET     974.847       99.999
SET     978.943      100.000
SET     983.039      100.000
SET     987.135      100.000
SET     987.135      100.000
SET     987.135      100.000
SET     987.135      100.000
SET     987.135      100.000
SET     987.135      100.000
SET     987.135      100.000
SET     987.135      100.000
SET     987.135      100.000
SET     987.135      100.000
SET     987.135      100.000
SET     987.135      100.000
SET     987.135      100.000
SET     987.135      100.000
SET     987.135      100.000
SET     987.135      100.000
SET     987.135      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1023.999      100.000
SET    1023.999      100.000
---
GET       0.015        0.000
GET       0.271        5.000
GET       0.375       10.000
GET       0.431       15.000
GET       0.479       20.000
GET       0.535       25.000
GET       0.599       30.000
GET       0.671       35.000
GET       0.735       40.000
GET       0.799       45.000
GET       0.879       50.000
GET       0.935       52.500
GET       0.991       55.000
GET       1.063       57.500
GET       1.135       60.000
GET       1.215       62.500
GET       1.295       65.000
GET       1.383       67.500
GET       1.479       70.000
GET       1.583       72.500
GET       1.703       75.000
GET       1.775       76.250
GET       1.847       77.500
GET       1.919       78.750
GET       1.999       80.000
GET       2.095       81.250
GET       2.191       82.500
GET       2.287       83.750
GET       2.399       85.000
GET       2.527       86.250
GET       2.655       87.500
GET       2.735       88.125
GET       2.815       88.750
GET       2.895       89.375
GET       2.991       90.000
GET       3.087       90.625
GET       3.199       91.250
GET       3.327       91.875
GET       3.471       92.500
GET       3.647       93.125
GET       3.855       93.750
GET       3.983       94.062
GET       4.127       94.375
GET       4.287       94.688
GET       4.479       95.000
GET       4.703       95.312
GET       4.959       95.625
