Results for Memcached on port 11211:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        11863.94          ---          ---         1.46660         0.73500         8.95900       110.07900     12326.05 
Gets       118637.72       456.40    118181.32         1.45828         0.73500         8.95900       107.51900      3267.35 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     130501.66       456.40    118181.32         1.45904         0.73500         8.95900       108.03100     15593.41 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.023        0.000
SET       0.231        5.000
SET       0.335       10.000
SET       0.391       15.000
SET       0.439       20.000
SET       0.471       25.000
SET       0.519       30.000
SET       0.567       35.000
SET       0.631       40.000
SET       0.687       45.000
SET       0.735       50.000
SET       0.759       52.500
SET       0.783       55.000
SET       0.815       57.500
SET       0.863       60.000
SET       0.911       62.500
SET       0.975       65.000
SET       1.039       67.500
SET       1.103       70.000
SET       1.167       72.500
SET       1.239       75.000
SET       1.279       76.250
SET       1.319       77.500
SET       1.367       78.750
SET       1.415       80.000
SET       1.463       81.250
SET       1.519       82.500
SET       1.575       83.750
SET       1.647       85.000
SET       1.727       86.250
SET       1.815       87.500
SET       1.863       88.125
SET       1.911       88.750
SET       1.967       89.375
SET       2.023       90.000
SET       2.095       90.625
SET       2.159       91.250
SET       2.239       91.875
SET       2.319       92.500
SET       2.415       93.125
SET       2.527       93.750
SET       2.575       94.062
SET       2.639       94.375
SET       2.703       94.688
SET       2.783       95.000
SET       2.863       95.312
SET       2.959       95.625
SET       3.055       95.938
SET       3.183       96.250
SET       3.327       96.562
SET       3.503       96.875
SET       3.599       97.031
SET       3.695       97.188
SET       3.823       97.344
SET       3.951       97.500
SET       4.127       97.656
SET       4.287       97.812
SET       4.479       97.969
SET       4.735       98.125
SET       5.023       98.281
SET       5.439       98.438
SET       5.663       98.516
SET       5.983       98.594
SET       6.335       98.672
SET       6.751       98.750
SET       7.295       98.828
SET       7.935       98.906
SET       8.767       98.984
SET       9.727       99.062
SET      10.815       99.141
SET      12.159       99.219
SET      12.991       99.258
SET      13.951       99.297
SET      15.103       99.336
SET      16.319       99.375
SET      17.791       99.414
SET      19.327       99.453
SET      21.247       99.492
SET      23.295       99.531
SET      25.727       99.570
SET      28.927       99.609
SET      30.591       99.629
SET      32.511       99.648
SET      34.815       99.668
SET      37.375       99.688
SET      40.447       99.707
SET      43.775       99.727
SET      47.615       99.746
SET      51.199       99.766
SET      56.063       99.785
SET      61.951       99.805
SET      65.279       99.814
SET      68.607       99.824
SET      71.679       99.834
SET      76.287       99.844
SET      80.383       99.854
SET      85.503       99.863
SET      91.135       99.873
SET      96.767       99.883
SET     103.423       99.893
SET     112.127       99.902
SET     116.735       99.907
SET     120.831       99.912
SET     125.439       99.917
SET     130.559       99.922
SET     137.215       99.927
SET     144.383       99.932
SET     150.527       99.937
SET     159.743       99.941
SET     168.959       99.946
SET     178.175       99.951
SET     184.319       99.954
SET     189.439       99.956
SET     194.559       99.958
SET     202.751       99.961
SET     211.967       99.963
SET     220.159       99.966
SET     230.399       99.968
SET     241.663       99.971
SET     251.903       99.973
SET     264.191       99.976
SET     270.335       99.977
SET     276.479       99.978
SET     286.719       99.979
SET     296.959       99.980
SET     309.247       99.982
SET     317.439       99.983
SET     329.727       99.984
SET     346.111       99.985
SET     366.591       99.987
SET     387.071       99.988
SET     393.215       99.988
SET     405.503       99.989
SET     415.743       99.990
SET     423.935       99.990
SET     442.367       99.991
SET     462.847       99.991
SET     479.231       99.992
SET     493.567       99.993
SET     507.903       99.993
SET     528.383       99.994
SET     540.671       99.994
SET     552.959       99.995
SET     565.247       99.995
SET     589.823       99.995
SET     602.111       99.995
SET     634.879       99.996
SET     651.263       99.996
SET     659.455       99.996
SET     679.935       99.997
SET     696.319       99.997
SET     700.415       99.997
SET     712.703       99.997
SET     729.087       99.997
SET     733.183       99.998
SET     741.375       99.998
SET     753.663       99.998
SET     794.623       99.998
SET     806.911       99.998
SET     823.295       99.998
SET     851.967       99.998
SET     868.351       99.999
SET     876.543       99.999
SET     880.639       99.999
SET     888.831       99.999
SET     892.927       99.999
SET     901.119       99.999
SET     905.215       99.999
SET     909.311       99.999
SET     925.695       99.999
SET     933.887       99.999
SET     933.887       99.999
SET     933.887       99.999
SET     933.887       99.999
SET     937.983       99.999
SET     937.983       99.999
SET     942.079       99.999
SET     946.175      100.000
SET     946.175      100.000
SET     954.367      100.000
SET     954.367      100.000
SET     954.367      100.000
SET     954.367      100.000
SET     958.463      100.000
SET     958.463      100.000
SET     958.463      100.000
SET     978.943      100.000
SET     978.943      100.000
SET     983.039      100.000
SET     983.039      100.000
SET     983.039      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1028.095      100.000
SET    1032.191      100.000
SET    1032.191      100.000
SET    1032.191      100.000
SET    1032.191      100.000
SET    1032.191      100.000
SET    1032.191      100.000
SET    1032.191      100.000
SET    1032.191      100.000
