Results for Memcached on port 11211:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          108.73          ---          ---        43.84100        27.64700       246.78300       868.35100    111344.15 
Gets         1084.74         5.23      1079.51         2.53684         0.77500        21.50300        75.26300       438.19 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       1193.47         5.23      1079.51         6.12044         0.90300        90.62300       618.49500    111782.34 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.479        0.000
SET       4.479        5.000
SET       6.399       10.000
SET       8.255       15.000
SET      10.111       20.000
SET      11.903       25.000
SET      13.759       30.000
SET      15.871       35.000
SET      19.199       40.000
SET      23.295       45.000
SET      27.647       50.000
SET      28.799       52.500
SET      30.079       55.000
SET      31.999       57.500
SET      34.303       60.000
SET      36.863       62.500
SET      39.167       65.000
SET      41.727       67.500
SET      45.055       70.000
SET      49.151       72.500
SET      52.991       75.000
SET      55.807       76.250
SET      58.879       77.500
SET      61.439       78.750
SET      64.511       80.000
SET      68.095       81.250
SET      71.679       82.500
SET      74.239       83.750
SET      77.823       85.000
SET      81.407       86.250
SET      84.991       87.500
SET      87.039       88.125
SET      88.575       88.750
SET      90.623       89.375
SET      92.671       90.000
SET      95.743       90.625
SET      98.815       91.250
SET     102.399       91.875
SET     105.471       92.500
SET     108.543       93.125
SET     111.615       93.750
SET     113.663       94.062
SET     115.711       94.375
SET     117.759       94.688
SET     119.295       95.000
SET     121.343       95.312
SET     123.391       95.625
SET     125.439       95.938
SET     128.511       96.250
SET     133.119       96.562
SET     136.191       96.875
SET     139.263       97.031
SET     141.311       97.188
SET     144.383       97.344
SET     146.431       97.500
SET     149.503       97.656
SET     152.575       97.812
SET     155.647       97.969
SET     159.743       98.125
SET     164.863       98.281
SET     169.983       98.438
SET     172.031       98.516
SET     174.079       98.594
SET     178.175       98.672
SET     183.295       98.750
SET     187.391       98.828
SET     199.679       98.906
SET     228.351       98.984
SET     389.119       99.062
SET     413.695       99.141
SET     432.127       99.219
SET     462.847       99.258
SET     561.151       99.297
SET     581.631       99.336
SET     622.591       99.375
SET     634.879       99.414
SET     647.167       99.453
SET     655.359       99.492
SET     655.359       99.531
SET     663.551       99.570
SET     675.839       99.609
SET     684.031       99.629
SET     688.127       99.648
SET     688.127       99.668
SET     692.223       99.688
SET     708.607       99.707
SET     720.895       99.727
SET     741.375       99.746
SET     753.663       99.766
SET     774.143       99.785
SET     782.335       99.805
SET     786.431       99.814
SET     790.527       99.824
SET     794.623       99.834
SET     794.623       99.844
SET     806.911       99.854
SET     843.775       99.863
SET     847.871       99.873
SET     860.159       99.883
SET     864.255       99.893
SET     876.543       99.902
SET     876.543       99.907
SET     880.639       99.912
SET     905.215       99.917
SET     909.311       99.922
SET     909.311       99.927
SET     917.503       99.932
SET     946.175       99.937
SET     950.271       99.941
SET     978.943       99.946
SET     983.039       99.951
SET     983.039       99.954
SET     983.039       99.956
SET     983.039       99.958
SET     983.039       99.961
SET     983.039       99.963
SET     983.039       99.966
SET     983.039       99.968
SET     987.135       99.971
SET     987.135       99.973
SET    1007.615       99.976
SET    1011.711       99.977
SET    1011.711       99.978
SET    1011.711       99.979
SET    1011.711       99.980
SET    1011.711       99.982
SET    1011.711       99.983
SET    1011.711       99.984
SET    1011.711       99.985
SET    1011.711       99.987
SET    1015.807       99.988
SET    1015.807       99.988
SET    1015.807       99.989
SET    1015.807       99.990
SET    1015.807       99.990
SET    1015.807       99.991
SET    1015.807       99.991
SET    1015.807       99.992
SET    1019.903       99.993
SET    1019.903       99.993
SET    1019.903       99.994
SET    1019.903       99.994
SET    1019.903       99.995
SET    1019.903       99.995
SET    1019.903       99.995
SET    1019.903       99.995
SET    1019.903       99.996
SET    1019.903       99.996
SET    1019.903       99.996
SET    1019.903       99.997
SET    1023.999       99.997
SET    1023.999      100.000
---
GET       0.015        0.000
GET       0.159        5.000
GET       0.215       10.000
GET       0.255       15.000
GET       0.303       20.000
GET       0.351       25.000
GET       0.415       30.000
GET       0.487       35.000
GET       0.583       40.000
GET       0.679       45.000
GET       0.775       50.000
GET       0.839       52.500
GET       0.911       55.000
GET       0.975       57.500
GET       1.055       60.000
GET       1.143       62.500
GET       1.247       65.000
