Results for Memcached on port 11212:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        11703.79          ---          ---         1.54817         0.72700        11.64700       120.31900       433.02 
Gets       117036.10       240.89    116795.21         1.53861         0.72700        11.51900       117.24700      2965.89 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     128739.89       240.89    116795.21         1.53948         0.72700        11.51900       117.75900      3398.91 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.247        5.000
SET       0.335       10.000
SET       0.399       15.000
SET       0.439       20.000
SET       0.471       25.000
SET       0.511       30.000
SET       0.559       35.000
SET       0.623       40.000
SET       0.679       45.000
SET       0.727       50.000
SET       0.743       52.500
SET       0.767       55.000
SET       0.799       57.500
SET       0.831       60.000
SET       0.879       62.500
SET       0.935       65.000
SET       0.999       67.500
SET       1.071       70.000
SET       1.143       72.500
SET       1.215       75.000
SET       1.263       76.250
SET       1.311       77.500
SET       1.359       78.750
SET       1.407       80.000
SET       1.463       81.250
SET       1.527       82.500
SET       1.591       83.750
SET       1.671       85.000
SET       1.751       86.250
SET       1.839       87.500
SET       1.887       88.125
SET       1.943       88.750
SET       1.999       89.375
SET       2.063       90.000
SET       2.143       90.625
SET       2.207       91.250
SET       2.287       91.875
SET       2.383       92.500
SET       2.479       93.125
SET       2.591       93.750
SET       2.655       94.062
SET       2.719       94.375
SET       2.799       94.688
SET       2.879       95.000
SET       2.959       95.312
SET       3.071       95.625
SET       3.183       95.938
SET       3.311       96.250
SET       3.487       96.562
SET       3.679       96.875
SET       3.791       97.031
SET       3.919       97.188
SET       4.079       97.344
SET       4.255       97.500
SET       4.479       97.656
SET       4.735       97.812
SET       5.023       97.969
SET       5.407       98.125
SET       5.887       98.281
SET       6.527       98.438
SET       6.911       98.516
SET       7.391       98.594
SET       7.903       98.672
SET       8.575       98.750
SET       9.343       98.828
SET      10.239       98.906
SET      11.391       98.984
SET      12.735       99.062
SET      14.335       99.141
SET      16.191       99.219
SET      17.407       99.258
SET      18.687       99.297
SET      20.095       99.336
SET      21.759       99.375
SET      23.423       99.414
SET      25.343       99.453
SET      27.647       99.492
SET      30.335       99.531
SET      33.535       99.570
SET      37.119       99.609
SET      39.167       99.629
SET      41.215       99.648
SET      43.775       99.668
SET      46.335       99.688
SET      49.407       99.707
SET      52.735       99.727
SET      56.575       99.746
SET      60.927       99.766
SET      66.047       99.785
SET      71.679       99.805
SET      74.751       99.814
SET      78.335       99.824
SET      81.919       99.834
SET      86.015       99.844
SET      90.623       99.854
SET      95.231       99.863
SET     100.863       99.873
SET     107.007       99.883
SET     114.687       99.893
SET     122.367       99.902
SET     126.463       99.907
SET     131.071       99.912
SET     136.191       99.917
SET     142.335       99.922
SET     147.455       99.927
SET     153.599       99.932
SET     160.767       99.937
SET     171.007       99.941
SET     180.223       99.946
SET     191.487       99.951
SET     196.607       99.954
SET     203.775       99.956
SET     206.847       99.958
SET     214.015       99.961
SET     223.231       99.963
SET     232.447       99.966
SET     240.639       99.968
SET     249.855       99.971
SET     262.143       99.973
SET     276.479       99.976
SET     284.671       99.977
SET     290.815       99.978
SET     301.055       99.979
SET     309.247       99.980
SET     321.535       99.982
SET     337.919       99.983
SET     346.111       99.984
SET     360.447       99.985
SET     380.927       99.987
SET     395.263       99.988
SET     407.551       99.988
SET     417.791       99.989
SET     425.983       99.990
SET     432.127       99.990
SET     438.271       99.991
SET     460.799       99.991
SET     468.991       99.992
SET     489.471       99.993
SET     509.951       99.993
SET     536.575       99.994
SET     552.959       99.994
SET     557.055       99.995
SET     565.247       99.995
SET     573.439       99.995
SET     589.823       99.995
SET     598.015       99.996
SET     610.303       99.996
SET     626.687       99.996
SET     643.071       99.997
SET     659.455       99.997
SET     667.647       99.997
SET     675.839       99.997
SET     688.127       99.997
SET     712.703       99.998
SET     720.895       99.998
SET     729.087       99.998
SET     761.855       99.998
SET     774.143       99.998
SET     802.815       99.998
SET     819.199       99.998
SET     827.391       99.999
SET     827.391       99.999
SET     831.487       99.999
SET     839.679       99.999
SET     851.967       99.999
SET     876.543       99.999
SET     884.735       99.999
SET     897.023       99.999
SET     905.215       99.999
SET     905.215       99.999
SET     909.311       99.999
SET     909.311       99.999
SET     909.311       99.999
SET     909.311       99.999
SET     909.311       99.999
SET     925.695       99.999
SET     929.791      100.000
SET     929.791      100.000
