Results for Memcached on port 11212:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         5282.82          ---          ---         9.25349         3.56700        48.12700       516.09500    528497.97 
Gets        52826.02       122.10     52703.93         2.45463         0.84700        16.51100       165.88700      5682.34 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      58108.84       122.10     52703.93         3.07248         0.99900        23.29500       211.96700    534180.31 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.095        0.000
SET       1.319        5.000
SET       1.631       10.000
SET       1.815       15.000
SET       1.975       20.000
SET       2.159       25.000
SET       2.431       30.000
SET       2.719       35.000
SET       2.959       40.000
SET       3.199       45.000
SET       3.567       50.000
SET       4.031       52.500
SET       4.863       55.000
SET       5.791       57.500
SET       6.655       60.000
SET       7.423       62.500
SET       8.159       65.000
SET       8.895       67.500
SET       9.663       70.000
SET      10.431       72.500
SET      11.263       75.000
SET      11.647       76.250
SET      12.095       77.500
SET      12.479       78.750
SET      12.991       80.000
SET      13.439       81.250
SET      14.015       82.500
SET      14.527       83.750
SET      15.103       85.000
SET      15.743       86.250
SET      16.511       87.500
SET      16.895       88.125
SET      17.279       88.750
SET      17.663       89.375
SET      18.175       90.000
SET      18.687       90.625
SET      19.199       91.250
SET      19.839       91.875
SET      20.479       92.500
SET      21.247       93.125
SET      22.015       93.750
SET      22.399       94.062
SET      22.911       94.375
SET      23.295       94.688
SET      23.807       95.000
SET      24.319       95.312
SET      25.087       95.625
SET      25.855       95.938
SET      26.751       96.250
SET      27.775       96.562
SET      29.055       96.875
SET      29.695       97.031
SET      30.463       97.188
SET      31.231       97.344
SET      32.127       97.500
SET      33.023       97.656
SET      34.047       97.812
SET      35.071       97.969
SET      36.351       98.125
SET      37.887       98.281
SET      39.679       98.438
SET      40.703       98.516
SET      41.727       98.594
SET      42.751       98.672
SET      43.519       98.750
SET      44.799       98.828
SET      46.079       98.906
SET      47.871       98.984
SET      49.663       99.062
SET      51.967       99.141
SET      54.783       99.219
SET      56.831       99.258
SET      59.391       99.297
SET      61.695       99.336
SET      65.023       99.375
SET      69.631       99.414
SET      74.751       99.453
SET      84.991       99.492
SET      97.279       99.531
SET     113.151       99.570
SET     129.023       99.609
SET     138.239       99.629
SET     151.551       99.648
SET     162.815       99.668
SET     173.055       99.688
SET     189.439       99.707
SET     206.847       99.727
SET     222.207       99.746
SET     245.759       99.766
SET     270.335       99.785
SET     296.959       99.805
SET     309.247       99.814
SET     325.631       99.824
SET     346.111       99.834
SET     362.495       99.844
SET     389.119       99.854
SET     419.839       99.863
SET     444.415       99.873
SET     466.943       99.883
SET     493.567       99.893
SET     528.383       99.902
SET     540.671       99.907
SET     561.151       99.912
SET     581.631       99.917
SET     593.919       99.922
SET     614.399       99.927
SET     630.783       99.932
SET     651.263       99.937
SET     688.127       99.941
SET     704.511       99.946
SET     724.991       99.951
SET     741.375       99.954
SET     745.471       99.956
SET     753.663       99.958
SET     765.951       99.961
SET     786.431       99.963
SET     798.719       99.966
SET     811.007       99.968
SET     831.487       99.971
SET     856.063       99.973
SET     872.447       99.976
SET     876.543       99.977
SET     884.735       99.978
SET     892.927       99.979
SET     897.023       99.980
SET     905.215       99.982
SET     909.311       99.983
SET     933.887       99.984
SET     937.983       99.985
SET     950.271       99.987
SET     954.367       99.988
SET     958.463       99.988
SET     974.847       99.989
SET     987.135       99.990
SET     991.231       99.990
SET     991.231       99.991
SET     991.231       99.991
SET     995.327       99.992
SET     999.423       99.993
SET    1003.519       99.993
SET    1003.519       99.994
SET    1007.615       99.994
SET    1007.615       99.995
SET    1019.903       99.995
SET    1019.903       99.995
SET    1019.903       99.995
SET    1023.999       99.996
SET    1023.999       99.996
SET    1023.999       99.996
SET    1023.999       99.997
SET    1028.095       99.997
SET    1028.095       99.997
SET    1028.095       99.997
SET    1032.191       99.997
SET    1032.191       99.998
SET    1032.191       99.998
SET    1032.191       99.998
SET    1032.191       99.998
SET    1036.287       99.998
SET    1036.287       99.998
SET    1036.287       99.998
SET    1036.287       99.999
SET    1036.287       99.999
SET    1036.287       99.999
SET    1036.287       99.999
SET    1036.287       99.999
SET    1036.287       99.999
SET    1040.383       99.999
SET    1040.383       99.999
SET    1040.383       99.999
SET    1040.383       99.999
SET    1040.383       99.999
SET    1044.479       99.999
SET    1044.479       99.999
SET    1044.479       99.999
SET    1044.479       99.999
SET    1044.479       99.999
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1044.479      100.000
SET    1048.575      100.000
SET    1048.575      100.000
---
GET       0.023        0.000
GET       0.359        5.000
GET       0.423       10.000
GET       0.463       15.000
GET       0.503       20.000
GET       0.559       25.000
GET       0.623       30.000
GET       0.671       35.000
GET       0.727       40.000
GET       0.775       45.000
GET       0.847       50.000
GET       0.911       52.500
GET       1.007       55.000
GET       1.159       57.500
GET       1.335       60.000
GET       1.495       62.500
GET       1.663       65.000
GET       1.839       67.500
GET       2.031       70.000
GET       2.239       72.500
GET       2.463       75.000
GET       2.575       76.250
GET       2.687       77.500
GET       2.799       78.750
GET       2.911       80.000
GET       3.039       81.250
GET       3.167       82.500
GET       3.311       83.750
GET       3.471       85.000
GET       3.631       86.250
GET       3.823       87.500
GET       3.919       88.125
GET       4.015       88.750
GET       4.127       89.375
GET       4.255       90.000
GET       4.383       90.625
GET       4.511       91.250
GET       4.671       91.875
GET       4.799       92.500
GET       4.991       93.125
GET       5.183       93.750
GET       5.279       94.062
GET       5.407       94.375
GET       5.535       94.688
GET       5.695       95.000
GET       5.855       95.312
GET       6.047       95.625
GET       6.239       95.938
GET       6.495       96.250
GET       6.815       96.562
GET       7.199       96.875
GET       7.423       97.031
GET       7.679       97.188
GET       7.967       97.344
GET       8.319       97.500
GET       8.639       97.656
GET       9.087       97.812
GET       9.599       97.969
GET      10.175       98.125
GET      10.815       98.281
GET      11.583       98.438
GET      12.095       98.516
GET      12.607       98.594
GET      13.119       98.672
GET      13.759       98.750
GET      14.463       98.828
GET      15.231       98.906
GET      16.191       98.984
GET      17.407       99.062
GET      18.687       99.141
GET      20.223       99.219
GET      20.735       99.258
GET      20.991       99.297
GET      21.247       99.336
GET      21.887       99.375
GET      22.911       99.414
GET      24.191       99.453
GET      25.727       99.492
GET      27.519       99.531
GET      29.567       99.570
GET      31.103       99.609
GET      31.871       99.629
GET      33.279       99.648
GET      34.559       99.668
GET      36.607       99.688
GET      38.911       99.707
