Results for Memcached on port 11215:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         7210.77          ---          ---         2.50585         1.60700        14.91100       130.04700      7491.63 
Gets        72106.10       163.93     71942.17         2.49904         1.59900        14.84700       129.53500      1913.22 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      79316.87       163.93     71942.17         2.49966         1.59900        14.91100       129.53500      9404.85 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.023        0.000
SET       0.327        5.000
SET       0.431       10.000
SET       0.495       15.000
SET       0.599       20.000
SET       0.711       25.000
SET       0.791       30.000
SET       0.975       35.000
SET       1.199       40.000
SET       1.407       45.000
SET       1.607       50.000
SET       1.695       52.500
SET       1.791       55.000
SET       1.887       57.500
SET       1.975       60.000
SET       2.079       62.500
SET       2.191       65.000
SET       2.287       67.500
SET       2.399       70.000
SET       2.527       72.500
SET       2.655       75.000
SET       2.719       76.250
SET       2.783       77.500
SET       2.863       78.750
SET       2.943       80.000
SET       3.039       81.250
SET       3.119       82.500
SET       3.231       83.750
SET       3.343       85.000
SET       3.471       86.250
SET       3.615       87.500
SET       3.695       88.125
SET       3.775       88.750
SET       3.871       89.375
SET       3.967       90.000
SET       4.063       90.625
SET       4.191       91.250
SET       4.319       91.875
SET       4.447       92.500
SET       4.607       93.125
SET       4.799       93.750
SET       4.895       94.062
SET       5.023       94.375
SET       5.119       94.688
SET       5.247       95.000
SET       5.407       95.312
SET       5.567       95.625
SET       5.759       95.938
SET       5.951       96.250
SET       6.207       96.562
SET       6.495       96.875
SET       6.687       97.031
SET       6.879       97.188
SET       7.103       97.344
SET       7.359       97.500
SET       7.647       97.656
SET       7.999       97.812
SET       8.447       97.969
SET       8.895       98.125
SET       9.471       98.281
SET      10.175       98.438
SET      10.623       98.516
SET      11.071       98.594
SET      11.583       98.672
SET      12.223       98.750
SET      12.927       98.828
SET      13.759       98.906
SET      14.719       98.984
SET      15.871       99.062
SET      17.279       99.141
SET      18.943       99.219
SET      19.839       99.258
SET      20.863       99.297
SET      22.015       99.336
SET      23.423       99.375
SET      24.959       99.414
SET      26.751       99.453
SET      29.055       99.492
SET      31.359       99.531
SET      34.303       99.570
SET      37.887       99.609
SET      39.679       99.629
SET      41.727       99.648
SET      44.031       99.668
SET      46.847       99.688
SET      49.663       99.707
SET      53.503       99.727
SET      56.831       99.746
SET      61.439       99.766
SET      67.583       99.785
SET      74.239       99.805
SET      77.823       99.814
SET      82.431       99.824
SET      86.015       99.834
SET      90.623       99.844
SET      95.743       99.854
SET     100.863       99.863
SET     108.031       99.873
SET     115.711       99.883
SET     122.879       99.893
SET     132.095       99.902
SET     138.239       99.907
SET     145.407       99.912
SET     151.551       99.917
SET     158.719       99.922
SET     165.887       99.927
SET     174.079       99.932
SET     182.271       99.937
SET     190.463       99.941
SET     205.823       99.946
SET     218.111       99.951
SET     224.255       99.954
SET     233.471       99.956
SET     241.663       99.958
SET     246.783       99.961
SET     254.975       99.963
SET     264.191       99.966
SET     274.431       99.968
SET     286.719       99.971
SET     299.007       99.973
SET     315.391       99.976
SET     323.583       99.977
SET     331.775       99.978
SET     335.871       99.979
SET     348.159       99.980
SET     360.447       99.982
SET     368.639       99.983
SET     376.831       99.984
SET     382.975       99.985
SET     391.167       99.987
SET     413.695       99.988
SET     419.839       99.988
SET     428.031       99.989
SET     434.175       99.990
SET     440.319       99.990
SET     448.511       99.991
SET     456.703       99.991
SET     464.895       99.992
SET     489.471       99.993
SET     516.095       99.993
SET     544.767       99.994
SET     548.863       99.994
SET     561.151       99.995
SET     569.343       99.995
SET     577.535       99.995
SET     585.727       99.995
SET     593.919       99.996
SET     610.303       99.996
SET     626.687       99.996
SET     663.551       99.997
SET     671.743       99.997
SET     688.127       99.997
SET     696.319       99.997
SET     716.799       99.997
SET     737.279       99.998
SET     745.471       99.998
SET     749.567       99.998
SET     761.855       99.998
SET     778.239       99.998
SET     782.335       99.998
SET     827.391       99.998
SET     835.583       99.999
SET     843.775       99.999
SET     864.255       99.999
SET     868.351       99.999
SET     876.543       99.999
SET     888.831       99.999
SET     897.023       99.999
SET     897.023       99.999
SET     950.271       99.999
SET     958.463       99.999
SET     958.463       99.999
SET     962.559       99.999
SET     962.559       99.999
SET     966.655       99.999
SET     966.655       99.999
SET     970.751       99.999
SET     974.847      100.000
SET     978.943      100.000
SET     978.943      100.000
SET     978.943      100.000
SET     978.943      100.000
SET     978.943      100.000
SET     978.943      100.000
SET     983.039      100.000
SET     987.135      100.000
SET     991.231      100.000
SET     995.327      100.000
SET     995.327      100.000
SET     995.327      100.000
SET     995.327      100.000
SET     995.327      100.000
SET     995.327      100.000
SET     995.327      100.000
SET     995.327      100.000
SET     995.327      100.000
SET     995.327      100.000
SET     995.327      100.000
SET     999.423      100.000
SET     999.423      100.000
SET     999.423      100.000
SET     999.423      100.000
SET     999.423      100.000
SET     999.423      100.000
