Results for Memcached on port 11211:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            3.34          ---          ---        17.30311        15.99900        53.50300       589.82300      3420.48 
Gets           31.46         0.07        31.39         1.76163         0.39100        16.19100       454.65500         4.15 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals         34.80         0.07        31.39         2.90819         0.42300        25.34300       454.65500      3424.63 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.407        0.000
SET       1.359        5.000
SET       2.159       10.000
SET       3.727       15.000
SET       6.207       20.000
SET       8.703       25.000
SET      11.391       30.000
SET      12.863       35.000
SET      14.271       40.000
SET      15.295       45.000
SET      15.999       50.000
SET      16.255       52.500
SET      16.639       55.000
SET      17.151       57.500
SET      17.535       60.000
SET      17.919       62.500
SET      18.175       65.000
SET      18.559       67.500
SET      19.327       70.000
SET      19.967       72.500
SET      20.607       75.000
SET      20.863       76.250
SET      21.119       77.500
SET      21.375       78.750
SET      21.503       80.000
SET      21.631       81.250
SET      21.887       82.500
SET      22.015       83.750
SET      22.271       85.000
SET      22.399       86.250
SET      22.655       87.500
SET      22.783       88.125
SET      22.911       88.750
SET      23.039       89.375
SET      23.167       90.000
SET      23.423       90.625
SET      23.551       91.250
SET      23.679       91.875
SET      23.935       92.500
SET      24.063       93.125
SET      24.319       93.750
SET      24.447       94.062
SET      24.703       94.375
SET      24.959       94.688
SET      25.087       95.000
SET      25.215       95.312
SET      25.343       95.625
SET      25.471       95.938
SET      25.599       96.250
SET      25.855       96.562
SET      26.239       96.875
SET      26.367       97.031
SET      26.367       97.188
SET      26.623       97.344
SET      27.775       97.500
SET      27.903       97.656
SET      31.231       97.812
SET      31.871       97.969
SET      32.127       98.125
SET      32.255       98.281
SET      32.511       98.438
SET      33.535       98.516
SET      33.535       98.594
SET      35.839       98.672
SET      42.751       98.750
SET      43.007       98.828
SET      51.199       98.906
SET      53.503       98.984
SET      53.759       99.062
SET      74.751       99.141
SET      78.335       99.219
SET      78.847       99.258
SET      78.847       99.297
SET      79.359       99.336
SET     284.671       99.375
SET     284.671       99.414
SET     321.535       99.453
SET     321.535       99.492
SET     321.535       99.531
SET     321.535       99.570
SET     321.535       99.609
SET     321.535       99.629
SET     321.535       99.648
SET     325.631       99.668
SET     325.631       99.688
SET     325.631       99.707
SET     325.631       99.727
SET     325.631       99.746
SET     325.631       99.766
SET     509.951       99.785
SET     509.951       99.805
SET     509.951       99.814
SET     509.951       99.824
SET     589.823       99.834
SET     589.823       99.844
SET     589.823       99.854
SET     589.823       99.863
SET     589.823       99.873
SET     589.823       99.883
SET     716.799       99.893
SET     716.799      100.000
---
GET       0.015        0.000
GET       0.039        5.000
GET       0.055       10.000
GET       0.087       15.000
GET       0.159       20.000
GET       0.223       25.000
GET       0.287       30.000
GET       0.303       35.000
GET       0.319       40.000
GET       0.343       45.000
GET       0.391       50.000
GET       0.415       52.500
GET       0.423       55.000
GET       0.439       57.500
GET       0.455       60.000
GET       0.479       62.500
GET       0.495       65.000
GET       0.519       67.500
GET       0.551       70.000
GET       0.575       72.500
GET       0.631       75.000
GET       0.655       76.250
GET       0.679       77.500
GET       0.743       78.750
GET       0.775       80.000
GET       0.847       81.250
GET       0.895       82.500
GET       0.943       83.750
GET       1.015       85.000
GET       1.103       86.250
GET       1.183       87.500
GET       1.231       88.125
GET       1.255       88.750
GET       1.287       89.375
GET       1.351       90.000
GET       1.439       90.625
GET       1.503       91.250
GET       1.615       91.875
GET       1.767       92.500
GET       1.895       93.125
GET       2.095       93.750
GET       2.191       94.062
GET       2.271       94.375
GET       2.447       94.688
GET       2.543       95.000
GET       2.655       95.312
GET       2.831       95.625
GET       3.087       95.938
GET       3.375       96.250
GET       3.663       96.562
GET       4.223       96.875
GET       4.575       97.031
GET       5.055       97.188
GET       5.343       97.344
GET       5.535       97.500
GET       5.887       97.656
GET       6.271       97.812
GET       6.847       97.969
GET       7.519       98.125
GET       8.639       98.281
GET       9.919       98.438
GET       9.919       98.516
GET      10.495       98.594
GET      11.455       98.672
GET      12.287       98.750
GET      12.671       98.828
GET      13.887       98.906
GET      15.935       98.984
GET      18.175       99.062
GET      21.759       99.141
GET      24.575       99.219
GET      25.087       99.258
GET      25.599       99.297
GET      32.511       99.336
GET      35.071       99.375
GET      39.679       99.414
GET      44.543       99.453
GET      45.311       99.492
GET      46.591       99.531
GET      47.871       99.570
GET      52.223       99.609
GET      52.735       99.629
GET      52.991       99.648
GET      53.503       99.668
GET      55.295       99.688
GET      67.071       99.707
GET      67.583       99.727
GET      68.095       99.746
GET      71.679       99.766
GET     128.511       99.785
GET     129.023       99.805
GET     129.023       99.814
GET     129.023       99.824
GET     129.023       99.834
GET     305.151       99.844
GET     305.151       99.854
GET     305.151       99.863
GET     311.295       99.873
GET     454.655       99.883
GET     454.655       99.893
GET     454.655       99.902
GET     454.655       99.907
GET     454.655       99.912
GET     454.655       99.917
GET     454.655       99.922
GET     454.655       99.927
GET     454.655       99.932
GET     454.655       99.937
GET     458.751       99.941
GET     458.751       99.946
GET     458.751       99.951
GET     458.751       99.954
GET     458.751       99.956
GET     458.751       99.958
GET     458.751       99.961
GET     458.751       99.963
GET     458.751       99.966
GET     509.951       99.968
GET     509.951       99.971
GET     509.951       99.973
GET     509.951       99.976
GET     509.951       99.977
GET     598.015       99.978
GET     598.015       99.979
GET     598.015       99.980
GET     598.015       99.982
GET     618.495       99.983
GET     618.495      100.000
---
WAIT      0.000      100.000


Results for Memcached on port 11213:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets           41.46          ---          ---        47.42641        27.77500       532.47900       888.83100     42456.04 
Gets          412.22         1.29       410.93         2.23977         0.83100        18.17500        61.69500        74.87 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals        453.68         1.29       410.93         6.17501         0.95100        99.32700       614.39900     42530.91 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.439        0.000
SET       3.647        5.000
SET       5.535       10.000
SET       8.127       15.000
SET      11.391       20.000
SET      15.551       25.000
SET      18.687       30.000
SET      21.119       35.000
SET      23.423       40.000
SET      25.343       45.000
SET      27.775       50.000
SET      29.055       52.500
SET      30.591       55.000
SET      32.127       57.500
SET      33.791       60.000
SET      36.095       62.500
SET      38.655       65.000
SET      40.959       67.500
SET      43.007       70.000
SET      45.567       72.500
SET      48.639       75.000
SET      50.431       76.250
SET      52.223       77.500
SET      54.271       78.750
SET      57.855       80.000
SET      62.719       81.250
SET      67.071       82.500
SET      73.727       83.750
SET      79.359       85.000
SET      84.991       86.250
SET      90.111       87.500
SET      92.671       88.125
SET      95.743       88.750
SET      98.815       89.375
SET     101.887       90.000
SET     104.959       90.625
SET     107.519       91.250
SET     110.591       91.875
SET     113.663       92.500
SET     116.223       93.125
SET     118.783       93.750
SET     121.343       94.062
SET     123.903       94.375
SET     125.951       94.688
SET     128.511       95.000
SET     130.047       95.312
SET     133.119       95.625
SET     135.167       95.938
SET     138.239       96.250
SET     141.311       96.562
SET     144.383       96.875
SET     146.431       97.031
SET     148.479       97.188
SET     151.551       97.344
SET     153.599       97.500
SET     158.719       97.656
SET     163.839       97.812
SET     171.007       97.969
SET     179.199       98.125
SET     190.463       98.281
SET     212.991       98.438
SET     260.095       98.516
SET     311.295       98.594
SET     331.775       98.672
SET     370.687       98.750
SET     489.471       98.828
SET     497.663       98.906
SET     532.479       98.984
SET     548.863       99.062
SET     618.495       99.141
SET     647.167       99.219
SET     655.359       99.258
SET     667.647       99.297
SET     679.935       99.336
SET     692.223       99.375
SET     704.511       99.414
SET     708.607       99.453
SET     712.703       99.492
SET     757.759       99.531
SET     843.775       99.570
SET     860.159       99.609
SET     864.255       99.629
SET     864.255       99.648
SET     864.255       99.668
SET     872.447       99.688
SET     872.447       99.707
SET     872.447       99.727
SET     872.447       99.746
SET     876.543       99.766
SET     876.543       99.785
SET     876.543       99.805
SET     884.735       99.814
SET     888.831       99.824
SET     888.831       99.834
SET     888.831       99.844
SET     888.831       99.854
SET     888.831       99.863
SET     888.831       99.873
SET     888.831       99.883
SET     888.831       99.893
SET     888.831       99.902
SET     888.831       99.907
SET     888.831       99.912
SET     888.831       99.917
SET     888.831       99.922
SET     888.831       99.927
SET     888.831       99.932
SET     888.831       99.937
SET     888.831       99.941
SET     888.831       99.946
SET     892.927       99.951
SET     892.927       99.954
SET     892.927       99.956
SET     892.927       99.958
SET     892.927       99.961
SET     892.927       99.963
SET     909.311       99.966
SET     921.599       99.968
SET     921.599       99.971
SET     962.559       99.973
SET     966.655       99.976
SET     966.655       99.977
SET     966.655       99.978
SET     970.751       99.979
SET     970.751       99.980
SET     970.751       99.982
SET     970.751       99.983
SET     970.751       99.984
SET     970.751       99.985
SET     970.751       99.987
SET     970.751       99.988
SET     970.751       99.988
SET     970.751       99.989
SET     970.751       99.990
SET     970.751       99.990
SET     970.751       99.991
SET     970.751       99.991
SET     970.751       99.992
SET     970.751       99.993
SET     974.847       99.993
SET     974.847       99.994
SET     974.847       99.994
SET     974.847       99.995
SET     974.847       99.995
SET     974.847       99.995
SET     974.847       99.995
SET     974.847       99.996
SET     974.847       99.996
SET     974.847       99.996
SET     987.135       99.997
SET     987.135      100.000
---
GET       0.023        0.000
