Results for Memcached on port 11213:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         6657.64          ---          ---         2.70053         1.88700        13.31100       138.23900       246.32 
Gets        66574.64        75.08     66499.56         2.68002         1.88700        13.18300       134.14300      1685.29 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      73232.28        75.08     66499.56         2.68188         1.88700        13.18300       134.14300      1931.61 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.335        5.000
SET       0.439       10.000
SET       0.519       15.000
SET       0.647       20.000
SET       0.767       25.000
SET       1.023       30.000
SET       1.279       35.000
SET       1.511       40.000
SET       1.719       45.000
SET       1.887       50.000
SET       1.975       52.500
SET       2.063       55.000
SET       2.159       57.500
SET       2.255       60.000
SET       2.351       62.500
SET       2.463       65.000
SET       2.575       67.500
SET       2.687       70.000
SET       2.799       72.500
SET       2.943       75.000
SET       3.007       76.250
SET       3.071       77.500
SET       3.151       78.750
SET       3.231       80.000
SET       3.327       81.250
SET       3.423       82.500
SET       3.519       83.750
SET       3.631       85.000
SET       3.759       86.250
SET       3.887       87.500
SET       3.951       88.125
SET       4.015       88.750
SET       4.095       89.375
SET       4.191       90.000
SET       4.287       90.625
SET       4.415       91.250
SET       4.511       91.875
SET       4.639       92.500
SET       4.799       93.125
SET       4.991       93.750
SET       5.087       94.062
SET       5.183       94.375
SET       5.311       94.688
SET       5.439       95.000
SET       5.567       95.312
SET       5.727       95.625
SET       5.919       95.938
SET       6.111       96.250
SET       6.367       96.562
SET       6.623       96.875
SET       6.783       97.031
SET       6.975       97.188
SET       7.167       97.344
SET       7.359       97.500
SET       7.583       97.656
SET       7.871       97.812
SET       8.159       97.969
SET       8.511       98.125
SET       8.959       98.281
SET       9.535       98.438
SET       9.855       98.516
SET      10.175       98.594
SET      10.623       98.672
SET      11.135       98.750
SET      11.647       98.828
SET      12.351       98.906
SET      13.119       98.984
SET      14.079       99.062
SET      15.231       99.141
SET      16.639       99.219
SET      17.535       99.258
SET      18.431       99.297
SET      19.583       99.336
SET      20.991       99.375
SET      22.655       99.414
SET      24.575       99.453
SET      26.623       99.492
SET      29.567       99.531
SET      33.023       99.570
SET      37.119       99.609
SET      39.167       99.629
SET      41.727       99.648
SET      44.799       99.668
SET      48.127       99.688
SET      51.711       99.707
SET      55.807       99.727
SET      60.159       99.746
SET      65.535       99.766
SET      71.167       99.785
SET      78.335       99.805
SET      82.431       99.814
SET      86.527       99.824
SET      91.647       99.834
SET      96.255       99.844
SET     100.863       99.854
SET     106.495       99.863
SET     113.663       99.873
SET     120.319       99.883
SET     130.559       99.893
SET     141.311       99.902
SET     147.455       99.907
SET     152.575       99.912
SET     158.719       99.917
SET     163.839       99.922
SET     172.031       99.927
SET     181.247       99.932
SET     189.439       99.937
SET     198.655       99.941
SET     210.943       99.946
SET     223.231       99.951
SET     228.351       99.954
SET     234.495       99.956
SET     240.639       99.958
SET     248.831       99.961
SET     258.047       99.963
SET     268.287       99.966
SET     282.623       99.968
SET     292.863       99.971
SET     307.199       99.973
SET     319.487       99.976
SET     325.631       99.977
SET     329.727       99.978
SET     335.871       99.979
SET     348.159       99.980
SET     356.351       99.982
SET     366.591       99.983
SET     380.927       99.984
SET     401.407       99.985
SET     417.791       99.987
SET     438.271       99.988
SET     442.367       99.988
SET     446.463       99.989
SET     456.703       99.990
SET     487.423       99.990
SET     499.711       99.991
SET     509.951       99.991
SET     532.479       99.992
SET     561.151       99.993
SET     573.439       99.993
SET     593.919       99.994
SET     610.303       99.994
SET     614.399       99.995
SET     622.591       99.995
SET     634.879       99.995
SET     655.359       99.995
SET     663.551       99.996
SET     692.223       99.996
SET     696.319       99.996
SET     712.703       99.997
SET     724.991       99.997
SET     724.991       99.997
SET     749.567       99.997
SET     753.663       99.997
SET     782.335       99.998
SET     794.623       99.998
SET     798.719       99.998
SET     827.391       99.998
SET     847.871       99.998
SET     851.967       99.998
SET     856.063       99.998
SET     860.159       99.999
SET     860.159       99.999
SET     860.159       99.999
SET     864.255       99.999
SET     876.543       99.999
SET     888.831       99.999
SET     888.831       99.999
SET     917.503       99.999
SET     917.503       99.999
SET     921.599       99.999
SET     942.079       99.999
SET     946.175       99.999
SET     946.175       99.999
SET     946.175       99.999
SET     950.271       99.999
SET     950.271       99.999
SET     954.367      100.000
SET     954.367      100.000
