Results for Redis on port 6379:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         9302.97          ---          ---         8.48593         8.51100        10.30300        13.50300    930759.09 
Gets        93027.40       330.68     92696.73         1.30035         1.23900         2.49500         2.84700     17388.58 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     102330.37       330.68     92696.73         1.95359         1.25500         9.15100        10.23900    948147.67 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.023        0.000
SET       7.615        5.000
SET       7.807       10.000
SET       7.935       15.000
SET       8.031       20.000
SET       8.127       25.000
SET       8.255       30.000
SET       8.319       35.000
SET       8.383       40.000
SET       8.447       45.000
SET       8.511       50.000
SET       8.511       52.500
SET       8.575       55.000
SET       8.575       57.500
SET       8.639       60.000
SET       8.639       62.500
SET       8.703       65.000
SET       8.703       67.500
SET       8.767       70.000
SET       8.767       72.500
SET       8.831       75.000
SET       8.831       76.250
SET       8.895       77.500
SET       8.895       78.750
SET       8.895       80.000
SET       8.959       81.250
SET       8.959       82.500
SET       9.023       83.750
SET       9.023       85.000
SET       9.087       86.250
SET       9.087       87.500
SET       9.151       88.125
SET       9.151       88.750
SET       9.151       89.375
SET       9.215       90.000
SET       9.215       90.625
SET       9.215       91.250
SET       9.279       91.875
SET       9.279       92.500
SET       9.343       93.125
SET       9.407       93.750
SET       9.407       94.062
SET       9.407       94.375
SET       9.471       94.688
SET       9.471       95.000
SET       9.471       95.312
SET       9.535       95.625
SET       9.535       95.938
SET       9.599       96.250
SET       9.599       96.562
SET       9.663       96.875
SET       9.663       97.031
SET       9.727       97.188
SET       9.727       97.344
SET       9.791       97.500
SET       9.791       97.656
SET       9.855       97.812
SET       9.855       97.969
SET       9.919       98.125
SET       9.983       98.281
SET       9.983       98.438
SET      10.047       98.516
SET      10.047       98.594
SET      10.111       98.672
SET      10.175       98.750
SET      10.175       98.828
SET      10.239       98.906
SET      10.303       98.984
SET      10.367       99.062
SET      10.431       99.141
SET      10.559       99.219
SET      10.623       99.258
SET      10.687       99.297
SET      10.751       99.336
SET      10.879       99.375
SET      10.943       99.414
SET      11.071       99.453
SET      11.199       99.492
SET      11.327       99.531
SET      11.519       99.570
SET      11.711       99.609
SET      11.775       99.629
SET      11.903       99.648
SET      12.031       99.668
SET      12.159       99.688
SET      12.287       99.707
SET      12.351       99.727
SET      12.479       99.746
SET      12.607       99.766
SET      12.735       99.785
SET      12.863       99.805
SET      12.927       99.814
SET      12.991       99.824
SET      13.055       99.834
SET      13.055       99.844
SET      13.119       99.854
SET      13.247       99.863
SET      13.311       99.873
SET      13.375       99.883
SET      13.439       99.893
SET      13.503       99.902
SET      13.567       99.907
SET      13.631       99.912
SET      13.695       99.917
SET      13.759       99.922
SET      13.823       99.927
SET      13.887       99.932
SET      13.887       99.937
SET      13.951       99.941
SET      14.079       99.946
SET      14.143       99.951
SET      14.207       99.954
SET      14.271       99.956
SET      14.335       99.958
SET      14.399       99.961
SET      14.463       99.963
SET      14.527       99.966
SET      14.591       99.968
SET      14.655       99.971
SET      14.783       99.973
SET      14.847       99.976
SET      14.911       99.977
SET      14.975       99.978
SET      15.039       99.979
SET      15.103       99.980
SET      15.167       99.982
SET      15.295       99.983
SET      15.359       99.984
SET      15.487       99.985
SET      15.551       99.987
SET      15.615       99.988
SET      15.679       99.988
SET      15.807       99.989
SET      15.871       99.990
SET      15.999       99.990
SET      15.999       99.991
SET      16.127       99.991
SET      16.191       99.992
SET      16.255       99.993
SET      16.319       99.993
SET      16.511       99.994
SET      16.511       99.994
SET      16.639       99.995
SET      16.639       99.995
SET      16.767       99.995
SET      16.767       99.995
SET      16.895       99.996
SET      16.895       99.996
SET      17.023       99.996
SET      17.151       99.997
SET      17.279       99.997
SET      17.279       99.997
SET      17.279       99.997
SET      17.407       99.997
SET      17.407       99.998
SET      17.407       99.998
SET      17.535       99.998
SET      17.535       99.998
SET      17.535       99.998
SET      17.663       99.998
SET      17.663       99.998
SET      17.663       99.999
SET      17.663       99.999
SET      17.663       99.999
SET      17.791       99.999
SET      17.791       99.999
SET      17.791       99.999
SET      17.791       99.999
SET      17.791       99.999
SET      17.791       99.999
SET      17.919       99.999
SET      17.919       99.999
SET      17.919       99.999
SET      17.919       99.999
SET      17.919       99.999
SET      18.047       99.999
SET      18.175       99.999
SET      18.431      100.000
SET      18.431      100.000
SET      18.687      100.000
SET      18.687      100.000
SET      18.687      100.000
SET      18.687      100.000
SET      18.687      100.000
SET      18.687      100.000
SET      18.815      100.000
SET      18.815      100.000
SET      18.815      100.000
SET      18.815      100.000
SET      18.815      100.000
SET      18.815      100.000
SET      18.815      100.000
SET      18.815      100.000
SET      18.815      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      19.071      100.000
SET      19.071      100.000
SET      19.071      100.000
SET      19.071      100.000
SET      19.071      100.000
SET      19.071      100.000
SET      19.071      100.000
SET      19.071      100.000
SET      19.071      100.000
SET      19.071      100.000
SET      19.583      100.000
SET      19.583      100.000
---
GET       0.255        0.000
GET       1.079        5.000
GET       1.119       10.000
GET       1.143       15.000
GET       1.159       20.000
GET       1.175       25.000
GET       1.191       30.000
GET       1.199       35.000
GET       1.215       40.000
GET       1.223       45.000
GET       1.239       50.000
GET       1.247       52.500
GET       1.255       55.000
GET       1.255       57.500
GET       1.263       60.000
GET       1.271       62.500
GET       1.279       65.000
GET       1.287       67.500
GET       1.295       70.000
GET       1.303       72.500
GET       1.319       75.000
GET       1.319       76.250
GET       1.327       77.500
GET       1.335       78.750
GET       1.343       80.000
GET       1.351       81.250
GET       1.359       82.500
GET       1.367       83.750
GET       1.383       85.000
GET       1.399       86.250
GET       1.415       87.500
GET       1.431       88.125
GET       1.447       88.750
GET       1.471       89.375
GET       1.503       90.000
GET       1.559       90.625
GET       1.631       91.250
GET       1.695       91.875
GET       1.743       92.500
GET       1.775       93.125
GET       1.807       93.750
GET       1.823       94.062
GET       1.839       94.375
GET       1.855       94.688
GET       1.871       95.000
GET       1.895       95.312
GET       1.911       95.625
GET       1.935       95.938
GET       1.975       96.250
GET       2.023       96.562
GET       2.111       96.875
GET       2.159       97.031
GET       2.207       97.188
GET       2.239       97.344
GET       2.271       97.500
GET       2.303       97.656
GET       2.319       97.812
GET       2.351       97.969
GET       2.367       98.125
GET       2.399       98.281
GET       2.415       98.438
GET       2.431       98.516
GET       2.447       98.594
GET       2.447       98.672
GET       2.463       98.750
GET       2.479       98.828
GET       2.479       98.906
GET       2.495       98.984
GET       2.511       99.062
GET       2.527       99.141
GET       2.543       99.219
GET       2.543       99.258
GET       2.559       99.297
GET       2.559       99.336
GET       2.575       99.375
GET       2.575       99.414
GET       2.591       99.453
GET       2.607       99.492
GET       2.607       99.531
GET       2.623       99.570
GET       2.639       99.609
GET       2.639       99.629
GET       2.655       99.648
GET       2.655       99.668
GET       2.671       99.688
GET       2.671       99.707
GET       2.687       99.727
GET       2.703       99.746
GET       2.703       99.766
GET       2.719       99.785
GET       2.735       99.805
GET       2.735       99.814
GET       2.751       99.824
GET       2.767       99.834
GET       2.767       99.844
GET       2.783       99.854
GET       2.799       99.863
GET       2.799       99.873
GET       2.815       99.883
GET       2.831       99.893
GET       2.847       99.902
GET       2.863       99.907
GET       2.879       99.912
GET       2.895       99.917
GET       2.895       99.922
GET       2.911       99.927
GET       2.927       99.932
GET       2.959       99.937
GET       2.975       99.941
GET       2.991       99.946
GET       3.023       99.951
GET       3.039       99.954
GET       3.055       99.956
GET       3.071       99.958
GET       3.103       99.961
GET       3.119       99.963
GET       3.151       99.966
GET       3.167       99.968
GET       3.215       99.971
GET       3.247       99.973
