Results for Redis on port 6379:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        11446.69          ---          ---         1.58844         1.54300         3.05500         3.74300     11993.16 
Gets       114465.23       406.30    114058.93         1.58752         1.54300         3.05500         3.72700      4665.15 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     125911.92       406.30    114058.93         1.58760         1.54300         3.05500         3.72700     16658.31 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.191        0.000
SET       1.407        5.000
SET       1.439       10.000
SET       1.463       15.000
SET       1.479       20.000
SET       1.487       25.000
SET       1.503       30.000
SET       1.511       35.000
SET       1.519       40.000
SET       1.535       45.000
SET       1.543       50.000
SET       1.543       52.500
SET       1.551       55.000
SET       1.559       57.500
SET       1.559       60.000
SET       1.567       62.500
SET       1.575       65.000
SET       1.583       67.500
SET       1.591       70.000
SET       1.599       72.500
SET       1.607       75.000
SET       1.607       76.250
SET       1.615       77.500
SET       1.615       78.750
SET       1.623       80.000
SET       1.631       81.250
SET       1.639       82.500
SET       1.639       83.750
SET       1.647       85.000
SET       1.663       86.250
SET       1.671       87.500
SET       1.679       88.125
SET       1.687       88.750
SET       1.695       89.375
SET       1.703       90.000
SET       1.711       90.625
SET       1.719       91.250
SET       1.735       91.875
SET       1.759       92.500
SET       1.783       93.125
SET       1.807       93.750
SET       1.831       94.062
SET       1.855       94.375
SET       1.879       94.688
SET       1.911       95.000
SET       1.943       95.312
SET       1.983       95.625
SET       2.023       95.938
SET       2.063       96.250
SET       2.095       96.562
SET       2.143       96.875
SET       2.159       97.031
SET       2.191       97.188
SET       2.207       97.344
SET       2.255       97.500
SET       2.319       97.656
SET       2.431       97.812
SET       2.607       97.969
SET       2.799       98.125
SET       2.879       98.281
SET       2.943       98.438
SET       2.959       98.516
SET       2.975       98.594
SET       2.991       98.672
SET       3.007       98.750
SET       3.023       98.828
SET       3.039       98.906
SET       3.055       98.984
SET       3.071       99.062
SET       3.087       99.141
SET       3.103       99.219
SET       3.119       99.258
SET       3.135       99.297
SET       3.135       99.336
SET       3.151       99.375
SET       3.151       99.414
SET       3.167       99.453
SET       3.183       99.492
SET       3.199       99.531
SET       3.215       99.570
SET       3.231       99.609
SET       3.247       99.629
SET       3.247       99.648
SET       3.263       99.668
SET       3.279       99.688
SET       3.295       99.707
SET       3.311       99.727
SET       3.327       99.746
SET       3.343       99.766
SET       3.375       99.785
SET       3.407       99.805
SET       3.423       99.814
SET       3.439       99.824
SET       3.455       99.834
SET       3.487       99.844
SET       3.519       99.854
SET       3.551       99.863
SET       3.599       99.873
SET       3.647       99.883
SET       3.695       99.893
SET       3.759       99.902
SET       3.791       99.907
SET       3.823       99.912
SET       3.855       99.917
SET       3.887       99.922
SET       3.919       99.927
SET       3.951       99.932
SET       3.999       99.937
SET       4.031       99.941
SET       4.095       99.946
SET       4.159       99.951
SET       4.191       99.954
SET       4.223       99.956
SET       4.255       99.958
SET       4.319       99.961
SET       4.351       99.963
SET       4.383       99.966
SET       4.447       99.968
SET       4.511       99.971
SET       4.575       99.973
SET       4.639       99.976
SET       4.671       99.977
SET       4.735       99.978
SET       4.767       99.979
SET       4.799       99.980
SET       4.863       99.982
SET       4.895       99.983
SET       4.959       99.984
SET       5.055       99.985
SET       5.151       99.987
SET       5.215       99.988
SET       5.279       99.988
SET       5.343       99.989
SET       5.375       99.990
SET       5.439       99.990
SET       5.503       99.991
SET       5.535       99.991
SET       5.599       99.992
