Results for Redis on port 6379:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         2868.57          ---          ---        57.45714        57.08700        67.07100       103.93500   2937562.33 
Gets        28682.69        99.33     28583.35         1.22419         1.07900         2.07900         2.71900     19475.77 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      31551.26        99.33     28583.35         6.33677         1.17500        59.90300        66.55900   2957038.10 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.839        0.000
SET      55.295        5.000
SET      55.551       10.000
SET      55.807       15.000
SET      56.063       20.000
SET      56.319       25.000
SET      56.319       30.000
SET      56.575       35.000
SET      56.575       40.000
SET      56.831       45.000
SET      57.087       50.000
SET      57.087       52.500
SET      57.087       55.000
SET      57.343       57.500
SET      57.343       60.000
SET      57.343       62.500
SET      57.599       65.000
SET      57.599       67.500
SET      57.855       70.000
SET      57.855       72.500
SET      58.111       75.000
SET      58.111       76.250
SET      58.367       77.500
SET      58.367       78.750
SET      58.367       80.000
SET      58.623       81.250
SET      58.623       82.500
SET      58.879       83.750
SET      59.135       85.000
SET      59.391       86.250
SET      59.391       87.500
SET      59.647       88.125
SET      59.903       88.750
SET      59.903       89.375
SET      60.159       90.000
SET      60.159       90.625
SET      60.415       91.250
SET      60.415       91.875
SET      60.671       92.500
SET      60.671       93.125
SET      60.927       93.750
SET      61.183       94.062
SET      61.183       94.375
SET      61.183       94.688
SET      61.439       95.000
SET      61.439       95.312
SET      61.695       95.625
SET      61.695       95.938
SET      61.951       96.250
SET      62.207       96.562
SET      62.463       96.875
SET      62.719       97.031
SET      62.719       97.188
SET      62.975       97.344
SET      63.231       97.500
SET      63.487       97.656
SET      63.743       97.812
SET      63.999       97.969
SET      64.255       98.125
SET      64.511       98.281
SET      65.023       98.438
SET      65.023       98.516
SET      65.279       98.594
SET      65.535       98.672
SET      66.047       98.750
SET      66.559       98.828
SET      66.559       98.906
SET      67.071       98.984
SET      67.583       99.062
SET      68.095       99.141
SET      68.607       99.219
SET      68.607       99.258
SET      69.119       99.297
SET      69.119       99.336
SET      69.631       99.375
SET      70.143       99.414
SET      70.143       99.453
SET      70.655       99.492
SET      70.655       99.531
SET      71.167       99.570
SET      71.679       99.609
SET      72.191       99.629
SET      72.191       99.648
SET      72.703       99.668
SET      72.703       99.688
SET      73.215       99.707
SET      74.239       99.727
SET      75.263       99.746
SET      76.799       99.766
SET      78.335       99.785
SET      80.383       99.805
SET      82.431       99.814
SET      84.479       99.824
SET      86.527       99.834
SET      88.063       99.844
SET      91.135       99.854
SET      94.719       99.863
SET      97.791       99.873
SET      99.839       99.883
SET     101.887       99.893
SET     104.447       99.902
SET     105.471       99.907
SET     106.495       99.912
SET     107.519       99.917
SET     108.543       99.922
SET     109.567       99.927
SET     111.615       99.932
SET     113.151       99.937
SET     115.199       99.941
SET     116.735       99.946
SET     118.271       99.951
SET     118.783       99.954
SET     119.295       99.956
SET     120.319       99.958
SET     121.343       99.961
SET     122.367       99.963
SET     123.391       99.966
SET     124.927       99.968
SET     126.463       99.971
SET     127.487       99.973
SET     129.023       99.976
SET     130.047       99.977
SET     131.071       99.978
SET     132.095       99.979
SET     133.119       99.980
SET     134.143       99.982
SET     135.167       99.983
SET     136.191       99.984
SET     137.215       99.985
SET     139.263       99.987
SET     140.287       99.988
SET     140.287       99.988
SET     141.311       99.989
SET     142.335       99.990
SET     142.335       99.990
SET     143.359       99.991
SET     144.383       99.991
SET     144.383       99.992
SET     145.407       99.993
SET     146.431       99.993
SET     146.431       99.994
SET     146.431       99.994
SET     147.455       99.995
SET     147.455       99.995
SET     147.455       99.995
SET     148.479       99.995
SET     148.479       99.996
SET     149.503       99.996
SET     149.503       99.996
SET     149.503       99.997
SET     150.527       99.997
SET     150.527       99.997
SET     150.527       99.997
SET     150.527       99.997
SET     150.527       99.998
SET     150.527       99.998
SET     150.527       99.998
SET     150.527       99.998
SET     150.527       99.998
SET     151.551       99.998
SET     151.551       99.998
SET     151.551       99.999
SET     151.551       99.999
SET     151.551       99.999
SET     151.551       99.999
SET     151.551       99.999
SET     151.551       99.999
SET     152.575       99.999
SET     153.599       99.999
SET     153.599       99.999
SET     153.599       99.999
SET     153.599       99.999
SET     154.623       99.999
SET     154.623       99.999
SET     154.623       99.999
SET     155.647       99.999
SET     155.647       99.999
SET     156.671      100.000
SET     156.671      100.000
SET     156.671      100.000
SET     156.671      100.000
SET     156.671      100.000
SET     157.695      100.000
SET     157.695      100.000
SET     157.695      100.000
SET     157.695      100.000
SET     157.695      100.000
SET     157.695      100.000
SET     157.695      100.000
SET     157.695      100.000
SET     157.695      100.000
SET     157.695      100.000
SET     157.695      100.000
SET     157.695      100.000
SET     157.695      100.000
SET     157.695      100.000
SET     157.695      100.000
SET     157.695      100.000
SET     159.743      100.000
SET     159.743      100.000
SET     159.743      100.000
SET     159.743      100.000
SET     159.743      100.000
SET     159.743      100.000
SET     159.743      100.000
SET     159.743      100.000
SET     159.743      100.000
SET     159.743      100.000
SET     161.791      100.000
SET     161.791      100.000
---
GET       0.111        0.000
GET       0.815        5.000
GET       0.839       10.000
GET       0.863       15.000
GET       0.879       20.000
GET       0.903       25.000
GET       0.927       30.000
GET       0.951       35.000
GET       0.983       40.000
GET       1.023       45.000
GET       1.079       50.000
GET       1.119       52.500
GET       1.175       55.000
GET       1.263       57.500
GET       1.335       60.000
