Results for Redis on port 6379:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        11518.97          ---          ---         1.58045         1.53500         3.03900         3.71100       527.42 
Gets       115187.98       207.67    114980.31         1.57735         1.53500         3.03900         3.69500      4487.37 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     126706.95       207.67    114980.31         1.57763         1.53500         3.03900         3.69500      5014.79 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.191        0.000
SET       1.407        5.000
SET       1.439       10.000
SET       1.455       15.000
SET       1.471       20.000
SET       1.487       25.000
SET       1.495       30.000
SET       1.503       35.000
SET       1.511       40.000
SET       1.527       45.000
SET       1.535       50.000
SET       1.535       52.500
SET       1.543       55.000
SET       1.551       57.500
SET       1.551       60.000
SET       1.559       62.500
SET       1.567       65.000
SET       1.575       67.500
SET       1.575       70.000
SET       1.583       72.500
SET       1.591       75.000
SET       1.599       76.250
SET       1.599       77.500
SET       1.607       78.750
SET       1.607       80.000
SET       1.615       81.250
SET       1.623       82.500
SET       1.631       83.750
SET       1.639       85.000
SET       1.647       86.250
SET       1.655       87.500
SET       1.663       88.125
SET       1.663       88.750
SET       1.671       89.375
SET       1.679       90.000
SET       1.687       90.625
SET       1.703       91.250
SET       1.711       91.875
SET       1.727       92.500
SET       1.751       93.125
SET       1.775       93.750
SET       1.791       94.062
SET       1.807       94.375
SET       1.831       94.688
SET       1.855       95.000
SET       1.887       95.312
SET       1.919       95.625
SET       1.959       95.938
SET       2.007       96.250
SET       2.063       96.562
SET       2.095       96.875
SET       2.111       97.031
SET       2.143       97.188
SET       2.159       97.344
SET       2.191       97.500
SET       2.223       97.656
SET       2.287       97.812
SET       2.431       97.969
SET       2.703       98.125
SET       2.847       98.281
SET       2.911       98.438
SET       2.943       98.516
SET       2.959       98.594
SET       2.975       98.672
SET       2.991       98.750
SET       3.007       98.828
SET       3.023       98.906
SET       3.039       98.984
SET       3.055       99.062
SET       3.071       99.141
SET       3.087       99.219
SET       3.103       99.258
SET       3.103       99.297
SET       3.119       99.336
SET       3.119       99.375
SET       3.135       99.414
SET       3.151       99.453
SET       3.151       99.492
SET       3.167       99.531
SET       3.183       99.570
SET       3.199       99.609
SET       3.215       99.629
SET       3.215       99.648
SET       3.231       99.668
SET       3.247       99.688
SET       3.263       99.707
SET       3.263       99.727
SET       3.295       99.746
SET       3.311       99.766
SET       3.327       99.785
SET       3.359       99.805
SET       3.375       99.814
SET       3.407       99.824
SET       3.423       99.834
SET       3.455       99.844
SET       3.487       99.854
SET       3.519       99.863
SET       3.567       99.873
SET       3.615       99.883
SET       3.679       99.893
SET       3.727       99.902
SET       3.759       99.907
SET       3.791       99.912
SET       3.823       99.917
SET       3.871       99.922
SET       3.903       99.927
SET       3.951       99.932
SET       3.983       99.937
SET       4.047       99.941
SET       4.095       99.946
SET       4.191       99.951
SET       4.223       99.954
SET       4.255       99.956
SET       4.319       99.958
SET       4.351       99.961
SET       4.383       99.963
SET       4.447       99.966
SET       4.511       99.968
SET       4.607       99.971
SET       4.671       99.973
SET       4.767       99.976
SET       4.799       99.977
SET       4.831       99.978
SET       4.927       99.979
SET       4.991       99.980
SET       5.055       99.982
SET       5.151       99.983
SET       5.247       99.984
SET       5.343       99.985
SET       5.439       99.987
SET       5.567       99.988
SET       5.631       99.988
SET       5.695       99.989
SET       5.759       99.990
SET       5.855       99.990
SET       5.951       99.991
SET       6.015       99.991
SET       6.079       99.992
SET       6.175       99.993
