Results for Redis on port 6379:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         7265.27          ---          ---         9.47681         8.51100        20.60700        28.79900    726887.80 
Gets        72650.28       258.24     72392.05         1.79879         1.66300         4.86300        13.31100     11080.10 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      79915.55       258.24     72392.05         2.49681         1.74300        14.14300        20.99100    737967.90 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.439        0.000
SET       4.607        5.000
SET       5.599       10.000
SET       6.175       15.000
SET       6.559       20.000
SET       6.879       25.000
SET       7.167       30.000
SET       7.423       35.000
SET       7.743       40.000
SET       8.063       45.000
SET       8.511       50.000
SET       8.703       52.500
SET       9.023       55.000
SET       9.343       57.500
SET       9.727       60.000
SET      10.111       62.500
SET      10.559       65.000
SET      10.943       67.500
SET      11.391       70.000
SET      11.775       72.500
SET      12.159       75.000
SET      12.287       76.250
SET      12.479       77.500
SET      12.607       78.750
SET      12.799       80.000
SET      12.927       81.250
SET      13.119       82.500
SET      13.247       83.750
SET      13.439       85.000
SET      13.631       86.250
SET      13.759       87.500
SET      13.887       88.125
SET      13.951       88.750
SET      14.079       89.375
SET      14.143       90.000
SET      14.271       90.625
SET      14.399       91.250
SET      14.463       91.875
SET      14.655       92.500
SET      14.783       93.125
SET      14.911       93.750
SET      15.039       94.062
SET      15.167       94.375
SET      15.231       94.688
SET      15.359       95.000
SET      15.551       95.312
SET      15.679       95.625
SET      15.871       95.938
SET      16.127       96.250
SET      16.383       96.562
SET      16.767       96.875
SET      16.895       97.031
SET      17.023       97.188
SET      17.279       97.344
SET      17.535       97.500
SET      17.663       97.656
SET      17.919       97.812
SET      18.175       97.969
SET      18.431       98.125
SET      18.815       98.281
SET      19.071       98.438
SET      19.199       98.516
SET      19.455       98.594
SET      19.583       98.672
SET      19.839       98.750
SET      20.095       98.828
SET      20.351       98.906
SET      20.479       98.984
SET      20.735       99.062
SET      21.119       99.141
SET      21.375       99.219
SET      21.503       99.258
SET      21.759       99.297
SET      21.887       99.336
SET      22.143       99.375
SET      22.271       99.414
SET      22.527       99.453
SET      22.655       99.492
SET      22.911       99.531
SET      23.167       99.570
SET      23.423       99.609
SET      23.679       99.629
SET      23.807       99.648
SET      23.935       99.668
SET      24.191       99.688
SET      24.319       99.707
SET      24.575       99.727
SET      24.831       99.746
SET      25.087       99.766
SET      25.471       99.785
SET      25.855       99.805
SET      26.111       99.814
SET      26.239       99.824
SET      26.495       99.834
SET      26.751       99.844
SET      27.135       99.854
SET      27.391       99.863
SET      27.775       99.873
SET      28.031       99.883
SET      28.415       99.893
SET      28.927       99.902
SET      29.055       99.907
SET      29.311       99.912
SET      29.567       99.917
SET      29.823       99.922
SET      30.207       99.927
SET      30.591       99.932
SET      31.103       99.937
SET      31.487       99.941
SET      31.999       99.946
SET      33.023       99.951
SET      33.791       99.954
SET      34.303       99.956
SET      34.815       99.958
SET      35.839       99.961
SET      37.631       99.963
SET      40.447       99.966
SET      43.519       99.968
SET      47.615       99.971
SET      49.663       99.973
SET      55.551       99.976
SET      61.183       99.977
SET      68.095       99.978
SET      72.191       99.979
SET      75.263       99.980
SET      79.359       99.982
SET      88.575       99.983
SET      93.183       99.984
SET      95.743       99.985
SET     112.639       99.987
SET     130.559       99.988
SET     135.167       99.988
SET     137.215       99.989
SET     145.407       99.990
SET     152.575       99.990
SET     171.007       99.991
SET     174.079       99.991
SET     193.535       99.992
SET     237.567       99.993
SET     268.287       99.993
SET     274.431       99.994
SET     278.527       99.994
SET     280.575       99.995
SET     282.623       99.995
SET     317.439       99.995
SET     358.399       99.995
SET     360.447       99.996
SET     370.687       99.996
SET     372.735       99.996
SET     466.943       99.997
SET     471.039       99.997
SET     473.087       99.997
SET     475.135       99.997
SET     475.135       99.997
SET     514.047       99.998
SET     520.191       99.998
SET     522.239       99.998
SET     552.959       99.998
SET     552.959       99.998
SET     712.703       99.998
SET     712.703       99.998
SET     712.703       99.999
SET     712.703       99.999
SET     712.703       99.999
SET     716.799       99.999
SET     827.391       99.999
SET     831.487       99.999
SET     831.487       99.999
SET     860.159       99.999
SET     860.159       99.999
SET     860.159       99.999
SET     864.255       99.999
SET     864.255       99.999
SET     864.255       99.999
SET     864.255       99.999
SET     864.255       99.999
SET     864.255       99.999
SET     864.255      100.000
SET     864.255      100.000
SET     950.271      100.000
SET     950.271      100.000
SET     950.271      100.000
SET     950.271      100.000
SET     950.271      100.000
SET     950.271      100.000
SET     950.271      100.000
SET     995.327      100.000
SET     995.327      100.000
SET     999.423      100.000
SET     999.423      100.000
SET     999.423      100.000
SET    1003.519      100.000
SET    1003.519      100.000
---
GET       0.063        0.000
GET       0.839        5.000
GET       0.983       10.000
GET       1.087       15.000
GET       1.167       20.000
GET       1.239       25.000
GET       1.319       30.000
GET       1.407       35.000
GET       1.495       40.000
GET       1.583       45.000
GET       1.663       50.000
GET       1.703       52.500
GET       1.743       55.000
GET       1.783       57.500
GET       1.823       60.000
GET       1.863       62.500
GET       1.903       65.000
GET       1.943       67.500
GET       1.983       70.000
GET       2.031       72.500
GET       2.079       75.000
GET       2.095       76.250
GET       2.127       77.500
GET       2.159       78.750
GET       2.191       80.000
GET       2.223       81.250
GET       2.255       82.500
GET       2.287       83.750
GET       2.335       85.000
GET       2.399       86.250
GET       2.463       87.500
GET       2.495       88.125
GET       2.527       88.750
GET       2.575       89.375
GET       2.607       90.000
GET       2.655       90.625
GET       2.703       91.250
GET       2.767       91.875
GET       2.815       92.500
GET       2.879       93.125
GET       2.943       93.750
GET       2.975       94.062
GET       3.007       94.375
GET       3.055       94.688
GET       3.087       95.000
GET       3.135       95.312
GET       3.183       95.625
GET       3.231       95.938
GET       3.295       96.250
GET       3.375       96.562
GET       3.455       96.875
GET       3.487       97.031
GET       3.535       97.188
GET       3.599       97.344
GET       3.647       97.500
GET       3.711       97.656
GET       3.775       97.812
GET       3.855       97.969
GET       3.935       98.125
GET       4.031       98.281
GET       4.159       98.438
GET       4.223       98.516
GET       4.287       98.594
GET       4.383       98.672
GET       4.447       98.750
GET       4.575       98.828
GET       4.671       98.906
GET       4.831       98.984
GET       4.991       99.062
GET       5.183       99.141
GET       5.439       99.219
GET       5.599       99.258
GET       5.727       99.297
GET       5.919       99.336
GET       6.111       99.375
GET       6.303       99.414
GET       6.527       99.453
GET       6.815       99.492
GET       7.103       99.531
GET       7.423       99.570
GET       7.807       99.609
GET       8.031       99.629
GET       8.319       99.648
GET       8.575       99.668
GET       8.831       99.688
GET       9.151       99.707
GET       9.471       99.727
GET       9.791       99.746
GET      10.111       99.766
GET      10.431       99.785
GET      10.751       99.805
GET      10.943       99.814
GET      11.135       99.824
GET      11.327       99.834
GET      11.519       99.844
GET      11.711       99.854
GET      11.967       99.863
GET      12.287       99.873
GET      12.607       99.883
GET      12.991       99.893
GET      13.439       99.902
GET      13.695       99.907
GET      13.951       99.912
GET      14.271       99.917
GET      14.655       99.922
GET      15.103       99.927
GET      15.423       99.932
GET      15.871       99.937
GET      16.383       99.941
GET      16.895       99.946
GET      17.407       99.951
GET      17.663       99.954
GET      18.047       99.956
GET      18.303       99.958
GET      18.687       99.961
GET      19.071       99.963
GET      19.455       99.966
GET      19.839       99.968
GET      20.223       99.971
GET      20.479       99.973
GET      20.863       99.976
GET      21.119       99.977
GET      21.247       99.978
GET      21.503       99.979
GET      21.759       99.980
GET      22.015       99.982
GET      22.271       99.983
GET      22.655       99.984
GET      23.039       99.985
GET      23.551       99.987
GET      24.447       99.988
GET      24.959       99.988
GET      25.727       99.989
GET      26.367       99.990
GET      27.391       99.990
GET      28.671       99.991
GET      30.463       99.991
GET      33.535       99.992
GET      37.375       99.993
GET      43.007       99.993
GET      47.871       99.994
GET      57.087       99.994
GET      59.135       99.995
GET      63.999       99.995
GET      66.047       99.995
GET      77.311       99.995
GET      89.087       99.996
GET     100.351       99.996
GET     134.143       99.996
GET     144.383       99.997
GET     165.887       99.997
GET     175.103       99.997
GET     185.343       99.997
GET     229.375       99.997
GET     264.191       99.998
GET     274.431       99.998
GET     278.527       99.998
GET     319.487       99.998
GET     325.631       99.998
GET     350.207       99.998
GET     385.023       99.998
GET     444.415       99.999
GET     460.799       99.999
GET     464.895       99.999
GET     473.087       99.999
GET     511.999       99.999
GET     518.143       99.999
GET     518.143       99.999
GET     518.143       99.999
GET     520.191       99.999
GET     522.239       99.999
GET     548.863       99.999
GET     548.863       99.999
GET     552.959       99.999
GET     552.959       99.999
GET     552.959       99.999
GET     708.607       99.999
GET     827.391      100.000
GET     856.063      100.000
GET     856.063      100.000
GET     856.063      100.000
GET     856.063      100.000
GET     860.159      100.000
GET     860.159      100.000
GET     860.159      100.000
GET     946.175      100.000
GET     946.175      100.000
GET     946.175      100.000
GET     946.175      100.000
GET     946.175      100.000
GET     991.231      100.000
GET     995.327      100.000
GET     995.327      100.000
GET     995.327      100.000
GET     995.327      100.000
GET     995.327      100.000
GET     995.327      100.000
GET     995.327      100.000
GET     995.327      100.000
GET     995.327      100.000
GET     999.423      100.000
GET     999.423      100.000
GET     999.423      100.000
GET     999.423      100.000
GET     999.423      100.000
GET     999.423      100.000
GET     999.423      100.000
GET     999.423      100.000
GET     999.423      100.000
GET     999.423      100.000
GET    1003.519      100.000
GET    1003.519      100.000
---
WAIT      0.000      100.000


Results for Redis on port 6380:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         7698.80          ---          ---         8.72203         7.77500        18.43100        26.49500    770262.15 
Gets        76985.98       236.24     76749.73         1.72162         1.58300         4.86300        13.31100     12195.59 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      84684.77       236.24     76749.73         2.35804         1.65500        13.18300        19.32700    782457.73 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.231        0.000
SET       4.511        5.000
SET       5.343       10.000
SET       5.823       15.000
SET       6.175       20.000
SET       6.463       25.000
SET       6.719       30.000
SET       6.943       35.000
SET       7.199       40.000
SET       7.455       45.000
SET       7.775       50.000
SET       7.935       52.500
SET       8.127       55.000
SET       8.383       57.500
SET       8.639       60.000
SET       8.959       62.500
SET       9.343       65.000
SET       9.791       67.500
SET      10.239       70.000
SET      10.623       72.500
SET      11.071       75.000
SET      11.263       76.250
SET      11.455       77.500
SET      11.647       78.750
SET      11.839       80.000
SET      11.967       81.250
SET      12.159       82.500
SET      12.287       83.750
SET      12.479       85.000
SET      12.607       86.250
SET      12.799       87.500
SET      12.927       88.125
SET      12.991       88.750
SET      13.055       89.375
SET      13.183       90.000
SET      13.311       90.625
SET      13.375       91.250
SET      13.503       91.875
SET      13.631       92.500
SET      13.759       93.125
SET      13.887       93.750
SET      13.951       94.062
SET      14.079       94.375
SET      14.143       94.688
SET      14.207       95.000
SET      14.335       95.312
SET      14.463       95.625
SET      14.527       95.938
SET      14.719       96.250
SET      14.847       96.562
SET      15.039       96.875
SET      15.167       97.031
SET      15.295       97.188
SET      15.423       97.344
SET      15.551       97.500
SET      15.679       97.656
SET      15.871       97.812
SET      16.063       97.969
SET      16.319       98.125
SET      16.639       98.281
SET      17.023       98.438
SET      17.151       98.516
SET      17.279       98.594
SET      17.535       98.672
SET      17.663       98.750
SET      17.919       98.828
SET      18.175       98.906
SET      18.431       98.984
SET      18.687       99.062
SET      18.943       99.141
SET      19.199       99.219
SET      19.327       99.258
SET      19.455       99.297
SET      19.711       99.336
SET      19.839       99.375
SET      20.095       99.414
SET      20.223       99.453
SET      20.479       99.492
SET      20.735       99.531
