Results for Redis on port 6379:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         9681.85          ---          ---         1.87977         1.63100         3.93500        23.42300     10144.07 
Gets        96816.79       341.46     96475.33         1.87650         1.63100         3.93500        23.55100      3982.52 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     106498.63       341.46     96475.33         1.87680         1.63100         3.93500        23.55100     14126.59 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.071        0.000
SET       0.879        5.000
SET       1.015       10.000
SET       1.127       15.000
SET       1.207       20.000
SET       1.271       25.000
SET       1.335       30.000
SET       1.415       35.000
SET       1.487       40.000
SET       1.567       45.000
SET       1.631       50.000
SET       1.671       52.500
SET       1.703       55.000
SET       1.743       57.500
SET       1.791       60.000
SET       1.847       62.500
SET       1.911       65.000
SET       1.975       67.500
SET       2.031       70.000
SET       2.095       72.500
SET       2.143       75.000
SET       2.175       76.250
SET       2.191       77.500
SET       2.223       78.750
SET       2.239       80.000
SET       2.271       81.250
SET       2.287       82.500
SET       2.319       83.750
SET       2.351       85.000
SET       2.383       86.250
SET       2.431       87.500
SET       2.463       88.125
SET       2.479       88.750
SET       2.527       89.375
SET       2.559       90.000
SET       2.591       90.625
SET       2.639       91.250
SET       2.687       91.875
SET       2.735       92.500
SET       2.767       93.125
SET       2.815       93.750
SET       2.847       94.062
SET       2.879       94.375
SET       2.911       94.688
SET       2.943       95.000
SET       2.975       95.312
SET       3.023       95.625
SET       3.055       95.938
SET       3.103       96.250
SET       3.151       96.562
SET       3.199       96.875
SET       3.215       97.031
SET       3.247       97.188
SET       3.279       97.344
SET       3.311       97.500
SET       3.359       97.656
SET       3.391       97.812
SET       3.439       97.969
SET       3.503       98.125
SET       3.567       98.281
SET       3.631       98.438
SET       3.679       98.516
SET       3.727       98.594
SET       3.759       98.672
SET       3.807       98.750
SET       3.839       98.828
SET       3.871       98.906
SET       3.919       98.984
SET       3.983       99.062
SET       4.079       99.141
SET       4.191       99.219
SET       4.255       99.258
SET       4.319       99.297
SET       4.383       99.336
SET       4.447       99.375
SET       4.511       99.414
SET       4.575       99.453
SET       4.639       99.492
SET       4.735       99.531
SET       4.831       99.570
SET       5.023       99.609
SET       5.183       99.629
SET       5.375       99.648
SET       5.631       99.668
SET       5.983       99.688
SET       6.431       99.707
SET       7.007       99.727
SET       7.679       99.746
SET       8.447       99.766
SET       9.215       99.785
SET      10.367       99.805
SET      10.943       99.814
SET      11.647       99.824
SET      12.479       99.834
SET      13.439       99.844
SET      14.591       99.854
SET      15.871       99.863
SET      17.279       99.873
SET      18.943       99.883
SET      21.503       99.893
SET      24.063       99.902
SET      25.855       99.907
SET      27.775       99.912
SET      29.695       99.917
SET      32.639       99.922
SET      35.583       99.927
SET      38.655       99.932
SET      43.263       99.937
SET      47.103       99.941
SET      51.455       99.946
SET      56.575       99.951
SET      59.903       99.954
SET      62.207       99.956
SET      66.559       99.958
SET      70.655       99.961
SET      74.751       99.963
SET      79.359       99.966
SET      87.551       99.968
SET      95.231       99.971
SET     102.399       99.973
SET     110.591       99.976
SET     117.247       99.977
SET     122.879       99.978
SET     128.511       99.979
SET     136.191       99.980
SET     149.503       99.982
SET     157.695       99.983
SET     172.031       99.984
SET     182.271       99.985
SET     194.559       99.987
SET     212.991       99.988
SET     233.471       99.988
SET     257.023       99.989
SET     274.431       99.990
SET     301.055       99.990
SET     325.631       99.991
SET     331.775       99.991
SET     354.303       99.992
SET     364.543       99.993
SET     413.695       99.993
SET     460.799       99.994
SET     479.231       99.994
SET     493.567       99.995
SET     610.303       99.995
SET     675.839       99.995
SET     716.799       99.995
SET     811.007       99.996
SET     917.503       99.996
SET     933.887       99.996
SET     978.943       99.997
SET     978.943       99.997
SET     983.039       99.997
SET     987.135       99.997
SET     987.135       99.997
SET     991.231       99.998
SET     991.231       99.998
SET     995.327       99.998
SET     995.327       99.998
SET     995.327       99.998
SET     995.327       99.998
SET     995.327       99.998
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET    1003.519       99.999
SET    1003.519       99.999
SET    1003.519       99.999
SET    1003.519       99.999
SET    1003.519       99.999
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1007.615      100.000
SET    1007.615      100.000
---
GET       0.063        0.000
GET       0.879        5.000
GET       1.015       10.000
GET       1.127       15.000
GET       1.207       20.000
GET       1.271       25.000
GET       1.335       30.000
GET       1.407       35.000
GET       1.487       40.000
GET       1.559       45.000
GET       1.631       50.000
GET       1.671       52.500
GET       1.703       55.000
GET       1.743       57.500
GET       1.791       60.000
GET       1.847       62.500
GET       1.911       65.000
GET       1.975       67.500
GET       2.031       70.000
GET       2.095       72.500
GET       2.143       75.000
GET       2.175       76.250
GET       2.191       77.500
GET       2.223       78.750
GET       2.239       80.000
GET       2.271       81.250
GET       2.287       82.500
GET       2.319       83.750
GET       2.351       85.000
GET       2.383       86.250
GET       2.431       87.500
GET       2.463       88.125
GET       2.479       88.750
GET       2.511       89.375
GET       2.559       90.000
GET       2.591       90.625
GET       2.639       91.250
GET       2.687       91.875
GET       2.735       92.500
GET       2.767       93.125
GET       2.815       93.750
GET       2.847       94.062
GET       2.879       94.375
