Results for Redis on port 6380:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         9843.98          ---          ---         1.84612         1.58300         4.22300        24.95900       450.73 
Gets        98438.11       151.05     98287.06         1.84581         1.58300         4.22300        23.55100      3834.82 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     108282.09       151.05     98287.06         1.84584         1.58300         4.22300        23.67900      4285.55 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.071        0.000
SET       0.879        5.000
SET       1.007       10.000
SET       1.103       15.000
SET       1.183       20.000
SET       1.239       25.000
SET       1.303       30.000
SET       1.367       35.000
SET       1.439       40.000
SET       1.511       45.000
SET       1.583       50.000
SET       1.615       52.500
SET       1.655       55.000
SET       1.695       57.500
SET       1.735       60.000
SET       1.783       62.500
SET       1.831       65.000
SET       1.895       67.500
SET       1.959       70.000
SET       2.015       72.500
SET       2.079       75.000
SET       2.111       76.250
SET       2.127       77.500
SET       2.159       78.750
SET       2.175       80.000
SET       2.207       81.250
SET       2.239       82.500
SET       2.255       83.750
SET       2.287       85.000
SET       2.335       86.250
SET       2.367       87.500
SET       2.399       88.125
SET       2.431       88.750
SET       2.463       89.375
SET       2.495       90.000
SET       2.527       90.625
SET       2.575       91.250
SET       2.623       91.875
SET       2.671       92.500
SET       2.735       93.125
SET       2.799       93.750
SET       2.831       94.062
SET       2.879       94.375
SET       2.911       94.688
SET       2.943       95.000
SET       2.975       95.312
SET       3.023       95.625
SET       3.055       95.938
SET       3.103       96.250
SET       3.151       96.562
SET       3.215       96.875
SET       3.263       97.031
SET       3.311       97.188
SET       3.359       97.344
SET       3.423       97.500
SET       3.487       97.656
SET       3.551       97.812
SET       3.615       97.969
SET       3.663       98.125
SET       3.727       98.281
SET       3.775       98.438
SET       3.807       98.516
SET       3.839       98.594
SET       3.887       98.672
SET       3.951       98.750
SET       4.031       98.828
SET       4.127       98.906
SET       4.223       98.984
SET       4.319       99.062
SET       4.383       99.141
SET       4.479       99.219
SET       4.511       99.258
SET       4.575       99.297
SET       4.607       99.336
SET       4.671       99.375
SET       4.735       99.414
SET       4.863       99.453
SET       5.023       99.492
SET       5.183       99.531
SET       5.311       99.570
SET       5.439       99.609
SET       5.535       99.629
SET       5.663       99.648
SET       5.887       99.668
SET       6.175       99.688
SET       6.527       99.707
SET       7.039       99.727
SET       7.583       99.746
SET       8.191       99.766
SET       9.023       99.785
SET      10.047       99.805
SET      10.623       99.814
SET      11.327       99.824
SET      12.095       99.834
SET      13.119       99.844
SET      14.463       99.854
SET      15.935       99.863
SET      17.663       99.873
SET      19.711       99.883
SET      22.527       99.893
SET      25.727       99.902
SET      28.031       99.907
SET      30.847       99.912
SET      33.279       99.917
SET      36.863       99.922
SET      39.679       99.927
SET      42.751       99.932
SET      46.335       99.937
SET      51.199       99.941
SET      56.831       99.946
SET      63.487       99.951
SET      67.071       99.954
SET      70.143       99.956
SET      74.239       99.958
SET      79.359       99.961
SET      86.015       99.963
SET      93.183       99.966
SET     102.911       99.968
SET     113.151       99.971
SET     114.175       99.973
SET     124.415       99.976
SET     133.119       99.977
SET     141.311       99.978
SET     145.407       99.979
SET     156.671       99.980
SET     169.983       99.982
SET     180.223       99.983
SET     188.415       99.984
SET     202.751       99.985
SET     224.255       99.987
SET     239.615       99.988
SET     254.975       99.988
SET     266.239       99.989
SET     276.479       99.990
SET     288.767       99.990
SET     303.103       99.991
SET     327.679       99.991
SET     339.967       99.992
SET     364.543       99.993
SET     387.071       99.993
SET     430.079       99.994
SET     454.655       99.994
SET     464.895       99.995
SET     489.471       99.995
SET     518.143       99.995
SET     573.439       99.995
SET     696.319       99.996
SET     802.815       99.996
SET     823.295       99.996
SET     884.735       99.997
SET     909.311       99.997
SET     962.559       99.997
SET     970.751       99.997
SET     991.231       99.997
SET     991.231       99.998
SET     991.231       99.998
SET     995.327       99.998
SET     995.327       99.998
SET     995.327       99.998
SET     995.327       99.998
SET     995.327       99.998
SET     995.327       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423      100.000
SET     999.423      100.000
SET     999.423      100.000
SET     999.423      100.000
SET     999.423      100.000
SET     999.423      100.000
SET     999.423      100.000
SET     999.423      100.000
SET    1003.519      100.000
SET    1003.519      100.000
---
GET       0.063        0.000
GET       0.879        5.000
GET       1.007       10.000
GET       1.103       15.000
GET       1.183       20.000
GET       1.239       25.000
GET       1.303       30.000
GET       1.367       35.000
GET       1.439       40.000
GET       1.511       45.000
GET       1.583       50.000
GET       1.615       52.500
GET       1.655       55.000
GET       1.695       57.500
GET       1.735       60.000
GET       1.783       62.500
GET       1.831       65.000
GET       1.895       67.500
GET       1.959       70.000
GET       2.015       72.500
GET       2.079       75.000
GET       2.111       76.250
GET       2.127       77.500
GET       2.159       78.750
GET       2.175       80.000
GET       2.207       81.250
GET       2.239       82.500
GET       2.255       83.750
GET       2.287       85.000
GET       2.335       86.250
GET       2.367       87.500
GET       2.399       88.125
GET       2.431       88.750
GET       2.463       89.375
GET       2.495       90.000
GET       2.527       90.625
GET       2.575       91.250
GET       2.623       91.875
GET       2.671       92.500
GET       2.735       93.125
GET       2.799       93.750
GET       2.831       94.062
GET       2.879       94.375
GET       2.911       94.688
GET       2.943       95.000
GET       2.975       95.312
GET       3.023       95.625
GET       3.055       95.938
GET       3.103       96.250
GET       3.151       96.562
GET       3.215       96.875
GET       3.263       97.031
GET       3.311       97.188
GET       3.359       97.344
GET       3.423       97.500
GET       3.487       97.656
GET       3.551       97.812
GET       3.615       97.969
GET       3.663       98.125
GET       3.711       98.281
GET       3.775       98.438
GET       3.807       98.516
GET       3.839       98.594
GET       3.887       98.672
GET       3.951       98.750
GET       4.031       98.828
GET       4.127       98.906
GET       4.223       98.984
GET       4.287       99.062
GET       4.383       99.141
GET       4.479       99.219
GET       4.511       99.258
