Results for Redis on port 6382:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         4493.02          ---          ---        15.78921        13.82300        43.77500        62.46300    449525.32 
Gets        44928.21        67.48     44860.73         2.87004         2.36700         9.40700        22.14300      4630.13 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      49421.23        67.48     44860.73         4.04456         2.52700        28.41500        45.31100    454155.45 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.463        0.000
SET       3.951        5.000
SET       5.407       10.000
SET       6.527       15.000
SET       7.583       20.000
SET       8.703       25.000
SET       9.855       30.000
SET      10.815       35.000
SET      11.775       40.000
SET      12.735       45.000
SET      13.823       50.000
SET      14.399       52.500
SET      14.975       55.000
SET      15.615       57.500
SET      16.191       60.000
SET      16.895       62.500
SET      17.535       65.000
SET      18.175       67.500
SET      18.943       70.000
SET      19.839       72.500
SET      20.735       75.000
SET      21.247       76.250
SET      21.759       77.500
SET      22.271       78.750
SET      22.911       80.000
SET      23.551       81.250
SET      24.191       82.500
SET      24.831       83.750
SET      25.471       85.000
SET      26.111       86.250
SET      26.879       87.500
SET      27.391       88.125
SET      27.775       88.750
SET      28.287       89.375
SET      28.799       90.000
SET      29.311       90.625
SET      29.823       91.250
SET      30.463       91.875
SET      31.103       92.500
SET      31.743       93.125
SET      32.383       93.750
SET      32.767       94.062
SET      33.279       94.375
SET      33.535       94.688
SET      34.047       95.000
SET      34.559       95.312
SET      35.071       95.625
SET      35.583       95.938
SET      36.095       96.250
SET      36.607       96.562
SET      37.375       96.875
SET      37.631       97.031
SET      38.143       97.188
SET      38.399       97.344
SET      38.911       97.500
SET      39.167       97.656
SET      39.679       97.812
SET      39.935       97.969
SET      40.447       98.125
SET      40.959       98.281
SET      41.471       98.438
SET      41.727       98.516
SET      41.983       98.594
SET      42.239       98.672
SET      42.751       98.750
SET      43.007       98.828
SET      43.519       98.906
SET      43.775       98.984
SET      44.287       99.062
SET      44.799       99.141
SET      45.311       99.219
SET      45.823       99.258
SET      46.079       99.297
SET      46.335       99.336
SET      46.847       99.375
SET      47.359       99.414
SET      47.871       99.453
SET      48.383       99.492
SET      48.895       99.531
SET      49.407       99.570
SET      50.431       99.609
SET      50.943       99.629
SET      51.455       99.648
SET      51.967       99.668
SET      52.479       99.688
SET      52.991       99.707
SET      53.503       99.727
SET      54.271       99.746
SET      54.783       99.766
SET      55.551       99.785
SET      56.319       99.805
SET      56.575       99.814
SET      57.087       99.824
SET      57.599       99.834
SET      58.111       99.844
SET      58.623       99.854
SET      59.391       99.863
SET      60.159       99.873
SET      60.927       99.883
SET      61.439       99.893
SET      62.719       99.902
SET      62.975       99.907
SET      63.743       99.912
SET      64.255       99.917
SET      64.767       99.922
SET      65.535       99.927
SET      66.559       99.932
SET      67.071       99.937
SET      69.119       99.941
SET      70.143       99.946
SET      73.215       99.951
SET      75.263       99.954
SET      77.823       99.956
SET      80.383       99.958
SET      82.431       99.961
SET      84.991       99.963
SET      90.623       99.966
SET      95.743       99.968
SET     104.447       99.971
SET     108.031       99.973
SET     115.199       99.976
SET     117.759       99.977
SET     120.319       99.978
SET     122.367       99.979
SET     127.999       99.980
SET     138.239       99.982
SET     144.383       99.983
SET     153.599       99.984
SET     173.055       99.985
SET     274.431       99.987
SET     278.527       99.988
SET     288.767       99.988
SET     405.503       99.989
SET     552.959       99.990
SET     569.343       99.990
SET     622.591       99.991
SET     626.687       99.991
SET     626.687       99.992
SET     634.879       99.993
SET     802.815       99.993
SET     806.911       99.994
SET     806.911       99.994
SET     811.007       99.995
SET     811.007       99.995
SET     811.007       99.995
SET     811.007       99.995
SET     815.103       99.996
SET     815.103       99.996
SET     946.175       99.996
SET     950.271       99.997
SET     950.271       99.997
SET     954.367       99.997
SET     954.367       99.997
SET     954.367       99.997
SET     970.751       99.998
SET     974.847       99.998
SET     974.847       99.998
SET     974.847       99.998
SET     974.847       99.998
SET     974.847       99.998
SET     978.943       99.998
SET     978.943       99.999
SET     978.943       99.999
SET     978.943       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET    1007.615       99.999
SET    1011.711       99.999
SET    1011.711       99.999
SET    1011.711       99.999
SET    1011.711       99.999
SET    1011.711       99.999
SET    1011.711       99.999
SET    1011.711       99.999
SET    1011.711       99.999
SET    1015.807      100.000
SET    1015.807      100.000
SET    1015.807      100.000
SET    1015.807      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1019.903      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1023.999      100.000
SET    1032.191      100.000
SET    1032.191      100.000
---
GET       0.071        0.000
GET       0.863        5.000
GET       1.119       10.000
GET       1.311       15.000
GET       1.487       20.000
GET       1.639       25.000
GET       1.783       30.000
GET       1.919       35.000
GET       2.063       40.000
GET       2.207       45.000
GET       2.367       50.000
GET       2.447       52.500
GET       2.543       55.000
GET       2.623       57.500
GET       2.719       60.000
GET       2.815       62.500
GET       2.927       65.000
GET       3.023       67.500
GET       3.151       70.000
GET       3.279       72.500
GET       3.423       75.000
GET       3.503       76.250
GET       3.583       77.500
GET       3.679       78.750
GET       3.759       80.000
GET       3.855       81.250
GET       3.967       82.500
GET       4.079       83.750
GET       4.191       85.000
GET       4.351       86.250
GET       4.479       87.500
GET       4.575       88.125
GET       4.639       88.750
GET       4.735       89.375
GET       4.831       90.000
GET       4.927       90.625
GET       5.023       91.250
GET       5.151       91.875
GET       5.279       92.500
GET       5.407       93.125
GET       5.567       93.750
GET       5.663       94.062
GET       5.727       94.375
GET       5.823       94.688
GET       5.919       95.000
GET       6.015       95.312
GET       6.143       95.625
GET       6.239       95.938
GET       6.367       96.250
GET       6.495       96.562
GET       6.655       96.875
GET       6.751       97.031
GET       6.847       97.188
GET       6.943       97.344
GET       7.039       97.500
GET       7.167       97.656
GET       7.295       97.812
GET       7.455       97.969
GET       7.615       98.125
GET       7.807       98.281
GET       8.063       98.438
GET       8.191       98.516
GET       8.319       98.594
GET       8.511       98.672
GET       8.703       98.750
GET       8.895       98.828
GET       9.087       98.906
GET       9.343       98.984
GET       9.663       99.062
GET       9.983       99.141
GET      10.431       99.219
GET      10.623       99.258
GET      10.815       99.297
GET      11.071       99.336
GET      11.327       99.375
GET      11.647       99.414
GET      11.903       99.453
GET      12.223       99.492
GET      12.607       99.531
GET      13.055       99.570
GET      13.503       99.609
GET      13.759       99.629
GET      14.079       99.648
GET      14.399       99.668
GET      14.719       99.688
GET      15.103       99.707
GET      15.487       99.727
GET      15.999       99.746
GET      16.511       99.766
GET      17.023       99.785
GET      17.663       99.805
GET      18.047       99.814
GET      18.431       99.824
GET      18.687       99.834
GET      19.199       99.844
GET      19.583       99.854
GET      20.095       99.863
GET      20.479       99.873
GET      20.991       99.883
GET      21.631       99.893
GET      22.271       99.902
GET      22.655       99.907
GET      23.167       99.912
GET      23.679       99.917
GET      24.063       99.922
GET      24.703       99.927
GET      25.343       99.932
GET      26.239       99.937
GET      27.391       99.941
GET      28.927       99.946
GET      30.847       99.951
GET      32.127       99.954
GET      33.279       99.956
GET      34.815       99.958
GET      37.631       99.961
GET      39.935       99.963
GET      41.983       99.966
GET      47.359       99.968
GET      50.687       99.971
GET      58.367       99.973
GET      63.231       99.976
GET      66.559       99.977
GET      71.679       99.978
GET      77.823       99.979
GET      80.895       99.980
GET      86.527       99.982
GET      97.279       99.983
GET     110.591       99.984
GET     124.927       99.985
GET     136.191       99.987
GET     156.671       99.988
GET     158.719       99.988
GET     165.887       99.989
GET     203.775       99.990
GET     255.999       99.990
GET     354.303       99.991
GET     397.311       99.991
GET     561.151       99.992
GET     565.247       99.993
GET     593.919       99.993
GET     622.591       99.994
GET     663.551       99.994
GET     663.551       99.995
GET     798.719       99.995
GET     802.815       99.995
GET     806.911       99.995
GET     811.007       99.996
GET     909.311       99.996
GET     946.175       99.996
GET     966.655       99.997
GET     966.655       99.997
GET     970.751       99.997
GET     974.847       99.997
GET     974.847       99.997
GET     978.943       99.998
GET     978.943       99.998
GET     978.943       99.998
GET     995.327       99.998
GET     995.327       99.998
GET     999.423       99.998
GET     999.423       99.998
GET     999.423       99.999
GET     999.423       99.999
GET     999.423       99.999
GET    1003.519       99.999
GET    1003.519       99.999
GET    1007.615       99.999
GET    1007.615       99.999
GET    1007.615       99.999
GET    1007.615       99.999
GET    1007.615       99.999
GET    1011.711       99.999
GET    1011.711       99.999
GET    1011.711       99.999
GET    1011.711       99.999
GET    1011.711       99.999
GET    1011.711       99.999
GET    1011.711      100.000
GET    1011.711      100.000
GET    1011.711      100.000
GET    1015.807      100.000
GET    1015.807      100.000
GET    1015.807      100.000
GET    1015.807      100.000
GET    1015.807      100.000
GET    1015.807      100.000
GET    1019.903      100.000
GET    1019.903      100.000
GET    1023.999      100.000
GET    1023.999      100.000
GET    1023.999      100.000
GET    1023.999      100.000
GET    1023.999      100.000
GET    1023.999      100.000
GET    1028.095      100.000
GET    1028.095      100.000
GET    1028.095      100.000
GET    1028.095      100.000
GET    1028.095      100.000
GET    1028.095      100.000
GET    1032.191      100.000
GET    1032.191      100.000
GET    1032.191      100.000
GET    1032.191      100.000
GET    1032.191      100.000
GET    1032.191      100.000
GET    1032.191      100.000
GET    1032.191      100.000
GET    1032.191      100.000
GET    1032.191      100.000
GET    1032.191      100.000
GET    1032.191      100.000
GET    1032.191      100.000
GET    1032.191      100.000
GET    1032.191      100.000
GET    1032.191      100.000
GET    1036.287      100.000
GET    1036.287      100.000
---
WAIT      0.000      100.000


Results for Redis on port 6381:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         4342.34          ---          ---        15.83391        12.60700        56.31900        85.50300    434450.13 
Gets        43421.46        72.91     43348.55         3.02001         2.36700        11.71100        30.71900      4255.27 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      47763.80        72.91     43348.55         4.18496         2.57500        30.71900        61.18300    438705.40 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.383        0.000
SET       3.071        5.000
SET       4.223       10.000
SET       5.279       15.000
SET       6.271       20.000
SET       7.167       25.000
SET       8.095       30.000
SET       9.215       35.000
SET      10.239       40.000
SET      11.327       45.000
SET      12.607       50.000
SET      13.311       52.500
SET      14.079       55.000
SET      14.975       57.500
SET      15.871       60.000
SET      16.767       62.500
SET      17.791       65.000
SET      18.687       67.500
SET      19.711       70.000
SET      20.607       72.500
SET      21.631       75.000
SET      22.143       76.250
SET      22.783       77.500
SET      23.295       78.750
SET      23.935       80.000
SET      24.575       81.250
SET      25.215       82.500
SET      25.983       83.750
SET      26.751       85.000
SET      27.647       86.250
SET      28.543       87.500
SET      29.055       88.125
SET      29.567       88.750
SET      30.079       89.375
SET      30.719       90.000
SET      31.231       90.625
SET      31.999       91.250
SET      32.639       91.875
SET      33.535       92.500
SET      34.303       93.125
SET      35.071       93.750
SET      35.583       94.062
SET      36.095       94.375
SET      36.607       94.688
SET      37.119       95.000
SET      37.887       95.312
SET      38.399       95.625
SET      39.167       95.938
SET      39.935       96.250
SET      40.703       96.562
SET      41.983       96.875
SET      42.495       97.031
SET      43.007       97.188
SET      43.775       97.344
SET      44.287       97.500
SET      45.055       97.656
SET      45.823       97.812
SET      46.847       97.969
SET      47.871       98.125
SET      48.895       98.281
SET      50.175       98.438
SET      50.687       98.516
SET      51.455       98.594
SET      52.223       98.672
SET      52.991       98.750
SET      54.015       98.828
SET      54.783       98.906
SET      56.063       98.984
SET      57.087       99.062
SET      58.111       99.141
SET      59.391       99.219
SET      59.903       99.258
SET      60.671       99.297
SET      61.183       99.336
SET      61.951       99.375
SET      62.975       99.414
SET      63.743       99.453
SET      64.767       99.492
SET      65.535       99.531
SET      66.559       99.570
SET      68.095       99.609
SET      68.607       99.629
SET      69.119       99.648
SET      69.631       99.668
SET      70.655       99.688
SET      71.167       99.707
SET      72.191       99.727
SET      72.703       99.746
SET      73.727       99.766
SET      75.263       99.785
SET      75.775       99.805
SET      76.799       99.814
SET      77.311       99.824
SET      78.335       99.834
SET      79.359       99.844
SET      79.871       99.854
SET      80.895       99.863
SET      82.431       99.873
SET      83.455       99.883
SET      84.991       99.893
SET      86.015       99.902
SET      87.039       99.907
SET      88.063       99.912
SET      89.087       99.917
SET      90.623       99.922
SET      92.671       99.927
SET      95.231       99.932
SET      98.303       99.937
SET     104.447       99.941
SET     111.615       99.946
SET     125.439       99.951
SET     130.559       99.954
SET     135.167       99.956
SET     138.239       99.958
SET     146.431       99.961
SET     161.791       99.963
SET     173.055       99.966
SET     179.199       99.968
SET     186.367       99.971
SET     193.535       99.973
SET     220.159       99.976
SET     232.447       99.977
SET     247.807       99.978
SET     249.855       99.979
SET     252.927       99.980
SET     252.927       99.982
SET     254.975       99.983
SET     290.815       99.984
SET     358.399       99.985
SET     364.543       99.987
SET     378.879       99.988
SET     425.983       99.988
SET     432.127       99.989
SET     561.151       99.990
SET     565.247       99.990
SET     573.439       99.991
SET     577.535       99.991
SET     663.551       99.992
SET     741.375       99.993
SET     745.471       99.993
SET     757.759       99.994
SET     757.759       99.994
SET     761.855       99.995
SET     761.855       99.995
SET     827.391       99.995
SET     905.215       99.995
SET     909.311       99.996
SET     933.887       99.996
SET     937.983       99.996
SET     937.983       99.997
SET     937.983       99.997
SET     937.983       99.997
SET     937.983       99.997
SET     937.983       99.997
SET     937.983       99.998
SET     937.983       99.998
SET     937.983       99.998
SET     942.079       99.998
SET     942.079       99.998
SET     987.135       99.998
SET     991.231       99.998
SET     991.231       99.999
SET     991.231       99.999
SET     991.231       99.999
SET     995.327       99.999
SET     995.327       99.999
SET     995.327       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET     999.423       99.999
SET    1003.519       99.999
SET    1003.519       99.999
SET    1003.519       99.999
SET    1003.519       99.999
SET    1003.519       99.999
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1003.519      100.000
SET    1007.615      100.000
SET    1007.615      100.000
---
GET       0.047        0.000
GET       0.727        5.000
GET       0.959       10.000
GET       1.159       15.000
GET       1.343       20.000
GET       1.511       25.000
GET       1.671       30.000
GET       1.823       35.000
GET       1.991       40.000
GET       2.175       45.000
GET       2.367       50.000
GET       2.479       52.500
GET       2.575       55.000
GET       2.687       57.500
GET       2.799       60.000
GET       2.911       62.500
GET       3.039       65.000
GET       3.167       67.500
GET       3.295       70.000
GET       3.455       72.500
GET       3.615       75.000
GET       3.711       76.250
GET       3.807       77.500
GET       3.903       78.750
GET       4.015       80.000
GET       4.127       81.250
GET       4.255       82.500
GET       4.383       83.750
GET       4.543       85.000
GET       4.703       86.250
GET       4.863       87.500
GET       4.959       88.125
GET       5.055       88.750
GET       5.151       89.375
GET       5.279       90.000
GET       5.407       90.625
GET       5.535       91.250
GET       5.663       91.875
GET       5.823       92.500
GET       5.983       93.125
GET       6.175       93.750
GET       6.303       94.062
GET       6.399       94.375
GET       6.527       94.688
GET       6.655       95.000
GET       6.783       95.312
GET       6.943       95.625
GET       7.103       95.938
GET       7.295       96.250
GET       7.487       96.562
GET       7.743       96.875
GET       7.871       97.031
GET       8.031       97.188
GET       8.191       97.344
GET       8.383       97.500
GET       8.575       97.656
GET       8.767       97.812
GET       9.023       97.969
GET       9.343       98.125
GET       9.663       98.281
GET       9.983       98.438
GET      10.175       98.516
GET      10.367       98.594
GET      10.623       98.672
GET      10.879       98.750
GET      11.135       98.828
GET      11.391       98.906
GET      11.647       98.984
GET      12.031       99.062
GET      12.415       99.141
GET      12.863       99.219
GET      13.119       99.258
GET      13.375       99.297
GET      13.631       99.336
GET      13.951       99.375
GET      14.271       99.414
GET      14.719       99.453
GET      15.103       99.492
GET      15.679       99.531
GET      16.191       99.570
GET      16.895       99.609
GET      17.279       99.629
GET      17.663       99.648
GET      18.047       99.668
GET      18.559       99.688
GET      19.071       99.707
GET      19.583       99.727
GET      20.223       99.746
GET      20.863       99.766
GET      21.631       99.785
GET      22.399       99.805
GET      22.911       99.814
GET      23.423       99.824
GET      23.935       99.834
GET      24.575       99.844
GET      25.343       99.854
GET      26.239       99.863
GET      27.007       99.873
GET      28.159       99.883
GET      29.567       99.893
GET      31.103       99.902
GET      31.999       99.907
GET      33.023       99.912
GET      34.559       99.917
GET      36.351       99.922
GET      38.399       99.927
GET      40.703       99.932
GET      43.263       99.937
GET      46.847       99.941
GET      50.943       99.946
GET      54.783       99.951
GET      57.599       99.954
GET      60.671       99.956
GET      63.743       99.958
GET      67.583       99.961
GET      73.215       99.963
GET      81.407       99.966
GET      87.039       99.968
GET      96.255       99.971
GET     101.375       99.973
GET     112.127       99.976
GET     122.367       99.977
GET     130.559       99.978
GET     142.335       99.979
GET     150.527       99.980
GET     159.743       99.982
GET     174.079       99.983
GET     183.295       99.984
GET     207.871       99.985
GET     237.567       99.987
GET     250.879       99.988
GET     261.119       99.988
GET     288.767       99.989
GET     299.007       99.990
GET     305.151       99.990
GET     356.351       99.991
GET     430.079       99.991
GET     516.095       99.992
GET     561.151       99.993
GET     659.455       99.993
GET     667.647       99.994
GET     737.279       99.994
GET     737.279       99.995
GET     749.567       99.995
GET     757.759       99.995
GET     827.391       99.995
GET     835.583       99.996
GET     901.119       99.996
GET     905.215       99.996
GET     933.887       99.997
GET     933.887       99.997
GET     933.887       99.997
GET     933.887       99.997
GET     933.887       99.997
GET     933.887       99.998
GET     937.983       99.998
GET     974.847       99.998
GET     978.943       99.998
GET     991.231       99.998
GET     991.231       99.998
GET     991.231       99.998
GET     991.231       99.999
GET     991.231       99.999
GET     995.327       99.999
GET     995.327       99.999
GET     995.327       99.999
GET     999.423       99.999
GET     999.423       99.999
GET     999.423       99.999
GET     999.423       99.999
GET     999.423       99.999
GET     999.423       99.999
GET     999.423       99.999
GET     999.423       99.999
GET     999.423       99.999
GET     999.423       99.999
GET     999.423       99.999
GET     999.423      100.000
GET     999.423      100.000
GET    1003.519      100.000
GET    1003.519      100.000
---
WAIT      0.000      100.000


Results for Redis on port 6383:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         4711.68          ---          ---        15.23153        13.43900        42.75100        68.09500    471402.50 
Gets        47114.96        85.75     47029.21         2.71934         2.27100         8.95900        22.27100      5046.63 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      51826.64        85.75     47029.21         3.85686         2.43100        26.11100        44.54300    476449.13 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.335        0.000
SET       4.447        5.000
SET       5.951       10.000
SET       7.071       15.000
SET       8.159       20.000
SET       9.279       25.000
SET      10.303       30.000
SET      11.135       35.000
SET      11.839       40.000
SET      12.607       45.000
SET      13.439       50.000
SET      13.887       52.500
SET      14.335       55.000
SET      14.911       57.500
SET      15.423       60.000
SET      16.063       62.500
SET      16.767       65.000
SET      17.407       67.500
SET      18.047       70.000
SET      18.815       72.500
SET      19.455       75.000
SET      19.839       76.250
SET      20.223       77.500
SET      20.607       78.750
SET      21.119       80.000
SET      21.631       81.250
SET      22.015       82.500
SET      22.655       83.750
SET      23.167       85.000
SET      23.935       86.250
SET      24.575       87.500
SET      25.087       88.125
SET      25.471       88.750
SET      25.983       89.375
SET      26.367       90.000
SET      26.879       90.625
SET      27.391       91.250
SET      27.903       91.875
SET      28.543       92.500
SET      29.055       93.125
SET      29.695       93.750
SET      30.079       94.062
SET      30.463       94.375
SET      30.847       94.688
SET      31.231       95.000
SET      31.743       95.312
SET      32.255       95.625
SET      32.639       95.938
SET      33.279       96.250
SET      33.791       96.562
SET      34.559       96.875
SET      35.071       97.031
SET      35.327       97.188
SET      35.839       97.344
SET      36.095       97.500
SET      36.607       97.656
SET      37.119       97.812
SET      37.631       97.969
SET      38.143       98.125
SET      38.655       98.281
SET      39.423       98.438
SET      39.935       98.516
SET      40.191       98.594
SET      40.703       98.672
SET      41.215       98.750
SET      41.471       98.828
SET      41.983       98.906
SET      42.751       98.984
SET      43.263       99.062
SET      44.031       99.141
SET      44.543       99.219
SET      45.055       99.258
SET      45.311       99.297
SET      45.823       99.336
SET      46.079       99.375
SET      46.591       99.414
SET      47.103       99.453
SET      47.615       99.492
SET      48.127       99.531
SET      48.895       99.570
SET      49.663       99.609
SET      50.175       99.629
SET      50.687       99.648
SET      50.943       99.668
SET      51.711       99.688
SET      52.223       99.707
SET      52.991       99.727
SET      54.015       99.746
SET      54.783       99.766
SET      55.807       99.785
SET      57.087       99.805
SET      57.855       99.814
SET      58.623       99.824
SET      59.647       99.834
SET      60.671       99.844
SET      61.695       99.854
SET      62.719       99.863
SET      63.999       99.873
SET      65.279       99.883
SET      66.559       99.893
SET      68.607       99.902
SET      69.119       99.907
SET      70.143       99.912
SET      71.167       99.917
SET      72.191       99.922
SET      73.215       99.927
SET      74.751       99.932
SET      76.799       99.937
SET      78.335       99.941
SET      79.359       99.946
SET      81.919       99.951
SET      82.943       99.954
SET      83.967       99.956
SET      84.991       99.958
SET      86.527       99.961
SET      87.551       99.963
SET      93.695       99.966
SET      99.839       99.968
SET     104.959       99.971
SET     110.591       99.973
SET     115.199       99.976
SET     137.215       99.977
SET     139.263       99.978
SET     173.055       99.979
SET     176.127       99.980
SET     194.559       99.982
SET     199.679       99.983
SET     202.751       99.984
SET     204.799       99.985
SET     216.063       99.987
SET     241.663       99.988
SET     243.711       99.988
SET     259.071       99.989
SET     260.095       99.990
SET     278.527       99.990
SET     471.039       99.991
SET     516.095       99.991
SET     518.143       99.992
SET     522.239       99.993
SET     528.383       99.993
SET     552.959       99.994
SET     565.247       99.994
SET     598.015       99.995
SET     602.111       99.995
SET     602.111       99.995
SET     602.111       99.995
SET     602.111       99.996
