Results for Redis on port 6382:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          632.81          ---          ---       192.00878       187.39100       622.59100      1003.51900    648029.03 
Gets         6325.12         9.00      6316.12         5.20350         3.63100        18.68700       119.80700      1321.30 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       6957.93         9.00      6316.12        21.73174         3.90300       241.66300       688.12700    649350.33 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.639        0.000
SET      96.255        5.000
SET     116.735       10.000
SET     134.143       15.000
SET     146.431       20.000
SET     156.671       25.000
SET     164.863       30.000
SET     171.007       35.000
SET     177.151       40.000
SET     182.271       45.000
SET     187.391       50.000
SET     190.463       52.500
SET     192.511       55.000
SET     194.559       57.500
SET     197.631       60.000
SET     199.679       62.500
SET     201.727       65.000
SET     204.799       67.500
SET     207.871       70.000
SET     209.919       72.500
SET     212.991       75.000
SET     215.039       76.250
SET     217.087       77.500
SET     218.111       78.750
SET     220.159       80.000
SET     222.207       81.250
SET     224.255       82.500
SET     226.303       83.750
SET     229.375       85.000
SET     232.447       86.250
SET     235.519       87.500
SET     236.543       88.125
SET     238.591       88.750
SET     240.639       89.375
SET     243.711       90.000
SET     245.759       90.625
SET     248.831       91.250
SET     251.903       91.875
SET     254.975       92.500
SET     259.071       93.125
SET     264.191       93.750
SET     266.239       94.062
SET     268.287       94.375
SET     270.335       94.688
SET     274.431       95.000
SET     278.527       95.312
SET     282.623       95.625
SET     286.719       95.938
SET     292.863       96.250
SET     299.007       96.562
SET     307.199       96.875
SET     313.343       97.031
SET     321.535       97.188
SET     329.727       97.344
SET     339.967       97.500
SET     356.351       97.656
SET     378.879       97.812
SET     399.359       97.969
SET     421.887       98.125
SET     442.367       98.281
SET     473.087       98.438
SET     489.471       98.516
SET     499.711       98.594
SET     511.999       98.672
SET     522.239       98.750
SET     548.863       98.828
SET     589.823       98.906
SET     614.399       98.984
SET     667.647       99.062
SET     684.031       99.141
SET     700.415       99.219
SET     708.607       99.258
SET     720.895       99.297
SET     741.375       99.336
SET     757.759       99.375
SET     770.047       99.414
SET     782.335       99.453
SET     798.719       99.492
SET     819.199       99.531
SET     831.487       99.570
SET     839.679       99.609
SET     851.967       99.629
SET     860.159       99.648
SET     872.447       99.668
SET     876.543       99.688
SET     884.735       99.707
SET     892.927       99.727
SET     909.311       99.746
SET     933.887       99.766
SET     950.271       99.785
SET     954.367       99.805
SET     962.559       99.814
SET     962.559       99.824
SET     966.655       99.834
SET     970.751       99.844
SET     974.847       99.854
SET     978.943       99.863
SET     987.135       99.873
SET     995.327       99.883
SET     999.423       99.893
SET    1003.519       99.902
SET    1003.519       99.907
SET    1007.615       99.912
SET    1007.615       99.917
SET    1015.807       99.922
SET    1023.999       99.927
SET    1023.999       99.932
SET    1023.999       99.937
SET    1028.095       99.941
SET    1028.095       99.946
SET    1028.095       99.951
SET    1032.191       99.954
SET    1032.191       99.956
SET    1032.191       99.958
SET    1032.191       99.961
SET    1032.191       99.963
SET    1032.191       99.966
SET    1036.287       99.968
SET    1036.287       99.971
SET    1036.287       99.973
SET    1036.287       99.976
SET    1036.287       99.977
SET    1036.287       99.978
SET    1036.287       99.979
SET    1040.383       99.980
SET    1040.383       99.982
SET    1040.383       99.983
SET    1040.383       99.984
SET    1040.383       99.985
SET    1040.383       99.987
SET    1040.383       99.988
SET    1040.383       99.988
SET    1040.383       99.989
SET    1040.383       99.990
SET    1040.383       99.990
SET    1040.383       99.991
SET    1044.479       99.991
SET    1044.479       99.992
SET    1044.479       99.993
SET    1044.479       99.993
SET    1044.479       99.994
SET    1044.479       99.994
SET    1044.479       99.995
SET    1044.479       99.995
SET    1044.479       99.995
SET    1044.479       99.995
SET    1044.479       99.996
SET    1048.575       99.996
SET    1048.575      100.000
---
GET       0.031        0.000
GET       1.615        5.000
GET       1.863       10.000
GET       2.079       15.000
GET       2.287       20.000
GET       2.495       25.000
GET       2.703       30.000
GET       2.927       35.000
GET       3.135       40.000
GET       3.375       45.000
GET       3.631       50.000
GET       3.775       52.500
GET       3.919       55.000
GET       4.063       57.500
GET       4.255       60.000
GET       4.415       62.500
GET       4.607       65.000
GET       4.831       67.500
GET       5.055       70.000
GET       5.311       72.500
GET       5.567       75.000
GET       5.727       76.250
GET       5.887       77.500
GET       6.079       78.750
GET       6.271       80.000
GET       6.463       81.250
GET       6.687       82.500
GET       6.943       83.750
GET       7.199       85.000
GET       7.487       86.250
GET       7.807       87.500
GET       7.967       88.125
GET       8.159       88.750
GET       8.383       89.375
GET       8.575       90.000
GET       8.831       90.625
GET       9.087       91.250
GET       9.343       91.875
GET       9.663       92.500
GET       9.983       93.125
GET      10.303       93.750
GET      10.559       94.062
GET      10.751       94.375
GET      10.943       94.688
GET      11.199       95.000
GET      11.455       95.312
GET      11.775       95.625
GET      12.031       95.938
GET      12.415       96.250
GET      12.735       96.562
GET      13.183       96.875
GET      13.375       97.031
GET      13.631       97.188
GET      13.887       97.344
GET      14.143       97.500
GET      14.463       97.656
GET      14.783       97.812
GET      15.103       97.969
GET      15.487       98.125
GET      15.935       98.281
GET      16.383       98.438
