Results for Redis on port 6382:
4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         5218.01          ---          ---         3.49415         2.95900         8.63900        30.46300       238.92 
Gets        52178.51        39.24     52139.27         3.47973         2.95900         8.63900        28.92700      2032.61 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      57396.52        39.24     52139.27         3.48104         2.95900         8.63900        29.05500      2271.53 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.079        0.000
SET       0.927        5.000
SET       1.247       10.000
SET       1.519       15.000
SET       1.743       20.000
SET       1.959       25.000
SET       2.175       30.000
SET       2.383       35.000
SET       2.575       40.000
SET       2.783       45.000
SET       2.959       50.000
SET       3.071       52.500
SET       3.183       55.000
SET       3.295       57.500
SET       3.439       60.000
SET       3.583       62.500
SET       3.743       65.000
SET       3.935       67.500
SET       4.159       70.000
SET       4.383       72.500
SET       4.575       75.000
SET       4.671       76.250
SET       4.767       77.500
SET       4.863       78.750
SET       4.959       80.000
SET       5.055       81.250
SET       5.151       82.500
SET       5.247       83.750
SET       5.375       85.000
SET       5.535       86.250
SET       5.727       87.500
SET       5.823       88.125
SET       5.951       88.750
SET       6.079       89.375
SET       6.239       90.000
SET       6.399       90.625
SET       6.591       91.250
SET       6.783       91.875
SET       6.911       92.500
SET       7.039       93.125
SET       7.167       93.750
SET       7.231       94.062
SET       7.295       94.375
SET       7.359       94.688
SET       7.423       95.000
SET       7.487       95.312
SET       7.551       95.625
SET       7.615       95.938
SET       7.711       96.250
SET       7.807       96.562
SET       7.871       96.875
SET       7.935       97.031
SET       7.967       97.188
SET       8.031       97.344
SET       8.063       97.500
SET       8.127       97.656
SET       8.191       97.812
SET       8.255       97.969
SET       8.319       98.125
SET       8.319       98.281
SET       8.383       98.438
SET       8.447       98.516
SET       8.511       98.594
SET       8.511       98.672
SET       8.575       98.750
SET       8.575       98.828
SET       8.639       98.906
SET       8.639       98.984
SET       8.703       99.062
SET       8.767       99.141
SET       8.831       99.219
SET       8.895       99.258
SET       8.959       99.297
SET       9.023       99.336
SET       9.151       99.375
SET       9.343       99.414
SET       9.727       99.453
SET      10.175       99.492
SET      10.815       99.531
SET      11.327       99.570
SET      12.159       99.609
SET      12.671       99.629
SET      13.183       99.648
SET      13.759       99.668
SET      14.335       99.688
SET      14.911       99.707
SET      15.615       99.727
SET      16.639       99.746
SET      17.535       99.766
SET      18.559       99.785
SET      19.839       99.805
SET      20.607       99.814
SET      21.119       99.824
SET      21.887       99.834
SET      23.039       99.844
SET      24.191       99.854
SET      25.343       99.863
SET      26.495       99.873
SET      27.775       99.883
SET      29.183       99.893
SET      30.975       99.902
SET      32.127       99.907
SET      33.535       99.912
SET      34.559       99.917
SET      35.583       99.922
SET      36.607       99.927
SET      38.143       99.932
SET      40.191       99.937
SET      43.007       99.941
SET      46.079       99.946
SET      49.407       99.951
SET      51.967       99.954
SET      54.015       99.956
SET      56.575       99.958
SET      61.439       99.961
SET      64.767       99.963
SET      70.655       99.966
SET      74.751       99.968
SET      81.407       99.971
SET      90.623       99.973
SET     101.375       99.976
SET     110.079       99.977
SET     118.271       99.978
SET     123.391       99.979
SET     125.439       99.980
SET     127.999       99.982
SET     130.559       99.983
SET     135.167       99.984
SET     144.383       99.985
SET     152.575       99.987
SET     172.031       99.988
SET     174.079       99.988
SET     174.079       99.989
SET     174.079       99.990
SET     174.079       99.990
SET     174.079       99.991
SET     175.103       99.991
SET     175.103       99.992
SET     175.103       99.993
SET     177.151       99.993
