Benchmark Method,Amount of Nodes,Size per Node,Amount of CClients,Ops/sec,Hits/sec,Misses/sec,Avg. Latency,p50 Latency,p99 Latency,p99.9 Latency,KB/sec
memcached,1,30,5,64645.4,3318.43,55450.11,0.07687,0.079,0.135,0.207,2087.46
memcached,5,6,10,330333.96,2626.9,297676.38,0.5959099999999999,0.523,2.291,7.194999999999999,9800.48
redis,5,6,1,55939.57,7021.13,43833.33,0.0,0.0,0.08864,0.095,0.135
redisAggregated,1,30,1000,98980.75,8219.89,81761.82,10.34347,8.959,61.951,73.215,4471.22
redisAggregated,5,6,100,294474.41000000003,19858.36,247845.24999999997,7.91192,6.811,23.867,29.755,13149.750000000002
redisAggregated,1,30,100,126534.29,13761.61,101269.5,0.78976,0.735,1.207,3.519,5824.02
redis,5,6,100,317298.84,2926.3,285510.26,0.0,0.0,1.55829,0.903,12.351
memcached,5,6,1000,351267.24,2361.54,316941.97,56.908,42.394999999999996,322.043,653.819,10396.539999999999
redisAggregated,1,30,1,17994.05,778.46,15579.76,0.0548,0.055,0.095,0.159,816.61
redis,5,6,10,81201.69,19399.36,54420.49,0.0,0.0,0.61524,0.599,0.991
memcached,3,10,5,329071.97,2075.83,297080.35,0.17634,0.157,0.677,2.285,9730.49
redisAggregated,5,6,1000,283985.70999999996,19197.449999999997,238967.49,90.19518000000001,75.963,427.003,715.7710000000001,12682.76
redis,1,30,100,100645.03,12314.55,79180.85,0.99441,0.983,1.735,2.111,4677.84
redisAggregated,5,6,10,269031.9,16545.13,228029.29,0.97008,0.883,2.3070000000000004,2.859,11960.65
redisAggregated,1,30,5,116190.1,10181.61,95445.75,0.04232,0.047,0.111,0.183,5266.42
memcached,1,30,1000,0.0,0.0,0.0,15.68479,14.079,87.551,117.759,0.0
redisAggregated,1,30,10,121354.9,13139.55,97183.08,0.08202,0.079,0.175,0.255,5583.71
redis,5,6,5,76858.89,18359.75,51512.11,0.0,0.0,0.32474,0.311,0.535
redisAggregated,3,10,100,292327.30000000005,26827.01,238924.84,3.05572,2.8609999999999998,4.805,6.5569999999999995,13290.070000000002
redis,3,10,100,304843.71,70227.93,206902.83,0.0,0.0,0.90093,0.735,1.591
redis,1,30,5,132083.15,12618.13,107457.46,0.03768,0.039,0.071,0.151,6021.45
redis,3,10,1,53607.3,6474.15,42259.75,0.0,0.0,0.05373,0.055,0.079
memcached,3,10,10,342713.92,3349.23,308208.57,0.34312000000000004,0.237,1.445,10.413,10205.48
redisAggregated,5,6,5,257404.14,10373.840000000002,223629.92,0.49104,0.459,1.2269999999999999,1.587,11262.56
memcached,5,6,100,370126.58999999997,2861.2699999999995,333614.27,5.37457,3.9789999999999996,21.131,197.627,10976.01
redis,3,10,1000,326911.59,75229.56,221987.27,0.0,0.0,9.1756,8.959,20.863
redis,5,6,1000,333521.39,79681.27,223529.97,0.0,0.0,14.97425,9.983,79.871
redisAggregated,5,6,1,66166.59,2820.21,57331.23,0.36797,0.355,0.675,0.9550000000000001,2900.19
memcached,1,30,10,74425.63,4958.63,62701.02,0.134,0.127,0.223,0.295,2472.04
redis,1,30,10,136845.24,16713.39,107691.37,0.07271,0.079,0.119,0.207,6359.42
redisAggregated,3,10,5,262614.32,16857.62,221882.65999999997,0.16931000000000002,0.165,0.357,0.501,11698.88
redisAggregated,3,10,1,45797.0,2421.7300000000005,39211.9,0.19149000000000002,0.189,0.309,0.501,2022.96
redis,1,30,1000,157831.66,19261.72,124220.86,6.33456,6.239,11.967,14.399,7334.06
redisAggregated,3,10,10,267015.99,24436.989999999998,218304.8,0.33439,0.333,0.725,0.8370000000000001,12137.18
memcached,1,30,100,101672.47,9214.3,83215.14,0.98296,0.935,1.495,4.543,3524.49
memcached,5,6,1,66068.1,271.42,59790.46,0.05922,0.063,0.087,0.159,1944.81
redis,1,30,1,19428.08,903.48,16758.41,0.05098,0.055,0.079,0.159,854.07
redisAggregated,3,10,1000,216537.16000000003,16514.34,180335.31,42.5525,33.981,199.165,396.797,9732.82
memcached,3,10,1,65852.7,270.07,59595.99,0.05948,0.063,0.087,0.159,1938.44
memcached,1,30,1,19517.75,726.6,17016.81,0.04903,0.047,0.087,0.175,613.61
memcached,5,6,5,306354.29,1464.8,277038.95,0.31872,0.315,0.715,1.107,9030.48
redis,3,10,10,89440.92,20597.83,60712.1,0.0,0.0,0.33435,0.319,0.543
redis,3,10,5,78044.18,17972.79,52976.65,0.0,0.0,0.19166,0.183,0.319
memcached,3,10,100,381397.02,3569.4700000000003,343152.04,3.11126,1.6609999999999998,13.277000000000001,211.453,11347.74
memcached,3,10,1000,278628.2,184.74,253112.88,10.7664,9.485,18.717,96.509,8143.6900000000005
