Benchmark Method,Amount of Nodes,Size per Node,Data Size (Bytes),Ops/sec,Hits/sec,Misses/sec,Avg. Latency,p50 Latency,p99 Latency,p99.9 Latency,KB/sec
memcached,5,6,1048576,144.59,0,0,240.89538,182.907,1968.3790000000004,4222.971,148057.55000000002
redisAggregated,5,6,102400,22941.870000000003,0,0,77.17975999999999,66.68299999999999,234.235,353.019,2295328.1599999997
redis,5,6,1048576,3226.47,0,0,0.0,0.0,182.27827,178.175,258.047
redis,3,10,1048576,4005.91,0,0,0.0,0.0,97.01923,92.159,143.359
memcached,1,30,102400,14784.21,0,0,3.18181,2.975,5.215,9.791,1479025.37
memcached,5,6,1024,34418.24,0,0,12.86111,7.515000000000001,78.843,771.067,35758.840000000004
redisAggregated,3,10,1,28738.379999999997,0,0,5.69817,4.917,12.829,75.00500000000001,1315.88
redisAggregated,3,10,1024,29022.65,0,0,5.63666,4.901,11.565,74.109,30408.219999999998
redis,3,10,102400,23143.54,0,0,0.0,0.0,7.36701,6.943,12.671
redis,1,30,1,12464.44,0,0,1.46059,1.423,2.831,3.503,570.71
memcached,3,10,1048576,271.83,0,0,156.56567,94.589,1446.909,2891.773,278364.06
redisAggregated,1,30,1048576,2868.57,0,0,57.45714,57.087,67.071,103.935,2937562.33
memcached,1,30,1048576,2308.45,0,0,38.4097,37.119,55.551,294.911,2363945.57
redis,5,6,1024,27554.03,0,0,0.0,0.0,3.26271,2.927,6.783
redisAggregated,5,6,1048576,3127.9100000000003,0,0,975.0062899999999,968.699,2953.2110000000002,5001.211,3203144.64
redis,5,6,102400,20529.5,0,0,0.0,0.0,11.87851,10.879,20.479
memcached,3,10,1024,35009.61,0,0,4.48771,2.173,27.901,350.205,36373.28
memcached,1,30,1,30128.5,0,0,0.60444,0.543,1.039,1.511,1114.74
redisAggregated,3,10,102400,22711.11,0,0,26.836170000000003,23.965000000000003,57.340999999999994,81.789,2272239.0500000003
redis,1,30,1048576,3021.64,0,0,54.49358,54.271,60.927,68.095,3094315.15
memcached,1,30,1024,30241.52,0,0,0.60151,0.543,1.023,1.423,31419.52
redis,3,10,1024,29356.35,0,0,0.0,0.0,1.85766,1.799,3.663
memcached,5,6,1,34245.63,0,0,13.17762,9.443,61.626999999999995,571.3870000000001,1267.01
redisAggregated,5,6,1,27967.82,0,0,16.38717,14.635,41.754999999999995,175.35500000000002,1280.57
redisAggregated,5,6,1024,27749.33,0,0,16.51549,14.795000000000002,41.339,135.291,29074.08
memcached,3,10,1,35276.24,0,0,4.60456,2.157,33.981,364.541,1305.1599999999999
redis,1,30,1024,12419.19,0,0,1.46401,1.423,2.831,3.471,13012.08
memcached,3,10,102400,24981.770000000004,0,0,18.3645,11.677,93.821,297.981,2499198.46
redis,5,6,1,27513.88,0,0,0.0,0.0,3.30757,3.039,6.943
redis,3,10,1,29345.38,0,0,0.0,0.0,1.85934,1.791,3.631
redisAggregated,1,30,1,11518.97,0,0,1.58045,1.535,3.039,3.711,527.42
redis,1,30,102400,10561.68,0,0,7.43903,7.423,8.895,11.967,1056692.7
redisAggregated,3,10,1048576,4114.349999999999,0,0,338.12977,333.821,475.133,638.973,4213295.11
memcached,5,6,102400,25648.650000000005,0,0,48.25472,19.723,343.29099999999994,1972.219,2565914.57
redisAggregated,1,30,102400,9302.97,0,0,8.48593,8.511,10.303,13.503,930759.09
redisAggregated,1,30,1024,11446.69,0,0,1.58844,1.543,3.055,3.743,11993.16
